λ,σ
120.71,2.7e-17
121.14,2.68e-17
121.61,2.67e-17
122.12,2.66e-17
122.58,2.64e-17
122.99,2.61e-17
123.37,2.58e-17
123.7,2.54e-17
123.97,2.48e-17
124.3,2.39e-17
124.54,2.3e-17
124.81,2.21e-17
125.12,2.12e-17
125.39,2.04e-17
125.66,1.95e-17
125.83,1.87e-17
126.03,1.77e-17
126.21,1.66e-17
126.31,1.52e-17
126.4,1.43e-17
126.6,1.33e-17
126.9,1.26e-17
127.23,1.21e-17
127.53,1.16e-17
127.79,1.1e-17
128.19,1.03e-17
128.6,9.78e-18
128.96,9.34e-18
129.32,8.95e-18
129.71,8.49e-18
130.18,8.14e-18
130.65,7.84e-18
131.04,7.57e-18
131.43,7.38e-18
131.99,7.27e-18
132.61,7.29e-18
133.15,7.53e-18
133.65,7.79e-18
134.1,8.17e-18
134.58,8.54e-18
135.02,8.94e-18
135.5,9.31e-18
136.16,9.88e-18
136.71,1.02e-17
137.29,1.06e-17
137.88,1.08e-17
138.47,1.11e-17
139.1,1.12e-17
139.78,1.12e-17
140.44,1.12e-17
141.08,1.1e-17
141.72,1.08e-17
142.34,1.06e-17
142.91,1.02e-17
143.44,9.89e-18
143.96,9.52e-18
144.5,9.18e-18
144.96,8.71e-18
145.51,8.04e-18
145.94,7.6e-18
146.43,6.76e-18
146.7,6.11e-18
147.01,5.39e-18
147.29,4.86e-18
147.63,4.12e-18
148.1,3.35e-18
148.61,2.72e-18
149.2,2.0e-18
149.75,1.4e-18
150.3,8.71e-19
151.08,7.11e-19
151.78,6.84e-19
152.53,6.89e-19
153.25,7.12e-19
154.02,7.33e-19
154.72,7.64e-19
155.4,7.95e-19
156.08,8.23e-19
156.8,8.53e-19
157.46,8.89e-19
158.23,9.17e-19
158.76,9.52e-19
159.32,9.87e-19
159.89,1.03e-18
160.42,1.07e-18
161.03,1.11e-18
161.69,1.15e-18
162.35,1.19e-18
163.01,1.22e-18
163.8,1.25e-18
164.52,1.29e-18
165.37,1.32e-18
166.22,1.34e-18
167.12,1.34e-18
168.06,1.34e-18
168.93,1.31e-18
169.64,1.28e-18
170.32,1.24e-18
170.82,1.21e-18
171.46,1.16e-18
172.02,1.12e-18
172.44,1.07e-18
173.04,1.0e-18
173.78,9.37e-19
174.53,8.65e-19
175.14,8.0e-19
175.63,7.51e-19
176.17,7.02e-19
176.84,6.33e-19
177.29,5.82e-19
177.88,5.14e-19
178.57,4.68e-19
179.13,4.29e-19
179.92,3.73e-19
180.68,3.2e-19
181.39,2.78e-19
182.31,2.48e-19
183.08,2.2e-19
184.02,1.88e-19
185.06,1.6e-19
186.17,1.42e-19
187.35,1.33e-19
188.54,1.31e-19
189.48,1.29e-19
