λ,σ
156.94,7.02e-18
157.45,6.62e-18
157.91,6.28e-18
158.38,5.86e-18
158.92,5.5e-18
159.4,5.07e-18
159.99,4.64e-18
160.49,4.32e-18
160.98,4.04e-18
161.39,3.78e-18
161.84,3.51e-18
162.12,3.23e-18
162.63,2.81e-18
163.08,2.49e-18
163.51,2.24e-18
163.92,2.02e-18
164.23,1.75e-18
164.56,1.49e-18
164.88,1.27e-18
165.3,1.05e-18
165.66,9.1e-19
166.05,8.26e-19
166.79,7.39e-19
167.26,7.16e-19
167.84,7.03e-19
168.42,7.07e-19
168.8,7.07e-19
169.23,7.14e-19
169.81,7.25e-19
170.41,7.46e-19
171.0,7.67e-19
171.57,7.88e-19
172.15,8.16e-19
172.73,8.4e-19
173.02,8.64e-19
173.61,8.88e-19
174.18,9.19e-19
174.77,9.5e-19
175.37,9.74e-19
175.95,1.0e-18
176.55,1.04e-18
177.16,1.07e-18
177.75,1.11e-18
178.34,1.14e-18
178.99,1.16e-18
179.68,1.18e-18
180.03,1.18e-18
180.52,1.18e-18
181.18,1.18e-18
181.89,1.18e-18
182.57,1.16e-18
183.25,1.14e-18
183.91,1.11e-18
184.57,1.08e-18
185.21,1.05e-18
185.82,1.01e-18
186.47,9.68e-19
187.09,9.21e-19
187.68,8.75e-19
188.25,8.18e-19
188.82,7.71e-19
189.45,7.24e-19
190.06,6.77e-19
190.68,6.27e-19
191.26,5.74e-19
191.88,5.27e-19
192.5,4.8e-19
193.1,4.23e-19
193.73,3.77e-19
194.5,3.16e-19
