λ,σ
163,8.91e-19
164,9.13e-19
165,9.24e-19
166,9.2e-19
167,9.01e-19
168,8.69e-19
169,8.24e-19
170,7.71e-19
171,7.1e-19
172,6.44e-19
173,5.75e-19
174,5.04e-19
175,4.36e-19
176,3.73e-19
177,3.14e-19
178,2.59e-19
179,2.06e-19
180,1.64e-19
181,1.29e-19
182,9.98e-20
183,7.77e-20
184,5.88e-20
185,4.48e-20
186,3.39e-20
187,2.56e-20
188,1.92e-20
189,1.43e-20
190,1.06e-20
191,7.9e-21
192,5.81e-21
193,4.3e-21
194,3.17e-21
195,2.38e-21
196,1.72e-21
197,1.27e-21
198,9.41e-22
199,7.05e-22
200,5.38e-22
201,4.13e-22
205,1.2e-22
210,2.72e-23
215,6.13e-24
220,1.38e-24
