λ,σ
211.55,7.0e-17
212.0,6.74e-17
212.45,6.43e-17
213.39,6.08e-17
214.57,5.72e-17
215.75,5.35e-17
216.69,4.98e-17
218.11,4.59e-17
219.53,4.19e-17
221.7,3.78e-17
224.12,3.48e-17
226.07,3.27e-17
228.02,3.11e-17
229.86,2.99e-17
232.82,2.94e-17
234.92,2.98e-17
237.3,3.18e-17
239.45,3.52e-17
241.23,3.84e-17
243.26,4.18e-17
245.15,4.45e-17
246.28,4.57e-17
248.64,4.64e-17
251.47,4.55e-17
253.05,4.43e-17
254.88,4.24e-17
256.58,4.03e-17
258.51,3.72e-17
260.31,3.4e-17
262.61,3.06e-17
264.92,2.77e-17
267.84,2.49e-17
270.79,2.35e-17
274.12,2.33e-17
277.59,2.39e-17
283.03,2.42e-17
288.07,2.28e-17
293.1,2.03e-17
297.02,1.77e-17
301.05,1.48e-17
305.46,1.19e-17
311.1,8.88e-18
316.87,6.39e-18
322.64,4.27e-18
329.41,2.7e-18
335.7,1.87e-18
340.02,1.61e-18
