T,author_year,download_url,comments,formula,name,citation,fname
298.0,Au(1993),"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_Au(1993)_298K_5.6-165nm(e,e).txt","Measured by dipole (e,e) spectroscopy; energies E (in eV) and differential oscillator strengths df/dE (in 10",C2H6,ethane,"

  J.W. Au, G. Cooper, G.R. Burton, T.N. Olney, and C.E. Brion, ""The valence shell photoabsorption of the linear alkanes, C",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_Au(1993)_298K_5.csv
295.0,Bennett(1971),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_Bennett(1971)_295K_58.4nm.txt,"Absorption coefficient k (atm, 273 K)",C2H6,ethane,"

  S.W. Bennett, J.B. Tellinghuisen, and L.F. Phillips, ""Absorption coefficients and ionization yields of some small molecules at 58.4 nm"",
  J. Phys. Chem. 75, 719-721 (1971); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_Bennett(1971)_295K_58.csv
295.0,ChenWu(2004),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_ChenWu(2004)_295K_120-150nm.txt,Absorption measurements with a spectral bandwidth (FWHM) of 0.06 nm using synchrotron radiation as a continuum light source,C2H6,ethane,"

  F.Z. Chen and C.Y.R. Wu, ""Temperature-dependent photoabsorption cross sections in the VUV-UV region. I. Methane and ethane"",
  J. Quant. Spectrosc. Radiat. Transfer 85, 195-209 (2004); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_ChenWu(2004)_295K_120-150nm.csv
298.0,Kameta(1996),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_Kameta(1996)_298K_13.8-124.6nm.txt,"Absorption measurements using an ionization chamber and synchrotron radiation as a continuous-wavelength light source
",C2H6,ethane,"

  K. Kameta, S. Machida, M. Kitajama, M. Ukai, N. Kouchi, Y. Hatano, and K. Ito, ""Photoabsorption, photoionization, and neutral-dissociation cross sections of C",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_Kameta(1996)_298K_13.csv
298.0,Lee(1973),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_Lee(1973)_298K_17.5-64.8nm.txt,Absorption measurements using synchrotron radiation and a double ionization chamber; spectral resolution 0.05 nm,C2H6,ethane,"

  L.C. Lee, R.W. Carlson, D.L. Judge, and M. Ogawa, ""The absorption cross sections of N",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_Lee(1973)_298K_17.csv
295.0,Lee(2001),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_Lee(2001)_295K_120-160nm.txt,Absorption measurements for C,C2H6,ethane,"

  A.Y.T. Lee, Y.L. Yung, B.M. Cheng, M. Bahou, C.-Y. Chung, and Y.P. Lee, ""Enhancement of deuterated ethane on Jupiter"",
  Astrophys. J. 551, L93-L96 (2001); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_Lee(2001)_295K_120-160nm.csv
298.0,Lombos(1967),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_Lombos(1967)_298K_115.0-157.5nm(max).txt,Absorption measurements using a hydrogen discharge tube as the light source and a vacuum spectrophotometer under 0.02 nm resolution,C2H6,ethane,"

  B.A. Lombos, P. Sauvageau, and C. Sandorfy, ""The electronic spectra of n-alkanes"",
  J. Mol. Spectrosc. 24, 253-269 (1967); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_Lombos(1967)_298K_115.csv
298.0,Lombos(1967),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_Lombos(1967)_298K_115.3-159.1nm.txt,Absorption measurements using a hydrogen discharge tube as the light source and a vacuum spectrophotometer under 0.02 nm resolution,C2H6,ethane,"

  B.A. Lombos, P. Sauvageau, and C. Sandorfy, ""The electronic spectra of n-alkanes"",
  J. Mol. Spectrosc. 24, 253-269 (1967); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_Lombos(1967)_298K_115.csv
295.0,MetzgerCook(1964),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_MetzgerCook(1964)_295K_56-100nm.txt,Absorption measurements at a spectral resolution ot 0.05 nm using the Hopfield continuum light source,C2H6,ethane,"

  P.H. Metzger and G.R. Cook, ""On the continuous absorption, photoionization, and fluorescence of H",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_MetzgerCook(1964)_295K_56-100nm.csv
295.0,MountMoos(1978),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_MountMoos(1978)_295K_138-160nm.txt,Measurements also at 200 K:,C2H6,ethane,"

  G.H. Mount and H.W. Moos, ""Photoabsorption cross sections of methane and ethane, 1380-1600 Å at T = 295 K and T = 200 K"",
  Astrophys. J. 224, L35-L38 (1978); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_MountMoos(1978)_295K_138-160nm.csv
298.0,OkabeBecker(1963),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_OkabeBecker(1963)_298K_120.4-155.5nm.txt,Absorption measurements using a vacuum-ultraviolet monochromator and a hydrogen discharge lamp as a light source,C2H6,ethane,"

  H. Okabe and D.A. Becker, ""Vacuum ultraviolet photochemistry. VII. Photolysis of n-butane"",
  J. Chem. Phys, 39, 2549-2555 (1963);


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_OkabeBecker(1963)_298K_120.csv
298.0,OkabeMcNesby(1962),https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Alkanes+alkyl%20radicals/Alkanes/C2H6_OkabeMcNesby(1962)_298K_147nm.txt,Absorption measurements using a vacuumultraviolet monochromator in conjunction with a sodium salicylate-coated photomultiplier as a detector and a hydrogen-discharge lamp as the light source,C2H6,ethane,"

  H. Okabe and J.R. McNesby, ""Vacuum ultraviolet photochemistry. IV. Photolysis of propane"",
  J. Chem. Phys. 37, 1340-1346 (1962); 


  DOI: ",data/cross-sections/Alkanes+alkyl radicals/Alkanes/C2H6/C2H6_OkabeMcNesby(1962)_298K_147nm.csv
