λ,σ,uncertainty
,30.37,4.0e-18
,35.84,1.17e-17
,36.3,9.8e-18
,37.4,1.31e-17
,41.88,1.68e-17
,43.4,1.61e-17
,45.2,1.96e-17
,45.96,1.82e-17
,47.5,1.97e-17
,50.84,2.3e-17
,52.58,2.38e-17
,52.95,2.16e-17
,53.36,2.12e-17
,53.9,2.5e-17
,55.5,2.5e-17
,57.465,2.97e-17
,58.07,2.79e-17
,59.96,3.13e-17
,60.42,2.98e-17
,61.63,3.41e-17
,62.93,3.52e-17
,63.73,3.53e-17
,66.03,3.66e-17
,66.19,3.56e-17
,67.14,3.78e-17
,67.16,3.96e-17
,67.94,3.61e-17
,68.58,3.94e-17
,68.84,4.04e-17
,69.85,3.78e-17
,71.85,4.2e-17
,74.64,4.14e-17
,76.4,4.77e-17
,76.93,4.3e-17
,77.3,4.62e-17
,79.67,4.74e-17
,80.6,4.7e-17
,83.3,4.85e-17
,84.003,4.75e-17
,84.38,5.2e-17
,85.06,5.1e-17
,85.83,5.12e-17
,87.11,5.24e-17
,87.55,5.07e-17
,87.87,5.1e-17
,88.31,5.1e-17
,88.74,5.2e-17
,90.6,4.95e-17
,91.6,4.65e-17
,91.98,5.17e-17
,93.21,5.2e-17
,97.8,4.1e-17
,98.88,3.36e-17
102.5,,3.3e-17
103.7,,2.8e-17
108.49,,2.62e-17
113.44,,1.61e-17
115.2,,1.84e-17
117.65,,1.7e-17
118.9,,1.61e-17
120.07,,1.6e-17
121.55,,1.75e-17
132.4,,1.3e-17
133.0,,1.1e-17
133.6,,1.0e-17
141.19,,8.0e-19
143.7,,2.1e-18
145.3,,1.0e-19
146.4,,2.0e-19
148.18,,7.0e-19
149.47,,8.0e-19
151.3,,1.0e-19
