λ,σ
11.0,3.9e-19
12.0,4.8e-19
13.0,5.8e-19
14.0,7.1e-19
15.0,8.6e-19
16.0,1.04e-18
17.0,1.23e-18
18.0,1.45e-18
19.0,1.69e-18
20.0,1.94e-18
21.0,2.22e-18
22.0,2.53e-18
23.0,2.86e-18
24.0,3.23e-18
25.0,3.61e-18
26.0,4.0e-18
27.0,4.42e-18
28.0,4.87e-18
29.0,5.31e-18
30.0,5.85e-18
30.38,6.06e-18
31.0,6.42e-18
32.0,7.01e-18
33.0,7.59e-18
34.0,8.18e-18
35.0,8.9e-18
36.0,9.6e-18
37.0,1.03e-17
38.0,1.11e-17
39.0,1.19e-17
40.0,1.28e-17
41.0,1.37e-17
42.0,1.47e-17
43.0,1.57e-17
44.0,1.67e-17
45.0,1.76e-17
46.0,1.83e-17
47.0,1.92e-17
48.0,2.03e-17
49.0,2.14e-17
50.0,2.25e-17
51.0,2.37e-17
52.0,2.49e-17
53.0,2.56e-17
54.0,2.64e-17
55.0,2.74e-17
56.0,2.86e-17
57.0,3.01e-17
58.0,3.08e-17
58.43,3.105e-17
59.0,3.14e-17
60.0,3.23e-17
61.0,3.32e-17
62.0,3.44e-17
63.0,3.53e-17
64.0,3.61e-17
65.0,3.69e-17
66.0,3.76e-17
67.0,3.85e-17
68.0,3.93e-17
69.0,4.0e-17
70.0,4.08e-17
71.0,4.16e-17
72.0,4.25e-17
73.0,4.33e-17
73.59,4.387e-17
74.0,4.41e-17
74.37,4.432e-17
75.0,4.46e-17
76.0,4.52e-17
77.0,4.57e-17
78.0,4.61e-17
79.0,4.65e-17
80.0,4.72e-17
81.0,4.76e-17
82.0,4.81e-17
83.0,4.83e-17
84.0,4.86e-17
85.0,4.87e-17
86.0,4.88e-17
87.0,4.89e-17
88.0,4.9e-17
89.0,4.91e-17
90.0,4.9e-17
91.0,4.88e-17
95.0,4.54e-17
