λ,σ
51.03,5.69e-17
51.47,5.68e-17
51.83,5.76e-17
52.21,5.85e-17
52.58,5.96e-17
52.95,6.07e-17
53.35,6.16e-17
53.77,6.3e-17
54.13,6.43e-17
54.52,6.55e-17
54.9,6.67e-17
55.29,6.79e-17
55.68,6.9e-17
56.1,7.01e-17
56.53,7.12e-17
56.94,7.23e-17
57.38,7.32e-17
57.87,7.42e-17
58.32,7.53e-17
58.78,7.63e-17
59.25,7.73e-17
59.79,7.82e-17
60.28,7.92e-17
60.82,8.02e-17
61.35,8.11e-17
61.88,8.2e-17
62.42,8.26e-17
63.01,8.4e-17
63.68,8.51e-17
64.12,8.6e-17
64.67,8.69e-17
65.24,8.81e-17
65.9,8.87e-17
66.52,8.96e-17
67.24,9.0e-17
67.92,9.06e-17
68.61,9.05e-17
69.31,9.07e-17
69.6,9.13e-17
70.22,9.23e-17
71.17,9.04e-17
71.82,8.94e-17
72.59,8.87e-17
73.42,8.82e-17
74.26,8.77e-17
75.16,8.78e-17
76.04,8.78e-17
77.47,8.79e-17
78.91,8.82e-17
80.01,8.91e-17
80.7,9.02e-17
80.92,9.04e-17
81.81,9.13e-17
82.72,9.17e-17
83.7,9.07e-17
84.51,8.84e-17
85.19,8.66e-17
85.83,8.48e-17
86.63,8.33e-17
86.84,8.22e-17
87.25,8.02e-17
88.07,8.01e-17
88.6,7.98e-17
88.97,8.08e-17
89.28,8.29e-17
89.55,8.5e-17
89.98,8.75e-17
90.41,9.07e-17
90.63,9.36e-17
91.13,9.45e-17
91.29,9.72e-17
91.45,9.95e-17
92.13,1.04e-16
92.35,1.06e-16
93.22,1.07e-16
93.75,1.08e-16
94.34,1.07e-16
95.25,1.06e-16
95.56,1.02e-16
95.94,9.83e-17
96.19,9.44e-17
96.64,9.01e-17
97.02,8.62e-17
97.28,8.33e-17
97.48,7.91e-17
97.81,7.51e-17
98.21,6.99e-17
98.47,6.59e-17
98.87,6.23e-17
99.28,5.87e-17
100.15,5.52e-17
100.76,5.32e-17
101.59,5.12e-17
102.51,4.94e-17
103.44,4.77e-17
104.31,4.59e-17
105.42,4.42e-17
106.33,4.24e-17
107.18,4.04e-17
108.83,3.94e-17
110.12,3.89e-17
111.52,3.73e-17
112.37,3.74e-17
112.88,3.83e-17
113.73,4.01e-17
114.6,4.25e-17
115.4,4.49e-17
116.47,4.78e-17
117.29,5.07e-17
118.22,5.38e-17
119.35,5.67e-17
120.69,5.96e-17
121.48,6.05e-17
122.48,5.96e-17
122.59,5.94e-17
