λ,σ,Δσ
107.9,1.1e-16,NaN
107.94,1.1e-16,NaN
108.38,1.11e-16,NaN
108.82,1.11e-16,NaN
109.22,1.12e-16,NaN
109.65,1.13e-16,NaN
110.06,1.14e-16,NaN
110.49,1.15e-16,NaN
110.93,1.16e-16,NaN
111.35,1.17e-16,NaN
111.7,1.17e-16,NaN
112.01,1.18e-16,NaN
112.46,1.19e-16,NaN
112.85,1.2e-16,NaN
113.35,1.21e-16,NaN
113.82,1.2e-16,NaN
114.28,1.19e-16,NaN
114.74,1.18e-16,NaN
115.18,1.17e-16,NaN
115.58,1.16e-16,NaN
115.98,1.15e-16,NaN
116.33,1.13e-16,NaN
116.76,1.12e-16,NaN
117.16,1.1e-16,NaN
117.55,1.08e-16,NaN
117.94,1.07e-16,NaN
118.3,1.06e-16,NaN
118.7,1.04e-16,NaN
119.07,1.03e-16,NaN
119.41,1.02e-16,NaN
119.74,1.0e-16,NaN
120.2,9.86e-17,NaN
120.67,9.68e-17,NaN
121.05,9.55e-17,NaN
121.39,9.42e-17,NaN
121.78,9.29e-17,NaN
122.29,9.08e-17,NaN
122.71,8.95e-17,NaN
123.14,8.8e-17,NaN
123.59,8.65e-17,NaN
124.12,8.47e-17,NaN
124.53,8.34e-17,NaN
124.91,8.21e-17,NaN
125.35,8.07e-17,NaN
125.76,7.95e-17,NaN
126.21,7.82e-17,NaN
126.65,7.71e-17,NaN
127.16,7.6e-17,NaN
127.68,7.51e-17,NaN
128.22,7.41e-17,NaN
128.77,7.32e-17,NaN
129.39,7.24e-17,NaN
129.95,7.15e-17,NaN
130.58,7.06e-17,NaN
131.24,7.0e-17,NaN
131.85,6.92e-17,NaN
132.53,6.85e-17,NaN
133.18,6.77e-17,NaN
133.84,6.68e-17,NaN
134.47,6.6e-17,NaN
135.11,6.53e-17,NaN
135.76,6.43e-17,NaN
136.28,6.33e-17,NaN
136.7,6.19e-17,NaN
137.06,6.04e-17,NaN
137.35,5.89e-17,NaN
137.68,5.74e-17,NaN
137.97,5.56e-17,NaN
138.44,5.38e-17,NaN
138.94,5.24e-17,NaN
139.55,5.14e-17,NaN
140.35,5.08e-17,NaN
141.15,5.02e-17,NaN
141.93,4.96e-17,NaN
142.75,4.93e-17,NaN
143.58,4.88e-17,NaN
144.39,4.82e-17,NaN
145.2,4.75e-17,NaN
145.91,4.66e-17,NaN
146.58,4.54e-17,NaN
147.15,4.41e-17,NaN
147.72,4.28e-17,NaN
148.44,4.1e-17,NaN
148.95,3.96e-17,NaN
149.45,3.83e-17,NaN
150.0,3.69e-17,NaN
150.67,3.58e-17,NaN
151.51,3.5e-17,NaN
152.37,3.43e-17,NaN
153.19,3.34e-17,NaN
154.06,3.28e-17,NaN
154.9,3.19e-17,NaN
155.71,3.1e-17,NaN
156.43,2.99e-17,NaN
157.03,2.85e-17,NaN
157.51,2.71e-17,NaN
158.11,2.52e-17,NaN
158.64,2.38e-17,NaN
159.03,2.24e-17,NaN
159.6,2.04e-17,NaN
160.04,1.9e-17,NaN
160.58,1.77e-17,NaN
161.17,1.63e-17,NaN
161.67,1.48e-17,NaN
162.26,1.34e-17,NaN
162.86,1.2e-17,NaN
163.41,1.06e-17,NaN
163.93,9.08e-18,NaN
164.63,7.81e-18,NaN
165.35,6.55e-18,NaN
166.21,5.41e-18,NaN
167.09,4.47e-18,NaN
168.13,3.72e-18,NaN
169.18,2.9e-18,NaN
170.25,2.09e-18,NaN
171.33,1.54e-18,NaN
172.47,9.2e-19,NaN
173.69,3.0e-19,NaN
