λ,σ,Δσ
5.636,6.365e-19,NaN
5.687,6.365e-19,NaN
5.74,6.365e-19,NaN
5.794,6.365e-19,NaN
5.848,6.585e-19,NaN
5.904,6.585e-19,NaN
5.961,6.695e-19,NaN
6.019,6.805e-19,NaN
6.078,7.134e-19,NaN
6.138,7.024e-19,NaN
6.199,7.024e-19,NaN
6.262,7.134e-19,NaN
6.326,7.353e-19,NaN
6.391,7.463e-19,NaN
6.458,7.573e-19,NaN
6.525,7.792e-19,NaN
6.595,8.012e-19,NaN
6.666,8.122e-19,NaN
6.738,7.902e-19,NaN
6.812,8.341e-19,NaN
6.888,8.451e-19,NaN
6.965,8.561e-19,NaN
7.045,8.89e-19,NaN
7.126,8.78e-19,NaN
7.208,8.999e-19,NaN
7.293,9.219e-19,NaN
7.38,9.329e-19,NaN
7.469,9.768e-19,NaN
7.56,9.878e-19,NaN
7.653,1.01e-18,NaN
7.749,1.021e-18,NaN
7.847,1.043e-18,NaN
7.948,1.087e-18,NaN
8.051,1.098e-18,NaN
8.157,1.13e-18,NaN
8.266,1.163e-18,NaN
8.377,1.207e-18,NaN
8.492,1.24e-18,NaN
8.61,1.273e-18,NaN
8.731,1.306e-18,NaN
8.856,1.35e-18,NaN
8.984,1.383e-18,NaN
9.116,1.427e-18,NaN
9.253,1.482e-18,NaN
9.393,1.504e-18,NaN
9.537,1.547e-18,NaN
9.686,1.613e-18,NaN
9.84,1.657e-18,NaN
9.999,1.679e-18,NaN
10.16,1.745e-18,NaN
10.33,1.833e-18,NaN
10.51,1.921e-18,NaN
10.69,1.932e-18,NaN
10.88,2.019e-18,NaN
11.07,2.063e-18,NaN
11.27,2.25e-18,NaN
11.48,2.261e-18,NaN
11.7,2.371e-18,NaN
11.92,2.436e-18,NaN
12.16,2.623e-18,NaN
12.4,2.667e-18,NaN
12.7,2.81e-18,NaN
12.9,2.897e-18,NaN
13.2,3.04e-18,NaN
13.5,3.205e-18,NaN
13.8,3.402e-18,NaN
14.1,3.578e-18,NaN
14.4,3.797e-18,NaN
14.8,4.006e-18,NaN
15.1,4.346e-18,NaN
15.5,4.664e-18,NaN
15.7,4.884e-18,NaN
15.9,5.016e-18,NaN
16.1,5.191e-18,NaN
16.3,5.378e-18,NaN
16.5,5.641e-18,NaN
16.8,5.795e-18,NaN
17.0,6.278e-18,NaN
17.2,6.311e-18,NaN
17.5,6.519e-18,NaN
17.7,6.914e-18,NaN
18.0,7.309e-18,NaN
18.2,7.441e-18,NaN
18.5,7.672e-18,NaN
18.8,8.111e-18,NaN
19.1,8.506e-18,NaN
19.4,8.813e-18,NaN
19.7,9.23e-18,NaN
20.0,9.647e-18,NaN
20.3,1.001e-17,NaN
20.7,1.074e-17,NaN
21.0,1.101e-17,NaN
21.4,1.178e-17,NaN
21.8,1.214e-17,NaN
22.1,1.253e-17,NaN
22.5,1.301e-17,NaN
23.0,1.436e-17,NaN
23.4,1.494e-17,NaN
23.8,1.581e-17,NaN
24.3,1.658e-17,NaN
24.8,1.729e-17,NaN
25.3,1.821e-17,NaN
25.8,1.981e-17,NaN
26.4,2.038e-17,NaN
27.0,2.17e-17,NaN
27.6,2.282e-17,NaN
28.2,2.43e-17,NaN
28.8,2.559e-17,NaN
29.5,2.708e-17,NaN
30.2,2.972e-17,NaN
31.0,3.172e-17,NaN
31.4,3.243e-17,NaN
31.8,3.379e-17,NaN
32.2,3.398e-17,NaN
32.6,3.678e-17,NaN
33.1,3.677e-17,NaN
33.5,3.929e-17,NaN
34.0,4.045e-17,NaN
34.4,4.198e-17,NaN
34.9,4.285e-17,NaN
35.4,4.548e-17,NaN
35.9,4.641e-17,NaN
36.5,4.929e-17,NaN
37.0,5.134e-17,NaN
37.6,5.338e-17,NaN
38.1,5.416e-17,NaN
38.7,5.879e-17,NaN
39.4,6.244e-17,NaN
40.0,6.494e-17,NaN
40.7,6.746e-17,NaN
41.3,6.977e-17,NaN
42.0,7.323e-17,NaN
42.8,7.533e-17,NaN
43.5,7.957e-17,NaN
44.3,8.345e-17,NaN
45.1,8.732e-17,NaN
45.9,9.12e-17,NaN
46.8,9.502e-17,NaN
47.7,1.038e-16,NaN
48.6,1.057e-16,NaN
49.6,1.092e-16,NaN
50.6,1.149e-16,NaN
51.7,1.222e-16,NaN
52.8,1.259e-16,NaN
53.9,1.295e-16,NaN
55.1,1.362e-16,NaN
56.4,1.449e-16,NaN
57.7,1.492e-16,NaN
59.0,1.58e-16,NaN
60.5,1.624e-16,NaN
62.0,1.684e-16,NaN
63.6,1.82e-16,NaN
65.3,1.858e-16,NaN
67.0,1.893e-16,NaN
68.9,1.989e-16,NaN
70.8,1.993e-16,NaN
72.9,2.064e-16,NaN
75.1,2.142e-16,NaN
77.5,2.148e-16,NaN
80.0,2.138e-16,NaN
82.7,2.087e-16,NaN
85.5,2.037e-16,NaN
88.6,1.93e-16,NaN
91.8,1.803e-16,NaN
95.4,1.659e-16,NaN
99.2,1.452e-16,NaN
103.0,1.303e-16,NaN
108.0,1.081e-16,NaN
113.0,9.276e-17,NaN
118.0,7.623e-17,NaN
124.0,6.473e-17,NaN
131.0,5.649e-17,NaN
138.0,4.719e-17,NaN
146.0,2.713e-17,NaN
155.0,1.06e-17,NaN
165.0,2.074e-18,NaN
177.0,2.305e-19,NaN
