λ,σ
108.2,6.47e-17
108.67,6.5e-17
109.15,6.56e-17
109.61,6.63e-17
110.07,6.71e-17
110.52,6.79e-17
110.97,6.86e-17
111.37,6.96e-17
111.81,7.05e-17
112.22,7.14e-17
112.66,7.24e-17
113.03,7.34e-17
113.45,7.44e-17
113.93,7.52e-17
114.4,7.6e-17
114.91,7.66e-17
115.42,7.71e-17
115.96,7.76e-17
116.56,7.78e-17
117.17,7.77e-17
117.68,7.73e-17
118.21,7.66e-17
118.74,7.59e-17
119.23,7.51e-17
119.75,7.42e-17
120.29,7.35e-17
120.84,7.28e-17
121.37,7.21e-17
121.91,7.13e-17
122.5,7.06e-17
123.1,7.0e-17
123.7,6.96e-17
124.3,6.91e-17
124.94,6.87e-17
125.59,6.84e-17
126.29,6.83e-17
126.95,6.8e-17
127.59,6.77e-17
128.24,6.72e-17
128.83,6.65e-17
129.44,6.57e-17
130.01,6.51e-17
130.59,6.45e-17
131.18,6.36e-17
131.84,6.29e-17
132.53,6.24e-17
133.23,6.2e-17
134.18,6.16e-17
134.93,6.13e-17
135.71,6.09e-17
136.4,6.08e-17
137.11,6.04e-17
137.79,5.96e-17
138.22,5.85e-17
138.68,5.72e-17
139.08,5.58e-17
139.48,5.44e-17
139.89,5.29e-17
140.33,5.15e-17
140.7,5.01e-17
141.05,4.87e-17
141.39,4.73e-17
141.81,4.55e-17
142.2,4.35e-17
142.47,4.24e-17
142.82,4.1e-17
143.22,3.96e-17
143.42,3.81e-17
143.78,3.66e-17
144.29,3.49e-17
144.97,3.38e-17
145.77,3.32e-17
146.62,3.28e-17
147.44,3.21e-17
148.19,3.11e-17
148.87,3.01e-17
149.12,2.97e-17
149.85,2.87e-17
150.59,2.78e-17
151.46,2.7e-17
152.4,2.71e-17
153.3,2.75e-17
154.12,2.85e-17
154.95,2.92e-17
155.93,2.97e-17
156.96,3.0e-17
157.98,2.99e-17
158.8,2.89e-17
159.46,2.77e-17
159.98,2.65e-17
160.56,2.51e-17
161.11,2.32e-17
161.66,2.13e-17
162.06,1.98e-17
162.42,1.86e-17
162.93,1.67e-17
163.55,1.45e-17
164.11,1.29e-17
164.58,1.12e-17
164.94,1.03e-17
165.36,8.89e-18
166.19,6.76e-18
166.82,5.45e-18
167.49,4.2e-18
167.96,3.27e-18
168.85,2.16e-18
169.74,1.17e-18
170.89,1.98e-19
