λ,σ,Δσ
234.0,1.16e-18,NaN
235.0,1.04e-18,NaN
235.0,1.12e-18,NaN
236.0,1.2e-18,NaN
237.0,1.35e-18,NaN
237.5,1.26e-18,NaN
237.5,1.32e-18,NaN
238.0,1.43e-18,NaN
239.0,1.5e-18,NaN
240.0,1.59e-18,NaN
240.0,1.68e-18,NaN
240.0,1.7e-18,NaN
240.0,1.31e-18,NaN
241.0,1.4e-18,NaN
242.0,1.65e-18,NaN
242.5,1.63e-18,NaN
242.5,1.56e-18,NaN
242.5,1.66e-18,NaN
242.5,1.53e-18,NaN
243.0,1.82e-18,NaN
244.0,1.79e-18,NaN
245.0,1.75e-18,NaN
245.0,1.75e-18,NaN
245.0,1.63e-18,NaN
245.0,1.85e-18,NaN
245.0,1.77e-18,NaN
246.0,1.83e-18,NaN
247.0,1.83e-18,NaN
247.5,1.82e-18,NaN
247.5,1.85e-18,NaN
247.5,1.83e-18,NaN
248.0,1.95e-18,NaN
249.0,1.83e-18,NaN
250.0,1.54e-18,NaN
250.0,1.73e-18,NaN
250.0,1.64e-18,NaN
251.0,1.6e-18,NaN
252.0,1.54e-18,NaN
253.0,1.47e-18,NaN
254.0,1.42e-18,NaN
255.0,1.28e-18,NaN
255.0,1.26e-18,NaN
255.0,1.33e-18,NaN
