λ,σ
168.26,3.38e-17
169.04,3.57e-17
169.98,3.73e-17
171.14,3.95e-17
172.25,4.11e-17
173.63,4.3e-17
174.62,4.36e-17
175.68,4.48e-17
176.82,4.52e-17
177.56,4.59e-17
178.49,4.54e-17
179.11,4.38e-17
180.45,4.03e-17
181.31,3.75e-17
182.15,3.5e-17
183.4,3.05e-17
184.56,2.67e-17
185.63,2.33e-17
186.26,2.11e-17
186.96,1.85e-17
187.73,1.55e-17
188.41,1.38e-17
188.98,1.25e-17
189.48,1.09e-17
190.06,9.11e-18
190.6,7.69e-18
190.88,6.85e-18
191.39,5.52e-18
191.79,4.75e-18
192.04,3.9e-18
192.32,3.1e-18
192.76,2.52e-18
193.35,1.99e-18
193.79,1.68e-18
194.47,1.41e-18
195.03,1.12e-18
195.75,9.14e-19
196.36,7.47e-19
196.9,6.25e-19
197.36,5.47e-19
197.71,4.85e-19
198.5,4.06e-19
199.17,3.49e-19
