λ,σ
6.26,1.76e-19
6.33,1.76e-19
6.39,1.87e-19
6.46,1.65e-19
6.53,1.76e-19
6.6,1.87e-19
6.67,1.98e-19
6.74,1.98e-19
6.81,1.98e-19
6.89,2.09e-19
6.97,2.2e-19
7.05,2.09e-19
7.13,2.2e-19
7.21,2.31e-19
7.29,2.42e-19
7.38,2.42e-19
7.47,2.42e-19
7.56,2.63e-19
7.65,2.52e-19
7.75,2.63e-19
7.85,2.74e-19
7.95,2.96e-19
8.05,2.85e-19
8.16,2.96e-19
8.27,3.07e-19
8.38,3.18e-19
8.49,3.4e-19
8.61,3.4e-19
8.73,3.51e-19
8.86,3.62e-19
8.98,3.84e-19
9.12,3.95e-19
9.25,4.06e-19
9.39,4.39e-19
9.54,4.5e-19
9.69,4.61e-19
9.84,4.83e-19
10.0,4.94e-19
10.2,5.16e-19
10.3,5.6e-19
10.5,5.71e-19
10.7,5.93e-19
10.9,6.37e-19
11.1,6.59e-19
11.3,6.81e-19
11.5,7.35e-19
11.7,7.57e-19
11.9,8.01e-19
12.2,8.45e-19
12.4,8.89e-19
12.7,9.33e-19
12.9,9.88e-19
13.2,1.05e-18
13.5,1.11e-18
13.8,1.17e-18
14.1,1.26e-18
14.4,1.33e-18
14.8,1.43e-18
15.1,1.52e-18
15.5,1.64e-18
15.9,1.72e-18
16.3,1.87e-18
16.8,2.01e-18
17.2,2.16e-18
17.7,2.4e-18
18.0,2.47e-18
18.2,2.57e-18
18.5,2.66e-18
18.8,2.7e-18
19.1,2.92e-18
19.4,3.14e-18
19.7,3.14e-18
20.0,3.31e-18
20.3,3.53e-18
20.7,3.67e-18
21.0,3.84e-18
21.4,3.98e-18
21.8,4.25e-18
22.1,4.38e-18
22.5,4.74e-18
23.0,4.92e-18
23.4,5.22e-18
23.8,5.5e-18
24.3,5.72e-18
24.8,6.01e-18
25.3,6.38e-18
25.8,6.66e-18
26.4,6.9e-18
27.0,7.32e-18
27.6,7.72e-18
28.2,8.07e-18
28.8,8.37e-18
29.5,8.87e-18
30.2,9.3e-18
31.0,9.76e-18
31.8,1.02e-17
32.6,1.06e-17
33.5,1.127e-17
34.4,1.187e-17
35.4,1.241e-17
36.5,1.306e-17
37.6,1.399e-17
38.7,1.461e-17
40.0,1.552e-17
41.3,1.673e-17
42.0,1.733e-17
42.8,1.796e-17
43.5,1.859e-17
44.3,1.916e-17
45.1,1.997e-17
45.9,2.071e-17
46.8,2.141e-17
47.7,2.206e-17
48.6,2.298e-17
49.6,2.442e-17
50.6,2.473e-17
51.7,2.58e-17
52.8,2.724e-17
53.9,2.851e-17
55.1,2.981e-17
56.4,3.087e-17
57.7,3.244e-17
59.0,3.308e-17
60.5,3.411e-17
62.0,3.562e-17
63.6,3.783e-17
65.3,3.883e-17
67.0,4.134e-17
68.9,4.242e-17
70.8,4.36e-17
72.9,4.561e-17
75.1,4.96e-17
77.5,5.362e-17
80.0,5.63e-17
82.7,5.192e-17
85.5,4.253e-17
88.6,3.977e-17
91.8,4.327e-17
95.4,4.046e-17
99.2,3.469e-17
103.0,3.194e-17
108.0,3.261e-17
113.0,3.373e-17
118.0,3.789e-17
124.0,3.931e-17
131.0,4.895e-17
138.0,3.348e-17
146.0,1.808e-17
155.0,1.831e-17
165.0,3.48e-18
177.0,1.1e-18
191.0,5.05e-19
207.0,1.54e-19
