λ,σ
139.39,4.21e-17
139.53,4.06e-17
139.84,3.93e-17
140.08,4.01e-17
140.46,3.89e-17
140.58,4.04e-17
140.74,4.18e-17
141.11,4.04e-17
141.23,3.89e-17
141.33,3.76e-17
141.64,3.9e-17
141.78,4.05e-17
141.96,3.93e-17
141.98,3.84e-17
142.01,3.72e-17
142.04,3.63e-17
142.14,3.52e-17
142.21,3.41e-17
142.39,3.32e-17
142.54,3.21e-17
142.62,3.09e-17
142.77,2.96e-17
142.97,2.85e-17
143.29,2.79e-17
143.61,2.76e-17
144.07,2.75e-17
144.42,2.69e-17
145.0,2.68e-17
145.49,2.64e-17
146.08,2.65e-17
146.62,2.63e-17
147.25,2.63e-17
147.78,2.6e-17
148.34,2.58e-17
148.6,2.64e-17
149.0,2.67e-17
149.41,2.56e-17
149.79,2.51e-17
150.23,2.46e-17
150.34,2.44e-17
150.5,2.34e-17
150.61,2.27e-17
150.84,2.24e-17
151.25,2.26e-17
151.39,2.3e-17
151.83,2.33e-17
152.17,2.24e-17
152.48,2.18e-17
152.71,2.13e-17
152.87,2.15e-17
153.36,2.2e-17
153.75,2.25e-17
154.07,2.35e-17
154.35,2.42e-17
154.58,2.47e-17
155.04,2.52e-17
155.45,2.51e-17
155.86,2.45e-17
156.42,2.45e-17
156.81,2.51e-17
157.22,2.57e-17
157.64,2.62e-17
158.0,2.69e-17
158.27,2.75e-17
158.33,2.77e-17
158.57,2.84e-17
158.85,2.9e-17
159.09,2.95e-17
159.24,2.92e-17
159.67,2.87e-17
159.92,2.94e-17
160.13,3.0e-17
160.44,3.08e-17
160.6,3.02e-17
161.07,2.94e-17
161.45,3.03e-17
161.82,3.11e-17
162.24,2.99e-17
162.63,2.89e-17
162.95,2.79e-17
163.28,2.7e-17
163.7,2.64e-17
164.28,2.65e-17
164.81,2.7e-17
165.4,2.74e-17
165.6,2.76e-17
166.26,2.8e-17
167.07,2.8e-17
168.07,2.81e-17
168.86,2.72e-17
169.62,2.65e-17
170.39,2.5e-17
171.13,2.65e-17
171.88,2.71e-17
172.67,2.62e-17
173.46,2.76e-17
