λ,σ
138.12,3.61e-17
138.51,3.65e-17
138.77,3.68e-17
138.89,3.66e-17
139.01,3.61e-17
139.22,3.54e-17
139.48,3.47e-17
139.69,3.43e-17
139.84,3.44e-17
140.05,3.46e-17
140.26,3.44e-17
140.5,3.38e-17
140.67,3.33e-17
140.81,3.4e-17
141.05,3.49e-17
141.25,3.41e-17
141.45,3.26e-17
141.52,3.13e-17
141.62,3.08e-17
141.82,3.11e-17
141.9,3.0e-17
142.07,2.88e-17
142.22,2.78e-17
142.36,2.49e-17
142.48,2.39e-17
142.59,2.26e-17
142.81,2.15e-17
143.06,2.08e-17
143.34,2.02e-17
143.62,1.96e-17
143.94,1.9e-17
144.3,1.85e-17
144.76,1.8e-17
145.11,1.77e-17
145.63,1.74e-17
146.24,1.75e-17
146.71,1.72e-17
146.98,1.7e-17
147.5,1.72e-17
148.08,1.72e-17
148.35,1.66e-17
148.4,1.71e-17
148.56,1.77e-17
148.79,1.86e-17
149.07,1.78e-17
149.53,1.72e-17
149.71,1.79e-17
149.76,1.87e-17
149.98,1.87e-17
150.2,1.91e-17
150.48,1.8e-17
151.03,1.69e-17
151.06,1.69e-17
151.28,1.75e-17
151.47,1.84e-17
151.52,1.92e-17
151.66,1.99e-17
151.79,2.06e-17
151.98,2.13e-17
152.13,2.05e-17
152.27,1.96e-17
152.39,1.88e-17
152.62,1.79e-17
153.13,1.75e-17
153.67,1.78e-17
154.01,1.84e-17
154.29,1.9e-17
154.43,1.97e-17
154.58,2.05e-17
154.69,2.13e-17
155.1,2.08e-17
155.24,2.18e-17
155.5,2.27e-17
155.79,2.19e-17
155.89,2.07e-17
156.04,1.98e-17
156.55,1.89e-17
157.02,1.94e-17
157.43,2.0e-17
157.73,2.06e-17
158.09,2.11e-17
158.54,2.17e-17
158.75,2.25e-17
158.93,2.33e-17
159.39,2.38e-17
159.73,2.31e-17
160.04,2.36e-17
160.25,2.46e-17
160.4,2.55e-17
160.42,2.69e-17
160.57,2.82e-17
160.75,3.01e-17
160.98,2.8e-17
161.14,2.67e-17
161.47,2.54e-17
161.81,2.7e-17
161.83,2.73e-17
161.86,2.92e-17
161.98,3.01e-17
162.27,2.89e-17
162.34,2.78e-17
162.48,2.67e-17
162.55,2.56e-17
162.71,2.44e-17
162.85,2.31e-17
162.98,2.23e-17
163.34,2.14e-17
163.93,2.1e-17
164.71,2.1e-17
165.4,2.11e-17
166.1,2.13e-17
166.77,2.14e-17
167.44,2.18e-17
167.95,2.23e-17
168.43,2.29e-17
169.62,2.35e-17
170.46,2.5e-17
171.16,2.62e-17
171.87,2.83e-17
172.48,3.13e-17
173.12,3.44e-17
173.74,3.98e-17
174.17,4.39e-17
174.83,4.66e-17
175.39,5.0e-17
175.98,5.35e-17
176.58,5.69e-17
177.03,6.18e-17
177.6,6.54e-17
177.9,6.97e-17
178.12,7.64e-17
178.42,8.05e-17
178.69,8.5e-17
179.0,8.93e-17
179.42,9.35e-17
179.61,9.72e-17
179.88,1.0e-16
180.27,1.04e-16
180.58,1.07e-16
180.66,1.11e-16
180.89,1.13e-16
181.13,1.17e-16
181.52,1.21e-16
181.75,1.25e-16
182.03,1.31e-16
182.18,1.35e-16
182.38,1.39e-16
182.58,1.44e-16
182.77,1.49e-16
183.01,1.53e-16
183.25,1.57e-16
183.53,1.62e-16
183.94,1.65e-16
184.59,1.68e-16
185.25,1.7e-16
186.09,1.71e-16
186.97,1.69e-16
187.65,1.67e-16
187.91,1.63e-16
188.0,1.59e-16
188.35,1.55e-16
188.78,1.53e-16
189.13,1.48e-16
189.44,1.44e-16
189.67,1.36e-16
189.71,1.4e-16
189.85,1.32e-16
189.99,1.25e-16
190.17,1.18e-16
190.35,1.1e-16
190.45,1.02e-16
190.68,9.42e-17
190.87,8.58e-17
191.1,7.89e-17
191.32,7.18e-17
191.51,6.56e-17
191.74,6.0e-17
192.06,5.5e-17
192.33,4.94e-17
192.56,4.48e-17
192.92,4.05e-17
193.2,3.79e-17
193.66,3.36e-17
194.39,3.03e-17
195.04,2.68e-17
195.92,2.4e-17
196.95,2.27e-17
197.94,2.11e-17
199.04,2.1e-17
199.89,2.26e-17
200.37,2.3e-17
200.9,2.34e-17
201.48,2.39e-17
202.31,2.43e-17
203.36,2.44e-17
204.31,2.44e-17
205.07,2.48e-17
205.67,2.52e-17
206.13,2.53e-17
206.6,2.51e-17
207.07,2.47e-17
207.44,2.42e-17
208.13,2.37e-17
208.66,2.32e-17
209.2,2.28e-17
210.32,2.27e-17
210.96,2.23e-17
211.35,2.17e-17
211.47,2.08e-17
211.92,1.98e-17
212.21,1.87e-17
212.45,1.74e-17
212.74,1.59e-17
213.15,1.44e-17
213.5,1.31e-17
214.01,1.18e-17
214.3,1.09e-17
214.65,1.01e-17
214.99,9.49e-18
215.22,9.02e-18
215.45,8.57e-18
215.74,8.05e-18
215.92,7.59e-18
216.21,7.03e-18
216.39,6.51e-18
216.68,5.87e-18
216.92,5.18e-18
217.04,4.64e-18
217.39,4.05e-18
217.8,3.39e-18
218.1,2.8e-18
218.34,2.35e-18
218.75,1.9e-18
219.1,1.46e-18
219.63,1.03e-18
220.28,6.39e-19
221.05,2.87e-19
222.0,1.8e-19
224.06,8.0e-20
225.57,5.24e-20
227.0,4.61e-20
228.44,4.91e-20
229.9,5.21e-20
231.31,6.35e-20
232.68,7.58e-20
234.06,8.72e-20
235.39,9.95e-20
236.59,1.15e-19
237.75,1.31e-19
238.84,1.49e-19
239.87,1.66e-19
240.43,1.79e-19
241.33,1.97e-19
242.38,2.26e-19
243.09,2.45e-19
244.01,2.65e-19
244.95,2.83e-19
246.03,3.16e-19
246.76,3.39e-19
247.41,3.6e-19
247.85,3.82e-19
248.88,4.21e-19
249.47,4.43e-19
250.14,4.64e-19
251.05,4.85e-19
251.57,5.08e-19
252.17,5.39e-19
252.78,5.67e-19
253.24,5.9e-19
254.31,6.22e-19
255.73,6.36e-19
256.59,6.57e-19
257.22,6.78e-19
258.17,7.12e-19
259.06,7.05e-19
259.62,7.47e-19
260.42,7.86e-19
261.39,8.18e-19
262.16,7.61e-19
262.77,7.04e-19
263.55,6.42e-19
264.54,6.93e-19
265.07,6.66e-19
265.76,6.47e-19
266.13,5.85e-19
266.68,5.07e-19
267.48,4.37e-19
267.89,5.02e-19
268.56,5.62e-19
268.62,6.16e-19
269.29,6.84e-19
269.94,6.08e-19
270.24,5.35e-19
270.54,4.64e-19
270.92,4.0e-19
271.31,3.3e-19
271.61,2.64e-19
272.08,2.16e-19
272.37,1.61e-19
273.49,9.75e-20
274.41,6.21e-20
275.71,3.61e-20
277.1,1.76e-20
279.07,8.47e-21
