λ,σ
242.133,1.701105e-19
242.134,1.903703e-19
242.135,2.096918e-19
242.137,1.762215e-19
242.138,1.35269e-19
242.139,1.117139e-19
242.14,1.118497e-19
242.141,1.142217e-19
242.142,1.275932e-19
242.144,1.388195e-19
242.145,1.323393e-19
242.146,1.2117e-19
242.147,1.180035e-19
242.148,1.411957e-19
242.15,1.669633e-19
242.151,1.696765e-19
242.152,1.692596e-19
242.153,1.69208e-19
242.154,1.616952e-19
242.155,1.532989e-19
242.157,1.575907e-19
242.158,1.531718e-19
242.159,1.274579e-19
242.16,1.036614e-19
242.161,9.117631e-20
242.162,1.224428e-19
242.164,1.561467e-19
242.165,1.837755e-19
242.166,2.018706e-19
242.167,1.986995e-19
242.168,1.723617e-19
242.169,1.4886e-19
242.171,1.56478e-19
242.172,1.600737e-19
242.173,1.561161e-19
242.174,1.334038e-19
242.175,1.133081e-19
242.176,1.21348e-19
242.178,1.390098e-19
242.179,1.567289e-19
242.18,1.723885e-19
242.181,1.819956e-19
242.182,1.678885e-19
242.184,1.490233e-19
242.185,1.279865e-19
242.186,1.104441e-19
242.187,1.021883e-19
242.188,1.057445e-19
242.189,1.112529e-19
242.191,1.347406e-19
242.192,1.6208e-19
242.193,1.696227e-19
242.194,1.621812e-19
242.195,1.506735e-19
242.196,1.24151e-19
242.198,9.553583e-20
242.199,8.585341e-20
242.2,8.774352e-20
242.201,1.026919e-19
242.202,1.347803e-19
242.203,1.657126e-19
242.205,1.610254e-19
242.206,1.518181e-19
242.207,1.427154e-19
242.208,1.23377e-19
242.209,1.019585e-19
242.211,7.184003e-20
242.212,4.075356e-20
242.213,4.841327e-20
242.214,8.263746e-20
242.215,1.090702e-19
242.216,1.267433e-19
242.218,1.452963e-19
242.219,1.45147e-19
242.22,1.343484e-19
242.221,1.406977e-19
242.222,1.716679e-19
242.223,1.9607e-19
242.225,1.796829e-19
242.226,1.58263e-19
242.227,1.594496e-19
242.228,1.61829e-19
242.229,1.602881e-19
242.23,1.636749e-19
242.232,1.717761e-19
242.233,1.614533e-19
242.234,1.452611e-19
242.235,1.394483e-19
242.236,1.353479e-19
242.237,1.293639e-19
242.239,1.193745e-19
242.24,1.127557e-19
242.241,1.056107e-19
242.242,1.045624e-19
242.243,1.050215e-19
242.245,1.050998e-19
242.246,1.032486e-19
242.247,1.141588e-19
242.248,1.235865e-19
242.249,1.301557e-19
242.25,1.417988e-19
242.252,1.534733e-19
242.253,1.404695e-19
242.254,1.308338e-19
242.255,1.460024e-19
242.256,1.604696e-19
242.257,1.690931e-19
242.259,1.582818e-19
242.26,1.478112e-19
242.261,1.482025e-19
242.262,1.472219e-19
242.263,1.402739e-19
242.264,1.260117e-19
242.266,1.121446e-19
242.267,1.2239e-19
242.268,1.34062e-19
242.269,1.38415e-19
242.27,1.405613e-19
242.272,1.404171e-19
242.273,1.34228e-19
242.274,1.32161e-19
242.275,1.374124e-19
242.276,1.396965e-19
242.277,1.391735e-19
242.279,1.302542e-19
242.28,1.201235e-19
242.281,1.478991e-19
242.282,1.836712e-19
242.283,2.037655e-19
242.284,2.095331e-19
242.286,2.1129e-19
242.287,1.807804e-19
