λ,σ
242.133,3.069373e-19
242.134,2.915036e-19
242.135,2.646656e-19
242.137,3.479614e-19
242.138,4.504366e-19
242.139,4.890072e-19
242.14,4.692975e-19
242.141,4.448253e-19
242.142,3.652442e-19
242.144,2.777378e-19
242.145,2.323515e-19
242.146,1.956401e-19
242.147,1.695894e-19
242.148,2.075543e-19
242.15,2.648904e-19
242.151,2.646631e-19
242.152,2.666497e-19
242.153,2.984438e-19
242.154,3.19014e-19
242.155,3.298898e-19
242.157,3.544736e-19
242.158,3.703199e-19
242.159,3.236737e-19
242.16,2.678339e-19
242.161,2.179643e-19
242.162,1.990928e-19
242.164,1.87119e-19
242.165,2.254194e-19
242.166,2.5603e-19
242.167,2.478527e-19
242.168,1.800777e-19
242.169,1.122814e-19
242.171,1.437471e-19
242.172,1.82268e-19
242.173,2.2249e-19
242.174,2.764703e-19
242.175,3.260436e-19
242.176,3.484631e-19
242.178,3.694106e-19
242.179,3.520437e-19
242.18,3.018219e-19
242.181,2.677289e-19
242.182,2.908901e-19
242.184,3.244062e-19
242.185,3.438888e-19
242.186,3.765655e-19
242.187,4.140732e-19
242.188,3.872208e-19
242.189,3.549268e-19
242.191,3.452924e-19
242.192,3.333767e-19
242.193,2.318979e-19
242.194,1.583163e-19
242.195,1.346596e-19
242.196,2.035502e-19
242.198,2.525037e-19
242.199,2.73632e-19
242.2,2.564156e-19
242.201,1.586448e-19
242.202,7.888651e-20
242.203,2.960961e-20
242.205,1.674511e-19
242.206,2.764049e-19
242.207,2.963225e-19
242.208,2.505326e-19
242.209,2.126845e-19
242.211,2.018099e-19
242.212,1.904281e-19
242.213,2.6519e-19
242.214,3.475687e-19
242.215,3.505756e-19
242.216,2.902887e-19
242.218,2.465642e-19
242.219,2.336688e-19
242.22,1.871046e-19
242.221,2.378414e-19
242.222,3.935185e-19
242.223,5.208286e-19
242.225,4.866567e-19
242.226,4.389363e-19
242.227,4.036469e-19
242.228,3.640202e-19
242.229,3.465336e-19
242.23,3.962152e-19
242.232,4.557311e-19
242.233,3.868329e-19
242.234,2.370658e-19
242.235,1.350136e-19
242.236,1.700059e-19
242.237,2.122383e-19
242.239,2.237758e-19
242.24,2.287654e-19
242.241,1.723837e-19
242.242,7.759325e-20
242.243,5.409457e-20
242.245,2.238926e-19
242.246,4.056304e-19
242.247,4.685852e-19
242.248,4.693422e-19
242.249,3.788404e-19
242.25,2.698541e-19
242.252,1.858918e-19
242.253,2.602441e-19
242.254,2.948283e-19
242.255,3.064297e-19
242.256,2.844135e-19
242.257,2.608008e-19
242.259,2.51796e-19
242.26,2.560768e-19
242.261,3.736847e-19
242.262,5.044393e-19
242.263,5.252627e-19
242.264,4.166083e-19
242.266,3.16574e-19
242.267,3.515264e-19
242.268,3.472154e-19
242.269,3.196385e-19
242.27,3.166347e-19
242.272,3.067238e-19
242.273,2.492437e-19
242.274,1.837071e-19
242.275,2.096341e-19
242.276,2.670443e-19
242.277,2.909183e-19
242.279,2.506802e-19
242.28,2.095931e-19
242.281,1.868424e-19
242.282,1.544598e-19
242.283,1.311205e-19
242.284,1.995353e-19
242.286,2.71819e-19
242.287,2.551539e-19
242.288,1.85827e-19
242.289,1.830748e-19
242.29,2.260642e-19
242.291,2.786321e-19
242.293,3.702707e-19
242.294,4.699713e-19
242.295,4.232441e-19
242.296,3.401751e-19
242.297,2.358236e-19
242.299,1.374574e-19
242.3,6.114795e-20
242.301,1.743676e-19
242.302,2.609155e-19
242.303,2.970118e-19
242.304,3.66014e-19
242.306,4.18947e-19
242.307,3.873536e-19
242.308,3.339688e-19
242.309,3.631612e-19
242.31,4.088894e-19
242.311,3.751881e-19
242.313,2.775798e-19
242.314,1.912118e-19
242.315,2.038008e-19
242.316,1.740442e-19
242.317,2.107447e-19
242.319,3.374697e-19
242.32,4.335527e-19
242.321,3.931272e-19
242.322,3.594594e-19
242.323,3.074969e-19
242.324,2.174085e-19
242.326,1.546982e-19
242.327,1.358755e-19
242.328,1.151349e-19
242.329,1.472261e-19
242.33,1.8712e-19
242.331,1.86292e-19
242.333,1.840528e-19
242.334,1.877578e-19
242.335,2.190638e-19
242.336,2.549592e-19
242.337,2.992778e-19
242.338,2.954025e-19
242.34,2.74009e-19
242.341,2.401431e-19
242.342,2.192389e-19
242.343,2.173096e-19
242.344,2.122731e-19
242.346,2.34214e-19
242.347,2.546264e-19
242.348,2.659104e-19
242.349,2.569505e-19
242.35,2.796957e-19
242.351,2.590033e-19
242.353,2.02744e-19
242.354,1.839414e-19
242.355,2.790523e-19
242.356,3.764337e-19
242.357,4.27412e-19
242.358,4.444225e-19
242.36,4.178503e-19
242.361,3.089012e-19
242.362,1.948773e-19
242.363,2.227406e-19
242.364,2.954398e-19
242.365,3.130448e-19
242.367,2.566405e-19
242.368,2.00895e-19
242.369,1.802386e-19
242.37,1.811288e-19
242.371,2.419033e-19
242.373,2.914093e-19
242.374,3.577798e-19
242.375,4.229808e-19
242.376,4.787761e-19
242.377,3.477413e-19
242.378,2.358404e-19
242.38,2.134394e-19
242.381,2.770268e-19
242.382,3.495457e-19
242.383,4.631386e-19
242.384,5.667833e-19
242.385,4.844984e-19
242.387,3.064153e-19
242.388,1.75954e-19
242.389,1.886774e-19
242.39,2.16807e-19
242.391,3.10321e-19
242.393,3.746061e-19
242.394,3.679821e-19
242.395,3.042109e-19
242.396,2.435328e-19
242.397,2.043442e-19
242.398,1.831515e-19
242.4,2.295415e-19
242.401,2.296562e-19
242.402,2.059199e-19
242.403,1.76246e-19
242.404,1.829685e-19
242.405,2.50696e-19
242.407,3.185492e-19
242.408,3.862592e-19
242.409,3.958724e-19
242.41,3.870335e-19
242.411,2.514509e-19
242.412,1.455773e-19
242.414,1.417613e-19
242.415,2.229217e-19
242.416,2.83943e-19
242.417,2.662798e-19
242.418,2.483591e-19
242.42,2.905218e-19
242.421,3.144034e-19
242.422,3.510235e-19
242.423,4.036243e-19
242.424,4.547686e-19
242.425,3.721134e-19
242.427,3.155615e-19
242.428,3.539947e-19
242.429,4.189586e-19
242.43,4.57234e-19
242.431,3.8208e-19
242.432,3.175583e-19
242.434,2.677917e-19
242.435,2.43965e-19
242.436,2.366984e-19
242.437,2.43166e-19
242.438,2.415199e-19
242.44,2.688978e-19
242.441,3.277492e-19
242.442,3.848254e-19
242.443,3.73278e-19
242.444,3.513057e-19
242.445,3.389853e-19
242.447,3.571532e-19
242.448,3.458714e-19
242.449,3.274436e-19
242.45,3.058867e-19
242.451,2.260927e-19
242.452,1.181079e-19
242.454,1.974419e-19
242.455,3.738136e-19
242.456,4.664084e-19
242.457,4.255374e-19
242.458,3.791741e-19
242.46,3.30418e-19
242.461,2.89802e-19
242.462,3.272808e-19
242.463,3.840624e-19
242.464,4.262922e-19
242.465,4.04813e-19
242.467,3.767795e-19
242.468,4.284011e-19
242.469,5.48353e-19
242.47,5.698749e-19
242.471,3.936131e-19
242.472,2.043103e-19
242.474,2.365149e-19
242.475,2.825848e-19
242.476,3.792172e-19
242.477,5.104673e-19
242.478,6.011485e-19
242.479,4.794419e-19
242.481,3.566124e-19
242.482,3.268182e-19
242.483,3.194187e-19
242.484,3.101493e-19
242.485,2.93073e-19
242.487,2.743255e-19
242.488,2.898401e-19
242.489,3.468923e-19
242.49,3.472553e-19
242.491,2.488692e-19
242.492,1.510493e-19
242.494,1.23456e-19
242.495,1.02994e-19
242.496,1.364422e-19
242.497,2.282138e-19
242.498,2.888661e-19
242.499,2.644265e-19
242.501,2.363423e-19
242.502,2.473901e-19
242.503,2.416204e-19
242.504,2.795956e-19
242.505,3.508113e-19
242.507,4.117392e-19
242.508,3.139836e-19
242.509,2.274087e-19
242.51,1.963624e-19
242.511,2.780218e-19
242.512,3.566366e-19
242.514,3.782496e-19
242.515,3.67963e-19
242.516,3.819189e-19
242.517,3.664055e-19
242.518,3.24085e-19
242.519,3.081208e-19
242.521,3.108115e-19
242.522,2.545426e-19
242.523,1.576312e-19
242.524,1.414711e-19
242.525,2.398185e-19
242.527,3.251257e-19
242.528,3.310894e-19
242.529,3.353546e-19
242.53,3.612245e-19
242.531,3.29863e-19
242.532,3.04636e-19
242.534,3.199972e-19
242.535,3.467958e-19
242.536,2.724703e-19
242.537,2.020755e-19
242.538,1.659829e-19
242.539,1.848512e-19
242.541,2.035609e-19
242.542,1.702958e-19
242.543,1.067693e-19
242.544,1.086485e-19
242.545,1.835484e-19
242.547,2.521392e-19
242.548,3.160659e-19
242.549,3.854828e-19
242.55,3.286894e-19
242.551,1.963016e-19
242.552,1.284403e-19
242.554,1.926847e-19
242.555,2.642166e-19
242.556,2.375881e-19
242.557,1.918051e-19
242.558,1.924344e-19
242.559,2.719387e-19
242.561,3.468133e-19
242.562,3.633661e-19
242.563,3.524749e-19
242.564,3.009616e-19
242.565,2.403311e-19
242.567,2.215301e-19
242.568,3.5907e-19
242.569,5.225804e-19
242.57,4.82389e-19
242.571,3.516404e-19
242.572,2.716279e-19
242.574,2.682406e-19
242.575,2.636683e-19
242.576,2.637991e-19
242.577,2.791101e-19
242.578,3.13379e-19
242.579,2.912481e-19
242.581,2.670859e-19
242.582,2.716409e-19
242.583,2.889505e-19
242.584,2.550525e-19
242.585,2.142239e-19
242.587,2.335804e-19
242.588,3.254128e-19
242.589,4.037834e-19
242.59,3.605921e-19
242.591,3.088973e-19
242.592,3.066e-19
242.594,3.275664e-19
242.595,3.445306e-19
242.596,3.589198e-19
242.597,3.768301e-19
242.598,3.528054e-19
242.6,2.965876e-19
242.601,2.671711e-19
242.602,3.234483e-19
242.603,3.832885e-19
242.604,3.456216e-19
242.605,3.034337e-19
242.607,3.356494e-19
242.608,3.56907e-19
242.609,3.61038e-19
242.61,3.357227e-19
242.611,3.253817e-19
242.612,2.877362e-19
242.614,2.184189e-19
242.615,1.681271e-19
242.616,1.642422e-19
242.617,1.655563e-19
242.618,1.314998e-19
242.62,1.034996e-19
242.621,1.233456e-19
242.622,1.513495e-19
242.623,1.790531e-19
242.624,2.115238e-19
242.625,2.458267e-19
242.627,2.730081e-19
242.628,2.898788e-19
242.629,2.803438e-19
242.63,2.66449e-19
242.631,2.668474e-19
242.632,2.370829e-19
242.634,1.520385e-19
242.635,1.134439e-19
