λ,σ,Δσ
290.0,1.1696e-18,NaN
295.0,1.1056e-18,NaN
300.0,1.0258e-18,NaN
305.0,9.3238e-19,NaN
310.0,8.3258e-19,NaN
315.0,7.4097e-19,NaN
320.0,6.3938e-19,NaN
325.0,5.4775e-19,NaN
330.0,4.6591e-19,NaN
335.0,3.9005e-19,NaN
340.0,3.2559e-19,NaN
345.0,2.6896e-19,NaN
350.0,2.2065e-19,NaN
355.0,1.7934e-19,NaN
360.0,1.453e-19,NaN
365.0,1.1708e-19,NaN
370.0,9.4169e-20,NaN
375.0,7.4993e-20,NaN
380.0,6.0106e-20,NaN
385.0,4.7649e-20,NaN
390.0,3.7949e-20,NaN
395.0,3.0087e-20,NaN
400.0,2.3792e-20,NaN
405.0,1.9079e-20,NaN
410.0,1.457e-20,NaN
415.0,1.1156e-20,NaN
420.0,7.5746e-21,NaN
430.0,4.6092e-21,NaN
440.0,2.5308e-21,NaN
450.0,1.2269e-21,NaN
460.0,5.3428e-22,NaN
