λ,σ,Δσ
292.5,9.94e-19,NaN
297.5,9.43e-19,NaN
302.5,8.75e-19,NaN
307.5,7.92e-19,NaN
312.5,7.08e-19,NaN
317.5,6.29e-19,NaN
322.5,5.43e-19,NaN
327.5,4.66e-19,NaN
332.5,3.96e-19,NaN
337.5,3.31e-19,NaN
342.5,2.77e-19,NaN
347.5,2.29e-19,NaN
352.5,1.88e-19,NaN
357.5,1.52e-19,NaN
362.5,1.23e-19,NaN
367.5,9.94e-20,NaN
372.5,8.0e-20,NaN
377.5,6.37e-20,NaN
382.5,5.11e-20,NaN
387.5,4.04e-20,NaN
392.5,3.22e-20,NaN
397.5,2.56e-20,NaN
402.5,2.02e-20,NaN
407.5,1.62e-20,NaN
412.5,1.24e-20,NaN
417.5,9.51e-21,NaN
425.0,6.43e-21,NaN
435.0,3.92e-21,NaN
445.0,2.15e-21,NaN
455.0,1.05e-21,NaN
465.0,4.54e-22,NaN
