λ,σ
45.19,6.55e-17
45.22,6.77e-17
48.55,8.89e-17
50.77,8.56e-17
53.53,1.06e-16
53.83,1.02e-16
57.43,1.21e-16
58.1,1.3e-16
61.64,1.35e-16
62.97,1.35e-16
63.52,1.47e-16
64.46,1.48e-16
64.48,1.55e-16
64.52,1.56e-16
66.03,1.53e-16
67.14,1.42e-16
67.18,1.59e-16
67.2,1.56e-16
68.5,1.76e-16
68.58,1.68e-16
68.71,1.75e-16
70.23,1.57e-16
70.29,1.65e-16
70.39,1.94e-16
71.85,1.49e-16
74.7,1.55e-16
74.84,1.58e-16
76.33,1.55e-16
76.44,1.6e-16
76.51,1.72e-16
77.29,1.47e-16
77.6,1.6e-16
79.02,1.57e-16
79.67,1.48e-16
83.28,1.22e-16
83.45,1.14e-16
83.53,1.12e-16
90.36,8.33e-17
90.45,7.63e-17
91.6,7.92e-17
91.67,7.48e-17
92.2,8.7e-17
92.25,8.97e-17
92.32,8.56e-17
92.34,9.75e-17
92.43,8.26e-17
97.7,8.18e-17
97.99,8.04e-17
98.98,1.04e-16
99.16,9.08e-17
100.62,9.3e-17
102.57,8.7e-17
103.7,9.37e-17
108.4,8.33e-17
108.46,7.96e-17
108.57,8.7e-17
113.44,1.01e-16
118.3,6.14e-17
118.45,9.45e-17
119.96,6.14e-17
120.02,6.1e-17
120.07,6.25e-17
121.57,3.83e-17
121.76,4.05e-17
124.28,4.58e-17
124.32,5.99e-17
124.33,6.14e-17
127.73,4.35e-17
130.22,6.25e-17
130.49,5.73e-17
130.6,5.39e-17
132.39,3.68e-17
133.45,3.01e-17
