λ,σ,Δσ
235.78879,5.77e-20,NaN
235.82768,5.85e-20,NaN
235.86657,5.54e-20,NaN
235.90547,6.02e-20,NaN
235.94436,5.67e-20,NaN
235.98325,6.68e-20,NaN
236.02214,6.66e-20,NaN
236.06103,6.62e-20,NaN
236.09992,6.7e-20,NaN
236.13882,5.01e-20,NaN
236.17771,6.98e-20,NaN
236.2166,6.96e-20,NaN
236.25549,6.72e-20,NaN
236.29438,7.96e-20,NaN
236.33327,9.18e-20,NaN
236.37217,1.24e-19,NaN
236.41106,1.52e-19,NaN
236.44995,2.11e-19,NaN
236.48884,2.42e-19,NaN
236.52773,2.94e-19,NaN
236.56662,3.13e-19,NaN
236.60552,2.87e-19,NaN
236.64441,2.44e-19,NaN
236.6833,2.01e-19,NaN
236.72219,1.65e-19,NaN
236.76108,1.28e-19,NaN
236.79998,1.01e-19,NaN
236.83887,8.75e-20,NaN
236.87776,9.17e-20,NaN
236.91665,7.27e-20,NaN
236.95554,7.34e-20,NaN
236.99443,8.33e-20,NaN
237.03333,8.85e-20,NaN
237.07222,1.03e-19,NaN
237.11111,9.72e-20,NaN
237.15,1.01e-19,NaN
237.18889,9.57e-20,NaN
237.22778,9.25e-20,NaN
237.26668,9.3e-20,NaN
237.30557,9.76e-20,NaN
237.34446,1.02e-19,NaN
237.38335,1.09e-19,NaN
237.42224,1.24e-19,NaN
237.46113,1.25e-19,NaN
237.50003,1.22e-19,NaN
237.53892,1.35e-19,NaN
237.57781,1.36e-19,NaN
237.6167,1.69e-19,NaN
237.65559,2.01e-19,NaN
237.69448,2.24e-19,NaN
237.73338,2.27e-19,NaN
237.77227,1.84e-19,NaN
237.81116,1.47e-19,NaN
237.85005,1.22e-19,NaN
237.88894,1.01e-19,NaN
237.92783,9.09e-20,NaN
237.96673,1.01e-19,NaN
238.00562,1.0e-19,NaN
238.04451,9.63e-20,NaN
238.0834,1.04e-19,NaN
238.12229,1.02e-19,NaN
238.16118,9.58e-20,NaN
238.20008,1.03e-19,NaN
238.23897,9.64e-20,NaN
238.27786,1.02e-19,NaN
238.31675,1.05e-19,NaN
238.35564,1.01e-19,NaN
238.39453,1.02e-19,NaN
238.43343,9.35e-20,NaN
238.47232,1.01e-19,NaN
238.51121,9.58e-20,NaN
238.5501,9.91e-20,NaN
238.58899,1.14e-19,NaN
238.62789,1.11e-19,NaN
238.66678,1.05e-19,NaN
238.70567,9.18e-20,NaN
238.74456,9.11e-20,NaN
238.78345,9.8e-20,NaN
238.82234,1.14e-19,NaN
238.86124,1.21e-19,NaN
238.90013,1.09e-19,NaN
238.93902,1.13e-19,NaN
238.97791,1.12e-19,NaN
239.0168,1.09e-19,NaN
239.05569,1.04e-19,NaN
239.09459,1.02e-19,NaN
239.13348,1.04e-19,NaN
239.17237,9.78e-20,NaN
239.21126,9.51e-20,NaN
239.25015,9.08e-20,NaN
239.28904,8.22e-20,NaN
239.32794,7.59e-20,NaN
239.36683,6.49e-20,NaN
239.40572,6.2e-20,NaN
239.44461,6.16e-20,NaN
239.4835,6.46e-20,NaN
239.52239,6.24e-20,NaN
239.56129,6.89e-20,NaN
239.60018,7.56e-20,NaN
239.63907,7.67e-20,NaN
239.67796,7.89e-20,NaN
239.71685,7.42e-20,NaN
239.75574,7.54e-20,NaN
239.79464,7.67e-20,NaN
239.83353,7.06e-20,NaN
239.87242,7.65e-20,NaN
239.91131,7.29e-20,NaN
239.9502,7.41e-20,NaN
239.98909,7.05e-20,NaN
240.02799,6.95e-20,NaN
240.06688,6.56e-20,NaN
240.10577,5.63e-20,NaN
240.14466,6.57e-20,NaN
240.18355,6.64e-20,NaN
240.22244,8.04e-20,NaN
240.26134,9.6e-20,NaN
240.30023,1.05e-19,NaN
240.33912,1.25e-19,NaN
240.37801,1.19e-19,NaN
240.4169,1.09e-19,NaN
240.45579,1.03e-19,NaN
240.49469,8.62e-20,NaN
240.53358,7.97e-20,NaN
240.57247,6.92e-20,NaN
240.61136,6.44e-20,NaN
240.65025,6.0e-20,NaN
240.68915,5.57e-20,NaN
240.72804,5.07e-20,NaN
240.76693,5.2e-20,NaN
240.80582,4.91e-20,NaN
240.84471,4.99e-20,NaN
240.8836,5.57e-20,NaN
240.9225,5.64e-20,NaN
240.96139,5.76e-20,NaN
241.00028,6.31e-20,NaN
241.03917,7.11e-20,NaN
241.07806,8.38e-20,NaN
241.11695,9.72e-20,NaN
241.15585,1.08e-19,NaN
241.19474,1.07e-19,NaN
241.23363,1.03e-19,NaN
241.27252,1.03e-19,NaN
241.31141,1.05e-19,NaN
241.3503,1.0e-19,NaN
241.3892,1.0e-19,NaN
241.42809,9.78e-20,NaN
241.46698,1.18e-19,NaN
241.50587,1.49e-19,NaN
241.54476,1.96e-19,NaN
241.58365,2.42e-19,NaN
241.62255,3.41e-19,NaN
241.66144,4.89e-19,NaN
241.70033,6.41e-19,NaN
241.73922,7.78e-19,NaN
241.77811,7.87e-19,NaN
241.817,7.03e-19,NaN
241.8559,5.86e-19,NaN
241.89479,4.65e-19,NaN
241.93368,3.66e-19,NaN
241.97257,2.78e-19,NaN
242.01146,2.19e-19,NaN
242.05035,1.77e-19,NaN
242.08925,1.52e-19,NaN
242.12814,1.38e-19,NaN
242.16703,1.38e-19,NaN
242.20592,1.53e-19,NaN
242.24481,1.73e-19,NaN
242.2837,1.91e-19,NaN
242.3226,1.9e-19,NaN
242.36149,1.84e-19,NaN
242.40038,1.78e-19,NaN
242.43927,1.69e-19,NaN
242.47816,1.7e-19,NaN
242.51706,1.72e-19,NaN
242.55595,1.84e-19,NaN
242.59484,2.12e-19,NaN
242.63373,2.45e-19,NaN
242.67262,2.7e-19,NaN
242.71151,2.73e-19,NaN
242.75041,2.5e-19,NaN
242.7893,2.18e-19,NaN
242.82819,2.0e-19,NaN
242.86708,2.02e-19,NaN
242.90597,2.27e-19,NaN
242.94486,2.52e-19,NaN
242.98376,2.56e-19,NaN
243.02265,2.25e-19,NaN
243.06154,1.87e-19,NaN
243.10043,1.63e-19,NaN
243.13932,1.46e-19,NaN
243.17821,1.43e-19,NaN
243.21711,1.5e-19,NaN
243.256,1.61e-19,NaN
243.29489,1.68e-19,NaN
243.33378,1.68e-19,NaN
243.37267,1.72e-19,NaN
243.41156,1.71e-19,NaN
243.45046,1.66e-19,NaN
243.48935,1.6e-19,NaN
243.52824,1.57e-19,NaN
243.56713,1.55e-19,NaN
243.60602,1.54e-19,NaN
243.64491,1.53e-19,NaN
243.68381,1.43e-19,NaN
243.7227,1.32e-19,NaN
243.76159,1.23e-19,NaN
243.80048,1.19e-19,NaN
243.83937,1.21e-19,NaN
243.87826,1.23e-19,NaN
243.91716,1.28e-19,NaN
243.95605,1.21e-19,NaN
243.99494,1.15e-19,NaN
244.03383,1.26e-19,NaN
244.07272,1.42e-19,NaN
244.11161,1.55e-19,NaN
244.15051,1.62e-19,NaN
244.1894,1.58e-19,NaN
244.22829,1.51e-19,NaN
244.26718,1.55e-19,NaN
244.30607,1.56e-19,NaN
244.34496,1.57e-19,NaN
244.38386,1.59e-19,NaN
244.42275,1.57e-19,NaN
244.46164,1.5e-19,NaN
244.50053,1.45e-19,NaN
244.53942,1.42e-19,NaN
244.57832,1.35e-19,NaN
244.61721,1.25e-19,NaN
244.6561,1.15e-19,NaN
244.69499,9.81e-20,NaN
244.73388,8.64e-20,NaN
244.77277,7.99e-20,NaN
244.81167,7.62e-20,NaN
244.85056,7.63e-20,NaN
244.88945,7.63e-20,NaN
244.92834,7.43e-20,NaN
244.96723,7.47e-20,NaN
245.00612,7.65e-20,NaN
245.04502,8.05e-20,NaN
245.08391,8.49e-20,NaN
245.1228,8.09e-20,NaN
245.16169,7.98e-20,NaN
245.20058,7.9e-20,NaN
245.23947,8.06e-20,NaN
245.27837,8.32e-20,NaN
245.31726,8.87e-20,NaN
245.35615,9.02e-20,NaN
245.39504,9.24e-20,NaN
245.43393,8.39e-20,NaN
245.47282,8.32e-20,NaN
245.51172,8.01e-20,NaN
245.55061,8.15e-20,NaN
245.5895,9.49e-20,NaN
245.62839,1.18e-19,NaN
245.66728,1.41e-19,NaN
245.70617,1.56e-19,NaN
245.74507,1.59e-19,NaN
245.78396,1.54e-19,NaN
245.82285,1.48e-19,NaN
245.86174,1.3e-19,NaN
245.90063,1.1e-19,NaN
245.93952,9.31e-20,NaN
245.97842,8.17e-20,NaN
246.01731,7.45e-20,NaN
246.0562,6.91e-20,NaN
246.09509,6.65e-20,NaN
246.13398,6.39e-20,NaN
246.17287,6.34e-20,NaN
246.21177,6.52e-20,NaN
246.25066,6.42e-20,NaN
246.28955,6.76e-20,NaN
246.32844,7.02e-20,NaN
246.36733,7.31e-20,NaN
246.40623,7.69e-20,NaN
246.44512,8.36e-20,NaN
246.48401,1.04e-19,NaN
246.5229,1.18e-19,NaN
246.56179,1.38e-19,NaN
246.60068,1.44e-19,NaN
246.63958,1.36e-19,NaN
246.67847,1.32e-19,NaN
246.71736,1.31e-19,NaN
246.75625,1.33e-19,NaN
246.79514,1.29e-19,NaN
246.83403,1.24e-19,NaN
246.87293,1.26e-19,NaN
246.91182,1.58e-19,NaN
246.95071,2.2e-19,NaN
246.9896,2.91e-19,NaN
247.02849,3.49e-19,NaN
247.06738,4.88e-19,NaN
247.10628,8.12e-19,NaN
247.14517,1.18e-18,NaN
247.18406,1.54e-18,NaN
247.22295,1.65e-18,NaN
247.26184,1.47e-18,NaN
247.30073,1.23e-18,NaN
247.33963,9.71e-19,NaN
247.37852,7.51e-19,NaN
247.41741,5.73e-19,NaN
247.4563,4.37e-19,NaN
247.49519,3.42e-19,NaN
247.53408,2.76e-19,NaN
247.57298,2.35e-19,NaN
247.61187,2.21e-19,NaN
247.65076,2.43e-19,NaN
247.68965,2.78e-19,NaN
247.72854,3.16e-19,NaN
247.76743,3.34e-19,NaN
247.80633,3.24e-19,NaN
247.84522,3.09e-19,NaN
247.88411,2.92e-19,NaN
247.923,2.79e-19,NaN
247.96189,2.7e-19,NaN
248.00078,2.62e-19,NaN
248.03968,2.8e-19,NaN
248.07857,3.48e-19,NaN
248.11746,4.41e-19,NaN
248.15635,5.33e-19,NaN
248.19524,5.68e-19,NaN
248.23413,5.19e-19,NaN
248.27303,4.52e-19,NaN
248.31192,3.81e-19,NaN
248.35081,3.34e-19,NaN
248.3897,3.02e-19,NaN
248.42859,2.77e-19,NaN
248.46749,2.5e-19,NaN
248.50638,2.14e-19,NaN
248.54527,1.83e-19,NaN
248.58416,1.64e-19,NaN
248.62305,1.56e-19,NaN
248.66194,1.7e-19,NaN
248.70084,1.87e-19,NaN
248.73973,2.1e-19,NaN
248.77862,2.33e-19,NaN
248.81751,2.52e-19,NaN
248.8564,2.61e-19,NaN
248.89529,2.67e-19,NaN
248.93419,2.62e-19,NaN
248.97308,2.49e-19,NaN
249.01197,2.44e-19,NaN
249.05086,2.31e-19,NaN
249.08975,2.27e-19,NaN
249.12864,2.26e-19,NaN
249.16754,2.24e-19,NaN
249.20643,2.15e-19,NaN
249.24532,2.0e-19,NaN
249.28421,1.84e-19,NaN
249.3231,1.7e-19,NaN
249.36199,1.57e-19,NaN
249.40089,1.43e-19,NaN
249.43978,1.32e-19,NaN
249.47867,1.21e-19,NaN
249.51756,1.13e-19,NaN
249.55645,1.18e-19,NaN
249.59534,1.29e-19,NaN
249.63424,1.48e-19,NaN
249.67313,1.62e-19,NaN
249.71202,1.66e-19,NaN
249.75091,1.64e-19,NaN
249.7898,1.65e-19,NaN
249.82869,1.71e-19,NaN
249.86759,1.83e-19,NaN
249.90648,1.96e-19,NaN
249.94537,2.07e-19,NaN
249.98426,2.02e-19,NaN
250.02315,1.89e-19,NaN
250.06204,1.79e-19,NaN
250.10094,1.67e-19,NaN
250.13983,1.67e-19,NaN
250.17872,1.64e-19,NaN
250.21761,1.6e-19,NaN
250.2565,1.49e-19,NaN
250.2954,1.32e-19,NaN
250.33429,1.16e-19,NaN
250.37318,1.02e-19,NaN
250.41207,9.41e-20,NaN
250.45096,8.98e-20,NaN
250.48985,8.51e-20,NaN
250.52875,8.32e-20,NaN
250.56764,8.56e-20,NaN
250.60653,8.9e-20,NaN
250.64542,9.12e-20,NaN
250.68431,9.39e-20,NaN
250.7232,9.04e-20,NaN
250.7621,9.03e-20,NaN
250.80099,8.86e-20,NaN
250.83988,9.06e-20,NaN
250.87877,9.79e-20,NaN
250.91766,1.06e-19,NaN
250.95655,1.13e-19,NaN
250.99545,1.09e-19,NaN
251.03434,1.07e-19,NaN
251.07323,1.03e-19,NaN
251.11212,9.78e-20,NaN
251.15101,9.73e-20,NaN
251.1899,9.78e-20,NaN
251.2288,1.04e-19,NaN
251.26769,1.19e-19,NaN
251.30658,1.33e-19,NaN
251.34547,1.47e-19,NaN
251.38436,1.51e-19,NaN
251.42325,1.51e-19,NaN
251.46215,1.48e-19,NaN
251.50104,1.35e-19,NaN
251.53993,1.16e-19,NaN
251.57882,1.01e-19,NaN
251.61771,8.95e-20,NaN
251.6566,7.93e-20,NaN
251.6955,7.56e-20,NaN
251.73439,7.34e-20,NaN
251.77328,7.18e-20,NaN
251.81217,7.05e-20,NaN
251.85106,7.08e-20,NaN
251.88995,7.29e-20,NaN
251.92885,7.44e-20,NaN
251.96774,7.46e-20,NaN
252.00663,7.57e-20,NaN
252.04552,7.62e-20,NaN
252.08441,7.48e-20,NaN
252.1233,7.88e-20,NaN
252.1622,9.32e-20,NaN
252.20109,1.09e-19,NaN
252.23998,1.22e-19,NaN
252.27887,1.29e-19,NaN
252.31776,1.24e-19,NaN
252.35666,1.16e-19,NaN
252.39555,1.17e-19,NaN
252.43444,1.16e-19,NaN
252.47333,1.11e-19,NaN
252.51222,1.05e-19,NaN
252.55111,1.01e-19,NaN
252.59001,1.13e-19,NaN
252.6289,1.46e-19,NaN
252.66779,1.98e-19,NaN
252.70668,2.49e-19,NaN
252.74557,2.86e-19,NaN
252.78446,4.06e-19,NaN
252.82336,8.72e-19,NaN
252.86225,1.47e-18,NaN
252.90114,2.1e-18,NaN
252.94003,2.43e-18,NaN
252.97892,2.19e-18,NaN
253.01781,1.84e-18,NaN
253.05671,1.46e-18,NaN
253.0956,1.13e-18,NaN
253.13449,8.63e-19,NaN
253.17338,6.55e-19,NaN
253.21227,5.01e-19,NaN
253.25116,3.9e-19,NaN
253.29006,3.07e-19,NaN
253.32895,2.59e-19,NaN
253.36784,2.62e-19,NaN
253.40673,3.16e-19,NaN
253.44562,3.81e-19,NaN
253.48451,4.32e-19,NaN
253.52341,4.31e-19,NaN
253.5623,3.92e-19,NaN
253.60119,3.57e-19,NaN
253.64008,3.32e-19,NaN
253.67897,3.08e-19,NaN
253.71786,2.86e-19,NaN
253.75676,2.66e-19,NaN
253.79565,2.61e-19,NaN
253.83454,3.5e-19,NaN
253.87343,5.18e-19,NaN
253.91232,6.88e-19,NaN
253.95121,8.18e-19,NaN
253.99011,7.95e-19,NaN
254.029,6.91e-19,NaN
254.06789,5.79e-19,NaN
254.10678,4.85e-19,NaN
254.14567,4.29e-19,NaN
254.18457,3.91e-19,NaN
254.22346,3.66e-19,NaN
254.26235,3.24e-19,NaN
254.30124,2.7e-19,NaN
254.34013,2.25e-19,NaN
254.37902,1.98e-19,NaN
254.41792,1.96e-19,NaN
254.45681,2.13e-19,NaN
254.4957,2.42e-19,NaN
254.53459,2.68e-19,NaN
254.57348,2.82e-19,NaN
254.61237,2.92e-19,NaN
254.65127,2.95e-19,NaN
254.69016,2.87e-19,NaN
254.72905,2.81e-19,NaN
254.76794,2.67e-19,NaN
254.80683,2.53e-19,NaN
254.84572,2.43e-19,NaN
254.88462,2.42e-19,NaN
254.92351,2.64e-19,NaN
254.9624,2.89e-19,NaN
255.00129,3.05e-19,NaN
255.04018,2.92e-19,NaN
255.07907,2.6e-19,NaN
255.11797,2.27e-19,NaN
255.15686,2.02e-19,NaN
255.19575,1.86e-19,NaN
255.23464,1.69e-19,NaN
255.27353,1.57e-19,NaN
255.31242,1.43e-19,NaN
255.35132,1.29e-19,NaN
255.39021,1.25e-19,NaN
255.4291,1.27e-19,NaN
255.46799,1.33e-19,NaN
255.50688,1.4e-19,NaN
255.54577,1.4e-19,NaN
255.58467,1.36e-19,NaN
255.62356,1.34e-19,NaN
255.66245,1.33e-19,NaN
255.70134,1.45e-19,NaN
255.74023,1.63e-19,NaN
255.77912,1.78e-19,NaN
255.81802,1.84e-19,NaN
255.85691,1.75e-19,NaN
255.8958,1.61e-19,NaN
255.93469,1.48e-19,NaN
255.97358,1.43e-19,NaN
256.01247,1.49e-19,NaN
256.05137,1.58e-19,NaN
256.09026,1.62e-19,NaN
256.12915,1.56e-19,NaN
256.16804,1.41e-19,NaN
256.20693,1.23e-19,NaN
256.24583,1.12e-19,NaN
256.28472,1.04e-19,NaN
256.32361,9.62e-20,NaN
256.3625,9.28e-20,NaN
256.40139,8.52e-20,NaN
256.44028,8.2e-20,NaN
256.47918,8.05e-20,NaN
256.51807,8.07e-20,NaN
256.55696,8.11e-20,NaN
256.59585,8.15e-20,NaN
256.63474,7.7e-20,NaN
256.67363,7.42e-20,NaN
256.71253,7.41e-20,NaN
256.75142,7.8e-20,NaN
256.79031,9.05e-20,NaN
256.8292,1.01e-19,NaN
256.86809,1.07e-19,NaN
256.90698,1.07e-19,NaN
256.94588,9.9e-20,NaN
256.98477,9.38e-20,NaN
257.02366,9.01e-20,NaN
257.06255,8.95e-20,NaN
257.10144,9.04e-20,NaN
257.14033,9.1e-20,NaN
257.17923,8.96e-20,NaN
257.21812,8.67e-20,NaN
257.25701,8.4e-20,NaN
257.2959,8.14e-20,NaN
257.33479,8.42e-20,NaN
257.37368,8.15e-20,NaN
257.41258,8.09e-20,NaN
257.45147,7.55e-20,NaN
257.49036,6.96e-20,NaN
257.52925,6.42e-20,NaN
257.56814,6.07e-20,NaN
257.60703,5.92e-20,NaN
257.64593,5.83e-20,NaN
257.68482,5.62e-20,NaN
257.72371,5.57e-20,NaN
257.7626,5.56e-20,NaN
257.80149,5.44e-20,NaN
257.84038,5.65e-20,NaN
257.87928,6.28e-20,NaN
