λ,σ,Δσ
31616.82,0.7952,NaN
31742.1,0.8905,NaN
31867.39,0.9365,NaN
32022.47,1.2773,NaN
32165.63,1.52,NaN
32290.84,2.0587,NaN
32416.05,2.5975,NaN
32523.34,3.3338,NaN
32648.53,3.9711,NaN
32773.75,4.5099,NaN
32887.01,5.1475,NaN
33030.18,5.3409,NaN
33167.37,5.5836,NaN
33298.71,5.0874,NaN
33418.14,4.493,NaN
33555.39,4.3908,NaN
33656.71,5.078,NaN
33692.44,5.5206,NaN
33769.84,6.5534,NaN
33882.84,8.8664,NaN
33924.42,10.048,NaN
33960.07,10.934,NaN
33989.76,11.8695,NaN
34037.31,13.0016,NaN
34108.67,14.5274,NaN
34156.22,15.6595,NaN
34221.55,17.5796,NaN
34251.13,19.1557,NaN
34304.59,20.6326,NaN
34417.72,22.1079,NaN
34554.88,22.5478,NaN
34698.08,22.5933,NaN
34829.24,23.2305,NaN
34894.71,24.2636,NaN
34966.13,25.3951,NaN
35001.69,26.8725,NaN
35055.12,28.5465,NaN
35096.7,29.7281,NaN
35114.47,30.5653,NaN
35132.32,30.8605,NaN
35179.84,32.1898,NaN
35239.29,33.568,NaN
35274.94,34.5033,NaN
35316.52,35.6848,NaN
35364.02,37.1126,NaN
35429.4,38.7371,NaN
35506.69,40.4597,NaN
35578.01,42.2319,NaN
35643.36,44.0041,NaN
35690.9,45.1855,NaN
35744.31,47.0074,NaN
35797.63,49.3713,NaN
35833.23,50.6516,NaN
35874.78,51.981,NaN
35969.87,54.393,NaN
36041.29,55.4753,NaN
36136.62,56.3597,NaN
36255.85,56.9972,NaN
36387.03,57.4865,NaN
36476.25,59.2582,NaN
36523.71,60.9816,NaN
36559.23,62.7547,NaN
36618.59,64.6749,NaN
36677.93,66.6937,NaN
36737.31,68.5154,NaN
36772.83,70.2392,NaN
36814.33,71.9136,NaN
36843.88,73.6868,NaN
36903.32,75.1142,NaN
36968.78,76.1966,NaN
37046.18,77.2294,NaN
37135.53,78.1633,NaN
37212.94,79.1961,NaN
37272.44,80.2294,NaN
37349.71,82.0506,NaN
37426.98,83.9211,NaN
37498.32,85.5454,NaN
37539.88,86.8748,NaN
37593.37,88.1546,NaN
37652.86,89.2864,NaN
37736.22,90.3683,NaN
37867.42,90.7591,NaN
38004.61,91.0018,NaN
38093.97,91.8865,NaN
38171.37,92.9193,NaN
38212.96,94.0516,NaN
38266.48,95.1835,NaN
38284.27,95.8729,NaN
38331.82,97.0051,NaN
38397.2,98.5802,NaN
38468.62,99.7117,NaN
38593.85,100.1519,NaN
38695.41,99.3608,NaN
38785.05,98.4715,NaN
38880.66,97.582,NaN
38970.27,96.8405,NaN
39071.84,96.0001,NaN
39155.53,95.0123,NaN
39239.22,93.9753,NaN
39316.95,92.9385,NaN
39352.98,91.5085,NaN
39394.97,90.1276,NaN
39425.08,88.3528,NaN
39455.18,86.6766,NaN
39497.25,84.803,NaN
39533.26,83.4715,NaN
39593.1,82.3859,NaN
39629.0,81.7443,NaN
39724.6,80.9041,NaN
39855.9,80.6542,NaN
39993.07,81.0449,NaN
40088.67,80.2046,NaN
40160.52,78.6259,NaN
40220.48,76.801,NaN
40274.45,75.0749,NaN
40328.37,73.6937,NaN
40400.2,72.2628,NaN
40460.2,70.1423,NaN
40561.77,69.2526,NaN
40693.05,69.1999,NaN
40824.33,69.0979,NaN
40913.98,68.1593,NaN
41015.68,66.4319,NaN
41087.51,65.001,NaN
41141.38,63.9155,NaN
41195.26,62.7807,NaN
41261.07,61.6948,NaN
41362.62,60.9037,NaN
41511.77,60.9984,NaN
41631.04,61.4387,NaN
41768.32,61.0902,NaN
41863.87,60.5949,NaN
41947.55,59.6564,NaN
42043.15,58.8162,NaN
42162.57,58.2217,NaN
42299.81,58.1689,NaN
42472.59,59.7412,NaN
42561.89,61.0201,NaN
42639.11,63.1862,NaN
42710.33,65.5989,NaN
42781.57,67.8145,NaN
42864.74,70.0791,NaN
42935.94,72.5904,NaN
42989.28,74.8557,NaN
43054.51,77.4164,NaN
43119.71,80.125,NaN
43167.04,82.6369,NaN
231.66,3.16e-19,NaN
231.91,3.06e-19,NaN
232.26,2.96e-19,NaN
232.62,2.86e-19,NaN
232.91,2.78e-19,NaN
233.29,2.68e-19,NaN
233.75,2.59e-19,NaN
234.14,2.51e-19,NaN
234.53,2.42e-19,NaN
234.95,2.33e-19,NaN
235.45,2.28e-19,NaN
235.84,2.25e-19,NaN
236.41,2.22e-19,NaN
237.18,2.23e-19,NaN
237.85,2.25e-19,NaN
238.39,2.28e-19,NaN
238.87,2.32e-19,NaN
239.42,2.34e-19,NaN
240.21,2.35e-19,NaN
240.9,2.33e-19,NaN
241.76,2.33e-19,NaN
242.36,2.36e-19,NaN
242.75,2.4e-19,NaN
243.06,2.44e-19,NaN
243.38,2.49e-19,NaN
243.81,2.54e-19,NaN
244.42,2.61e-19,NaN
244.95,2.64e-19,NaN
245.74,2.65e-19,NaN
246.54,2.65e-19,NaN
247.16,2.68e-19,NaN
247.52,2.76e-19,NaN
