λ,σ,Δσ
114.6,5.761079e-17,NaN
114.8,6.092562e-17,NaN
115.0,6.320902e-17,NaN
115.2,6.696257e-17,NaN
115.4,6.746968e-17,NaN
115.6,6.713655e-17,NaN
115.8,6.761546e-17,NaN
116.0,6.835453e-17,NaN
116.2,6.591337e-17,NaN
116.4,6.152383e-17,NaN
116.6,6.026965e-17,NaN
116.8,5.414937e-17,NaN
117.0,5.067766e-17,NaN
117.2,4.836495e-17,NaN
117.4,4.584381e-17,NaN
117.6,4.056198e-17,NaN
117.8,3.71129e-17,NaN
118.0,3.487339e-17,NaN
118.2,3.331407e-17,NaN
118.4,3.248141e-17,NaN
118.6,3.22656e-17,NaN
118.8,3.281872e-17,NaN
119.0,3.227456e-17,NaN
119.2,3.175475e-17,NaN
119.4,3.324911e-17,NaN
119.6,3.365448e-17,NaN
119.8,3.252449e-17,NaN
120.0,3.285574e-17,NaN
120.2,3.380596e-17,NaN
120.4,3.505039e-17,NaN
120.6,3.587868e-17,NaN
120.8,3.464844e-17,NaN
121.0,3.41388e-17,NaN
121.2,3.425826e-17,NaN
121.4,3.503307e-17,NaN
121.6,3.620503e-17,NaN
121.8,3.775719e-17,NaN
122.0,3.886167e-17,NaN
122.2,3.946056e-17,NaN
122.4,4.077312e-17,NaN
122.6,4.226882e-17,NaN
122.8,4.470454e-17,NaN
123.0,4.642625e-17,NaN
123.2,4.768033e-17,NaN
123.4,4.870588e-17,NaN
123.6,5.156929e-17,NaN
123.8,5.413563e-17,NaN
124.0,5.872969e-17,NaN
124.2,6.001423e-17,NaN
124.4,6.054674e-17,NaN
124.6,5.824164e-17,NaN
124.8,5.920614e-17,NaN
125.0,5.964142e-17,NaN
125.2,5.998906e-17,NaN
125.4,6.022512e-17,NaN
125.6,5.995382e-17,NaN
125.8,5.822649e-17,NaN
126.0,5.432017e-17,NaN
126.2,4.969232e-17,NaN
126.4,4.401941e-17,NaN
126.6,3.961996e-17,NaN
126.8,3.621889e-17,NaN
127.0,3.404101e-17,NaN
127.2,3.233667e-17,NaN
127.4,3.064002e-17,NaN
127.6,2.935309e-17,NaN
127.8,2.906373e-17,NaN
128.0,2.892892e-17,NaN
128.2,2.935472e-17,NaN
128.4,2.969606e-17,NaN
128.6,3.026067e-17,NaN
128.8,3.072482e-17,NaN
129.0,3.096051e-17,NaN
129.2,3.14525e-17,NaN
129.4,3.175838e-17,NaN
129.6,3.226539e-17,NaN
129.8,3.255781e-17,NaN
130.0,3.286014e-17,NaN
130.2,3.328417e-17,NaN
130.4,3.376073e-17,NaN
130.6,3.418522e-17,NaN
130.8,3.490281e-17,NaN
131.0,3.506773e-17,NaN
131.2,3.601371e-17,NaN
131.4,3.592934e-17,NaN
131.6,3.64296e-17,NaN
131.8,3.612739e-17,NaN
132.0,3.53529e-17,NaN
132.2,3.427123e-17,NaN
132.4,3.346166e-17,NaN
132.6,3.240356e-17,NaN
132.8,3.22401e-17,NaN
133.0,3.183268e-17,NaN
133.2,3.199677e-17,NaN
133.4,3.248746e-17,NaN
133.6,3.232076e-17,NaN
133.8,3.308075e-17,NaN
134.0,3.228113e-17,NaN
134.2,3.231521e-17,NaN
134.4,3.176496e-17,NaN
134.6,3.129627e-17,NaN
134.8,3.084548e-17,NaN
135.0,3.061185e-17,NaN
135.2,3.026718e-17,NaN
135.4,3.03254e-17,NaN
135.6,3.065164e-17,NaN
135.8,3.076184e-17,NaN
136.0,3.124579e-17,NaN
136.2,3.125296e-17,NaN
136.4,3.159815e-17,NaN
136.6,3.172934e-17,NaN
136.8,3.182416e-17,NaN
137.0,3.200825e-17,NaN
137.2,3.179175e-17,NaN
137.4,3.230428e-17,NaN
137.6,3.233753e-17,NaN
137.8,3.250673e-17,NaN
138.0,3.248691e-17,NaN
138.2,3.287241e-17,NaN
138.4,3.359443e-17,NaN
138.6,3.439746e-17,NaN
138.8,3.568146e-17,NaN
139.0,3.686106e-17,NaN
139.2,3.814975e-17,NaN
139.4,3.897169e-17,NaN
139.6,3.956445e-17,NaN
139.8,4.026255e-17,NaN
140.0,4.103497e-17,NaN
140.2,4.161426e-17,NaN
140.4,4.132955e-17,NaN
140.6,4.089414e-17,NaN
140.8,3.753363e-17,NaN
141.0,3.318182e-17,NaN
141.2,3.005784e-17,NaN
141.4,2.799456e-17,NaN
141.6,2.711497e-17,NaN
141.8,2.596003e-17,NaN
142.0,2.553132e-17,NaN
