λ,σ
115.05,6.61802e-17
115.1,6.77508e-17
115.15,6.90745e-17
115.2,6.89485e-17
115.25,6.86489e-17
115.3,6.89287e-17
115.35,6.90827e-17
115.4,6.92083e-17
115.45,6.9667e-17
115.5,7.02502e-17
115.55,7.20522e-17
115.6,7.43537e-17
115.65,7.62377e-17
115.7,7.70151e-17
115.75,7.69246e-17
115.8,7.61697e-17
115.85,7.4659e-17
115.9,7.32286e-17
115.95,7.29173e-17
116.0,7.33534e-17
116.05,7.65527e-17
116.1,8.10637e-17
116.15,7.91978e-17
116.2,7.40228e-17
116.25,7.19484e-17
116.3,7.11315e-17
116.35,7.00194e-17
116.4,6.90997e-17
116.45,6.92608e-17
116.5,6.91695e-17
116.55,6.91971e-17
116.6,6.94173e-17
116.65,6.95791e-17
116.7,6.97293e-17
116.75,6.96828e-17
116.8,6.99279e-17
116.85,7.01584e-17
116.9,7.06858e-17
116.95,7.13958e-17
117.0,7.32024e-17
117.05,7.644e-17
117.1,7.69369e-17
117.15,7.44139e-17
117.2,7.25961e-17
117.25,7.24139e-17
117.3,7.21874e-17
117.35,7.15579e-17
117.4,7.12617e-17
117.45,7.12585e-17
117.5,7.14383e-17
117.55,7.14769e-17
117.6,7.17311e-17
117.65,7.21575e-17
117.7,7.28366e-17
117.75,7.42622e-17
117.8,7.42776e-17
117.85,7.28615e-17
117.9,7.19797e-17
117.95,7.17005e-17
118.0,7.18438e-17
118.05,7.15658e-17
118.1,7.16916e-17
118.15,7.20769e-17
118.2,7.25291e-17
118.25,7.29564e-17
118.3,7.33021e-17
118.35,7.33465e-17
118.4,7.36985e-17
118.45,7.40555e-17
118.5,7.43526e-17
118.55,7.50408e-17
118.6,7.57243e-17
118.65,7.63206e-17
118.7,7.68377e-17
118.75,7.70538e-17
118.8,7.71346e-17
118.85,7.73648e-17
118.9,7.71511e-17
118.95,7.63985e-17
119.0,7.56692e-17
119.05,7.47997e-17
119.1,7.40318e-17
119.15,7.28126e-17
119.2,7.19138e-17
119.25,7.12083e-17
119.3,7.08949e-17
119.35,7.0869e-17
119.4,7.04847e-17
119.45,7.05576e-17
119.5,7.09602e-17
119.55,7.17717e-17
119.6,7.2795e-17
119.65,7.35778e-17
119.7,7.3981e-17
119.75,7.41967e-17
119.8,7.39056e-17
119.85,7.371e-17
119.9,7.36671e-17
119.95,7.38538e-17
120.0,7.45648e-17
120.05,7.56741e-17
120.1,7.72394e-17
120.15,7.90252e-17
120.2,8.0155e-17
120.25,8.01689e-17
120.3,8.00013e-17
120.35,7.99077e-17
120.4,7.97241e-17
120.45,7.95121e-17
120.5,7.91148e-17
120.55,7.81868e-17
120.6,7.73131e-17
120.65,7.66687e-17
120.7,7.6305e-17
120.75,7.65492e-17
120.8,7.72687e-17
120.85,7.84791e-17
120.9,8.09052e-17
120.95,8.30449e-17
121.0,8.45126e-17
121.05,8.36737e-17
121.1,8.13174e-17
121.15,7.92322e-17
121.2,7.72079e-17
121.25,7.56071e-17
121.3,7.40978e-17
121.35,7.29092e-17
121.4,7.2111e-17
121.45,7.14704e-17
121.5,7.08587e-17
121.55,7.07117e-17
121.6,7.06804e-17
121.65,7.05755e-17
121.7,7.04788e-17
