λ,σ
115.05,1.261e-16
115.1,1.262e-16
115.15,1.261e-16
115.2,1.263e-16
115.25,1.265e-16
115.3,1.267e-16
115.35,1.269e-16
115.4,1.268e-16
115.45,1.271e-16
115.5,1.271e-16
115.55,1.268e-16
115.6,1.267e-16
115.65,1.266e-16
115.7,1.266e-16
115.75,1.264e-16
115.8,1.261e-16
115.85,1.26e-16
115.9,1.258e-16
115.95,1.258e-16
116.0,1.257e-16
116.05,1.259e-16
116.1,1.258e-16
116.15,1.255e-16
116.2,1.254e-16
116.25,1.252e-16
116.3,1.252e-16
116.35,1.247e-16
116.4,1.247e-16
116.45,1.245e-16
116.5,1.244e-16
116.55,1.24e-16
116.6,1.237e-16
116.65,1.236e-16
116.7,1.233e-16
116.75,1.23e-16
116.8,1.23e-16
116.85,1.228e-16
116.9,1.225e-16
116.95,1.223e-16
117.0,1.222e-16
117.05,1.218e-16
117.1,1.215e-16
117.15,1.211e-16
117.2,1.21e-16
117.25,1.207e-16
117.3,1.203e-16
117.35,1.202e-16
117.4,1.199e-16
117.45,1.194e-16
117.5,1.193e-16
117.55,1.192e-16
117.6,1.19e-16
117.65,1.186e-16
117.7,1.184e-16
117.75,1.181e-16
117.8,1.181e-16
117.85,1.179e-16
117.9,1.177e-16
117.95,1.173e-16
118.0,1.173e-16
118.05,1.173e-16
118.1,1.168e-16
118.15,1.164e-16
118.2,1.16e-16
118.25,1.159e-16
118.3,1.156e-16
118.35,1.156e-16
118.4,1.15e-16
118.45,1.141e-16
118.5,1.135e-16
118.55,1.134e-16
118.6,1.133e-16
118.65,1.132e-16
118.7,1.126e-16
118.75,1.117e-16
118.8,1.112e-16
118.85,1.113e-16
118.9,1.114e-16
118.95,1.108e-16
119.0,1.095e-16
119.05,1.083e-16
119.1,1.078e-16
119.15,1.082e-16
119.2,1.089e-16
119.25,1.088e-16
119.3,1.083e-16
119.35,1.073e-16
119.4,1.063e-16
119.45,1.057e-16
119.5,1.056e-16
119.55,1.058e-16
119.6,1.058e-16
119.65,1.051e-16
119.7,1.045e-16
119.75,1.039e-16
119.8,1.037e-16
119.85,1.034e-16
119.9,1.029e-16
119.95,1.026e-16
120.0,1.02e-16
120.05,1.018e-16
120.1,1.017e-16
120.15,1.015e-16
120.2,1.012e-16
120.25,1.004e-16
120.3,9.97e-17
120.35,9.907e-17
120.4,9.88e-17
120.45,9.874e-17
120.5,9.872e-17
120.55,9.879e-17
120.6,9.858e-17
120.65,9.851e-17
120.7,9.849e-17
120.75,9.833e-17
120.8,9.819e-17
120.85,9.8e-17
120.9,9.759e-17
120.95,9.741e-17
121.0,9.725e-17
121.05,9.67e-17
121.1,9.636e-17
121.15,9.574e-17
121.2,9.52e-17
121.25,9.475e-17
121.3,9.421e-17
121.35,9.386e-17
121.4,9.375e-17
121.45,9.358e-17
121.5,9.331e-17
121.55,9.321e-17
121.6,9.309e-17
121.65,9.308e-17
121.7,9.318e-17
121.75,9.332e-17
121.8,9.341e-17
121.85,9.346e-17
121.9,9.352e-17
121.95,9.368e-17
122.0,9.382e-17
122.05,9.408e-17
122.1,9.405e-17
122.15,9.393e-17
122.2,9.371e-17
122.25,9.339e-17
122.3,9.315e-17
122.35,9.305e-17
122.4,9.283e-17
122.45,9.238e-17
122.5,9.203e-17
122.55,9.153e-17
122.6,9.122e-17
122.65,9.088e-17
122.7,9.057e-17
122.75,9.046e-17
122.8,9.033e-17
122.85,9.024e-17
122.9,9.001e-17
122.95,9.001e-17
123.0,8.998e-17
123.05,8.995e-17
123.1,9.004e-17
123.15,9.015e-17
123.2,9.023e-17
123.25,9.046e-17
123.3,9.054e-17
