λ,σ
172.7,3.62e-17
173.21,3.78e-17
173.66,3.93e-17
174.11,4.1e-17
174.54,4.31e-17
174.94,4.52e-17
175.38,4.74e-17
175.74,5.0e-17
176.08,5.3e-17
176.4,5.61e-17
176.75,5.93e-17
177.12,6.26e-17
177.49,6.62e-17
177.84,6.97e-17
178.22,7.47e-17
178.67,7.98e-17
179.05,8.43e-17
179.38,8.95e-17
179.74,9.43e-17
180.07,9.99e-17
180.38,1.04e-16
180.59,1.08e-16
180.92,1.13e-16
181.23,1.2e-16
181.57,1.27e-16
181.96,1.34e-16
182.36,1.41e-16
182.75,1.48e-16
183.2,1.56e-16
183.67,1.63e-16
184.18,1.7e-16
184.66,1.78e-16
185.11,1.87e-16
185.52,1.97e-16
185.93,2.08e-16
186.39,2.18e-16
187.04,2.21e-16
187.6,2.14e-16
188.14,2.05e-16
188.76,2.01e-16
189.37,2.03e-16
189.85,2.12e-16
190.25,2.24e-16
190.45,2.29e-16
190.69,2.2e-16
190.88,2.06e-16
191.06,1.91e-16
191.27,1.77e-16
191.4,1.63e-16
191.61,1.51e-16
191.83,1.41e-16
192.07,1.32e-16
192.29,1.24e-16
192.53,1.16e-16
192.73,1.12e-16
192.96,1.14e-16
193.26,1.19e-16
193.5,1.27e-16
193.72,1.37e-16
193.93,1.47e-16
194.15,1.58e-16
194.27,1.67e-16
194.4,1.78e-16
194.68,1.89e-16
194.87,1.78e-16
195.03,1.63e-16
195.19,1.46e-16
195.37,1.28e-16
195.57,1.09e-16
195.78,9.24e-17
195.87,8.0e-17
196.08,7.15e-17
196.21,6.49e-17
196.35,6.07e-17
196.45,5.49e-17
196.52,4.91e-17
196.59,4.4e-17
196.78,4.0e-17
196.86,3.87e-17
197.09,3.62e-17
197.28,3.36e-17
197.69,3.15e-17
198.1,2.98e-17
198.49,2.85e-17
199.03,2.73e-17
199.67,2.64e-17
200.37,2.57e-17
201.08,2.52e-17
201.77,2.52e-17
202.53,2.54e-17
203.14,2.57e-17
203.68,2.62e-17
204.04,2.69e-17
204.81,2.65e-17
205.55,2.59e-17
206.3,2.57e-17
207.06,2.57e-17
207.83,2.63e-17
208.3,2.66e-17
209.07,2.67e-17
209.85,2.6e-17
210.63,2.56e-17
211.45,2.53e-17
212.24,2.5e-17
213.0,2.43e-17
213.62,2.31e-17
214.18,2.18e-17
214.66,2.06e-17
215.25,1.96e-17
215.96,1.88e-17
216.75,1.84e-17
217.54,1.78e-17
218.04,1.69e-17
218.36,1.57e-17
218.63,1.43e-17
219.01,1.29e-17
219.28,1.16e-17
219.59,1.02e-17
219.82,9.16e-18
220.17,8.29e-18
220.6,7.6e-18
220.85,7.11e-18
221.09,6.41e-18
221.21,5.72e-18
221.32,4.92e-18
221.33,4.94e-18
221.43,3.49e-18
221.54,2.95e-18
221.87,2.38e-18
222.36,1.97e-18
222.81,1.62e-18
223.44,1.27e-18
223.85,1.05e-18
224.28,8.9e-19
224.57,8.28e-19
224.75,7.74e-19
225.11,6.89e-19
225.39,6.06e-19
225.56,5.33e-19
225.8,4.76e-19
226.09,4.25e-19
226.38,3.81e-19
226.75,3.42e-19
227.0,3.06e-19
227.18,2.86e-19
227.47,2.61e-19
227.85,2.36e-19
228.19,2.19e-19
228.65,2.02e-19
229.24,1.9e-19
229.96,1.82e-19
230.9,1.79e-19
231.81,1.82e-19
232.7,1.88e-19
233.42,1.98e-19
234.07,2.09e-19
234.84,2.19e-19
235.54,2.3e-19
236.2,2.42e-19
236.86,2.56e-19
237.49,2.71e-19
238.07,2.86e-19
238.65,3.04e-19
239.33,3.21e-19
240.01,3.38e-19
240.69,3.56e-19
241.38,3.78e-19
242.07,3.99e-19
242.72,4.2e-19
243.38,4.44e-19
244.08,4.68e-19
244.83,4.93e-19
245.64,5.18e-19
246.07,5.37e-19
246.74,5.65e-19
247.46,5.96e-19
248.09,6.29e-19
248.73,6.69e-19
249.27,7.1e-19
249.72,7.53e-19
250.42,8.0e-19
251.45,8.26e-19
252.49,8.51e-19
253.53,8.82e-19
254.4,9.26e-19
255.16,9.76e-19
255.84,1.03e-18
256.31,1.1e-18
257.29,1.14e-18
258.3,1.1e-18
259.33,1.07e-18
260.38,1.11e-18
261.65,1.12e-18
262.56,1.17e-18
263.06,1.25e-18
263.68,1.35e-18
264.18,1.43e-18
264.73,1.46e-18
264.99,1.42e-18
265.57,1.35e-18
265.98,1.26e-18
266.61,1.16e-18
267.35,1.06e-18
267.99,9.96e-19
268.52,9.37e-19
269.06,8.79e-19
269.86,7.99e-19
270.47,9.1e-19
270.84,9.94e-19
270.89,1.15e-18
271.33,1.26e-18
272.26,1.33e-18
272.86,1.24e-18
273.12,1.14e-18
273.26,1.04e-18
273.4,9.07e-19
273.53,7.21e-19
273.88,6.29e-19
274.01,5.57e-19
274.57,4.52e-19
274.9,3.63e-19
275.29,2.96e-19
275.39,2.43e-19
276.08,2.01e-19
276.55,1.7e-19
276.79,1.46e-19
277.27,1.27e-19
277.76,1.13e-19
278.09,1.06e-19
278.64,9.34e-20
279.07,8.29e-20
