λ,σ,Δσ
200.0,9.74e-19,1.9e-19
201.0,6.86e-19,1.3e-19
202.0,4.73e-19,9.0e-20
203.0,3.48e-19,4.6e-20
204.0,2.32e-19,3.7e-20
205.0,1.73e-19,2.2e-20
206.0,1.3e-19,1.9e-20
207.0,1.04e-19,1.6e-20
208.0,8.14e-20,1.4e-20
209.0,6.77e-20,1.13e-20
210.0,5.96e-20,9.0e-21
211.0,5.65e-20,1.13e-20
212.0,5.32e-20,1.7e-20
213.0,6.29e-20,1.43e-20
214.0,7.61e-20,9.0e-21
215.0,9.3e-20,1.9e-20
216.0,9.92e-20,2.43e-20
217.0,1.21e-19,3.0e-20
218.0,1.52e-19,4.0e-20
219.0,1.71e-19,4.0e-20
220.0,1.94e-19,5.0e-20
221.0,2.23e-19,4.8e-20
222.0,2.57e-19,5.0e-20
223.0,3.06e-19,7.0e-20
224.0,3.54e-19,9.0e-20
225.0,3.97e-19,1.0e-19
226.0,4.54e-19,1.1e-19
227.0,5.29e-19,1.4e-19
228.0,6.55e-19,1.6e-19
229.0,7.35e-19,1.88e-19
230.0,9.08e-19,1.9e-19
231.0,1.06e-18,3.0e-19
232.0,1.25e-18,3.0e-19
233.0,1.5e-18,3.6e-19
234.0,1.74e-18,4.0e-19
235.0,2.01e-18,4.5e-19
236.0,2.32e-18,5.0e-19
237.0,2.67e-18,6.0e-19
238.0,3.29e-18,7.0e-19
239.0,3.69e-18,8.0e-19
240.0,4.1e-18,9.0e-19
241.0,4.63e-18,9.9e-19
242.0,5.16e-18,1.22e-18
243.0,5.75e-18,1.3e-18
244.0,6.81e-18,1.6e-18
245.0,7.61e-18,1.8e-18
246.0,7.93e-18,1.9e-18
247.0,8.52e-18,2.0e-18
248.0,9.07e-18,2.2e-18
249.0,9.53e-18,2.3e-18
250.0,1.08e-17,3.0e-18
251.0,1.17e-17,3.0e-18
252.0,1.14e-17,2.7e-18
253.0,1.15e-17,3.0e-18
254.0,1.14e-17,3.0e-18
255.0,1.09e-17,3.0e-18
256.0,1.16e-17,3.0e-18
257.0,1.26e-17,3.0e-18
258.0,1.23e-17,3.0e-18
259.0,1.05e-17,2.5e-18
260.0,9.52e-18,2.25e-18
261.0,8.35e-18,2.25e-18
262.0,7.86e-18,1.88e-18
263.0,7.53e-18,1.8e-18
264.0,8.39e-18,2.0e-18
265.0,6.72e-18,1.68e-18
266.0,4.88e-18,1.18e-18
267.0,3.23e-18,7.8e-19
268.0,2.35e-18,5.8e-19
269.0,1.73e-18,3.8e-19
270.0,1.22e-18,2.8e-19
271.0,8.99e-19,1.98e-19
272.0,6.81e-19,1.48e-19
273.0,4.98e-19,1.18e-19
274.0,3.93e-19,1.0e-19
275.0,2.94e-19,8.0e-20
276.0,2.57e-19,8.0e-20
277.0,2.25e-19,8.0e-20
278.0,2.1e-19,6.6e-20
279.0,2.13e-19,6.6e-20
280.0,2.21e-19,6.8e-20
281.0,2.61e-19,3.2e-20
282.0,2.66e-19,3.2e-20
283.0,2.82e-19,3.7e-20
284.0,3.0e-19,4.2e-20
285.0,3.22e-19,4.6e-20
286.0,3.41e-19,4.8e-20
287.0,3.69e-19,5.0e-20
288.0,3.99e-19,5.6e-20
289.0,4.8e-19,5.8e-20
290.0,5.03e-19,5.8e-20
291.0,5.24e-19,5.8e-20
292.0,5.65e-19,5.8e-20
293.0,6.34e-19,6.1e-20
294.0,7.39e-19,8.2e-20
295.0,7.9e-19,9.0e-20
296.0,7.56e-19,6.8e-20
297.0,7.8e-19,8.6e-20
298.0,8.3e-19,1.0e-19
299.0,1.11e-18,1.0e-19
300.0,1.13e-18,1.0e-19
301.0,1.12e-18,1.3e-19
302.0,1.04e-18,2.0e-19
303.0,9.52e-19,6.0e-20
304.0,1.57e-18,1.5e-19
305.0,1.18e-18,1.5e-19
306.0,1.69e-18,1.4e-19
307.0,1.28e-18,1.2e-19
308.0,1.28e-18,1.4e-19
309.0,1.41e-18,1.9e-19
310.0,1.23e-18,2.0e-19
311.0,1.55e-18,1.5e-19
312.0,1.64e-18,2.0e-19
313.0,1.27e-18,1.0e-19
314.0,1.22e-18,1.0e-19
315.0,1.2e-18,1.4e-19
316.0,6.08e-19,3.4e-20
317.0,1.95e-18,3.4e-19
318.0,9.33e-19,7.4e-20
319.0,1.4e-18,1.4e-19
320.0,5.35e-19,5.0e-20
321.0,6.31e-19,1.21e-19
322.0,4.64e-19,4.4e-20
323.0,2.01e-18,1.6e-19
324.0,4.58e-19,4.3e-20
325.0,7.96e-19,7.4e-20
326.0,4.08e-19,8.4e-20
327.0,2.47e-19,2.4e-20
328.0,1.21e-19,3.4e-20
329.0,2.35e-19,4.4e-20
330.0,2.02e-19,1.7e-20
331.0,6.79e-20,1.4e-21
332.0,6.77e-20,1.7e-21
333.0,3.96e-20,1.4e-21
334.0,2.46e-20,4.3e-21
335.0,1.74e-20,4.0e-21
336.0,2.0e-20,8.4e-21
337.0,2.24e-20,8.4e-21
338.0,8.3e-21,2.14e-21
339.0,8.14e-21,2.14e-21
340.0,8.23e-21,3.04e-21
341.0,5.92e-21,3.84e-21
342.0,5.73e-21,3.82e-21
343.0,6.52e-21,3.44e-21
344.0,6.23e-21,3.44e-21
345.0,5.57e-21,3.48e-21
346.0,6.32e-21,3.24e-21
347.0,6.31e-21,3.64e-21
348.0,5.1e-21,3.0e-21
349.0,4.87e-21,2.74e-21
350.0,5.78e-21,3.94e-21
