λ,σ,uncertainty
290,6.25e-20,1.7e-20
291,6.04e-20,9.4e-21
292,6.29e-20,1.3e-20
293,6.34e-20,9.5e-21
294,6.59e-20,1.0e-20
295,7.14e-20,9.9e-21
296,7.18e-20,8.7e-21
297,7.32e-20,1.7e-20
298,7.27e-20,1.4e-20
299,7.51e-20,1.2e-20
300,7.38e-20,1.3e-20
301,7.69e-20,1.6e-20
302,7.42e-20,1.0e-20
303,8.1e-20,1.2e-20
304,8.24e-20,9.4e-21
305,8.8e-20,1.0e-20
306,8.94e-20,8.1e-21
307,9.44e-20,1.0e-20
308,9.36e-20,1.2e-20
309,9.29e-20,1.6e-20
310,9.06e-20,1.1e-20
311,8.85e-20,5.6e-21
312,8.85e-20,6.8e-21
313,9.16e-20,1.2e-20
314,9.62e-20,1.0e-20
315,9.56e-20,1.2e-20
316,1.05e-19,1.2e-20
317,1.09e-19,1.3e-20
318,1.09e-19,1.1e-20
319,1.1e-19,1.2e-20
320,1.05e-19,1.0e-20
321,1.08e-19,1.0e-20
322,1.02e-19,5.2e-21
323,1.0e-19,5.8e-21
324,9.9e-20,7.2e-21
325,1.05e-19,1.8e-20
326,9.99e-20,1.3e-20
327,9.64e-20,1.1e-20
328,1.01e-19,6.2e-21
329,9.97e-20,9.3e-21
330,1.03e-19,8.3e-21
331,1.02e-19,6.7e-21
332,9.49e-20,5.1e-21
333,1.03e-19,5.2e-21
334,9.96e-20,8.3e-21
335,9.31e-20,6.7e-21
336,9.47e-20,9.2e-21
337,9.68e-20,8.1e-21
338,9.19e-20,5.5e-21
339,8.44e-20,4.8e-21
340,8.99e-20,6.2e-21
341,8.97e-20,5.9e-21
342,6.74e-20,3.4e-21
343,7.34e-20,5.7e-21
344,6.9e-20,6.3e-21
345,6.91e-20,6.0e-21
346,7.68e-20,6.5e-21
347,6.68e-20,7.3e-21
348,5.51e-20,4.3e-21
349,5.56e-20,2.9e-21
350,5.98e-20,4.4e-21
351,5.94e-20,3.0e-21
352,6.3e-20,2.6e-21
353,5.34e-20,4.3e-21
354,8.59e-20,8.5e-21
355,5.38e-20,6.1e-21
356,5.0e-20,6.4e-21
357,4.18e-20,4.3e-21
358,4.72e-20,3.2e-21
359,3.07e-20,2.9e-21
360,2.79e-20,2.7e-21
361,2.63e-20,2.5e-21
362,2.36e-20,3.9e-21
363,2.3e-20,1.4e-21
364,3.21e-20,3.9e-21
365,2.25e-20,6.1e-21
366,1.87e-20,2.6e-21
367,1.88e-20,2.0e-21
368,1.66e-20,2.9e-21
369,2.3e-20,3.1e-21
370,2.33e-20,1.7e-21
371,1.82e-20,3.6e-21
372,1.98e-20,5.2e-21
373,4.09e-20,4.4e-21
374,1.34e-20,5.0e-21
375,1.41e-20,1.7e-21
376,1.04e-20,7.3e-22
377,5.0e-21,1.9e-21
378,4.4e-21,3.9e-21
379,3.75e-21,3.3e-21
380,9.69e-22,1.3e-21
