λ,σ
115.55,3.961e-17
115.6,3.949e-17
115.65,3.944e-17
115.7,3.948e-17
115.75,3.943e-17
115.8,3.939e-17
115.85,3.936e-17
115.9,3.926e-17
115.95,3.919e-17
116.0,3.909e-17
116.05,3.904e-17
116.1,3.904e-17
116.15,3.895e-17
116.2,3.89e-17
116.25,3.881e-17
116.3,3.865e-17
116.35,3.873e-17
116.4,3.865e-17
116.45,3.851e-17
116.5,3.84e-17
116.55,3.842e-17
116.6,3.831e-17
116.65,3.832e-17
116.7,3.823e-17
116.75,3.818e-17
116.8,3.811e-17
116.85,3.814e-17
116.9,3.801e-17
116.95,3.804e-17
117.0,3.79e-17
117.05,3.783e-17
117.1,3.773e-17
117.15,3.776e-17
117.2,3.768e-17
117.25,3.761e-17
117.3,3.758e-17
117.35,3.76e-17
117.4,3.745e-17
117.45,3.746e-17
117.5,3.733e-17
117.55,3.72e-17
117.6,3.724e-17
117.65,3.722e-17
117.7,3.721e-17
117.75,3.705e-17
117.8,3.697e-17
117.85,3.683e-17
117.9,3.684e-17
117.95,3.676e-17
118.0,3.678e-17
118.05,3.669e-17
118.1,3.672e-17
118.15,3.66e-17
118.2,3.649e-17
118.25,3.646e-17
118.3,3.641e-17
118.35,3.645e-17
118.4,3.647e-17
118.45,3.635e-17
118.5,3.63e-17
118.55,3.624e-17
118.6,3.623e-17
118.65,3.617e-17
118.7,3.613e-17
118.75,3.611e-17
118.8,3.6e-17
118.85,3.591e-17
118.9,3.586e-17
118.95,3.582e-17
119.0,3.585e-17
119.05,3.58e-17
119.1,3.569e-17
119.15,3.553e-17
119.2,3.553e-17
119.25,3.557e-17
119.3,3.555e-17
119.35,3.537e-17
119.4,3.548e-17
119.45,3.542e-17
119.5,3.536e-17
119.55,3.526e-17
119.6,3.515e-17
119.65,3.512e-17
119.7,3.515e-17
119.75,3.496e-17
119.8,3.487e-17
119.85,3.477e-17
119.9,3.462e-17
119.95,3.461e-17
120.0,3.457e-17
120.05,3.451e-17
120.1,3.445e-17
120.15,3.436e-17
120.2,3.434e-17
120.25,3.426e-17
120.3,3.429e-17
120.35,3.426e-17
120.4,3.432e-17
120.45,3.419e-17
120.5,3.42e-17
120.55,3.409e-17
120.6,3.403e-17
120.65,3.401e-17
120.7,3.393e-17
120.75,3.379e-17
120.8,3.369e-17
120.85,3.354e-17
120.9,3.333e-17
120.95,3.326e-17
121.0,3.31e-17
