λ,σ,Δσ
249.75,7.05e-20,NaN
250.26,6.84e-20,NaN
250.86,6.59e-20,NaN
251.46,6.31e-20,NaN
251.89,6.12e-20,NaN
252.23,5.98e-20,NaN
252.82,5.84e-20,NaN
254.43,5.76e-20,NaN
255.28,5.59e-20,NaN
255.62,5.43e-20,NaN
256.13,5.27e-20,NaN
256.64,5.11e-20,NaN
257.07,5.0e-20,NaN
257.92,4.87e-20,NaN
258.93,4.75e-20,NaN
259.95,4.64e-20,NaN
260.54,4.55e-20,NaN
261.05,4.43e-20,NaN
261.73,4.39e-20,NaN
262.74,4.54e-20,NaN
263.32,4.73e-20,NaN
264.41,4.91e-20,NaN
265.34,4.81e-20,NaN
265.85,4.66e-20,NaN
266.45,4.53e-20,NaN
267.21,4.4e-20,NaN
267.55,4.34e-20,NaN
268.48,4.22e-20,NaN
268.91,4.16e-20,NaN
269.92,4.14e-20,NaN
270.68,4.11e-20,NaN
271.19,4.03e-20,NaN
271.44,3.97e-20,NaN
272.29,3.94e-20,NaN
272.96,4.04e-20,NaN
273.55,4.11e-20,NaN
273.97,4.23e-20,NaN
274.39,4.36e-20,NaN
275.14,4.51e-20,NaN
275.65,4.41e-20,NaN
276.16,4.29e-20,NaN
276.67,4.18e-20,NaN
277.1,4.08e-20,NaN
277.69,3.98e-20,NaN
278.45,3.85e-20,NaN
279.13,3.72e-20,NaN
280.32,3.61e-20,NaN
281.84,3.51e-20,NaN
283.44,3.44e-20,NaN
284.12,3.43e-20,NaN
284.96,3.5e-20,NaN
285.97,3.63e-20,NaN
287.23,3.73e-20,NaN
288.16,3.64e-20,NaN
288.67,3.55e-20,NaN
289.26,3.5e-20,NaN
290.19,3.48e-20,NaN
291.8,3.39e-20,NaN
293.32,3.31e-20,NaN
295.18,3.33e-20,NaN
297.2,3.33e-20,NaN
299.23,3.34e-20,NaN
300.91,3.39e-20,NaN
302.6,3.32e-20,NaN
304.54,3.34e-20,NaN
305.64,3.23e-20,NaN
306.83,3.12e-20,NaN
308.51,3.18e-20,NaN
309.44,3.13e-20,NaN
310.88,3.04e-20,NaN
312.74,3.03e-20,NaN
313.33,3.05e-20,NaN
314.09,2.97e-20,NaN
315.02,2.85e-20,NaN
315.53,2.79e-20,NaN
316.46,2.78e-20,NaN
317.64,2.67e-20,NaN
318.24,2.58e-20,NaN
319.42,2.47e-20,NaN
320.1,2.41e-20,NaN
321.2,2.29e-20,NaN
322.89,2.22e-20,NaN
323.65,2.16e-20,NaN
324.75,2.04e-20,NaN
325.68,1.98e-20,NaN
326.36,1.99e-20,NaN
327.79,1.91e-20,NaN
328.98,1.79e-20,NaN
330.33,1.69e-20,NaN
331.09,1.57e-20,NaN
332.11,1.45e-20,NaN
333.21,1.34e-20,NaN
334.39,1.22e-20,NaN
335.75,1.12e-20,NaN
337.1,1.02e-20,NaN
338.62,9.23e-21,NaN
340.06,8.23e-21,NaN
341.83,7.62e-21,NaN
343.52,6.89e-21,NaN
344.88,6.56e-21,NaN
345.55,5.84e-21,NaN
346.31,5.62e-21,NaN
346.74,5.06e-21,NaN
347.33,4.56e-21,NaN
348.34,4.28e-21,NaN
349.69,4.56e-21,NaN
350.11,4.28e-21,NaN
351.47,3.28e-21,NaN
353.07,2.5e-21,NaN
354.85,2.17e-21,NaN
356.96,2.0e-21,NaN
358.73,1.39e-21,NaN
360.0,1.16e-21,NaN
