λ,σ,Δσ
115.0,4.316315e-17,NaN
115.1,4.394084e-17,NaN
115.2,4.421593e-17,NaN
115.3,4.425594e-17,NaN
115.4,4.453728e-17,NaN
115.5,4.493555e-17,NaN
115.6,4.501806e-17,NaN
115.7,4.524552e-17,NaN
115.8,4.541917e-17,NaN
115.9,4.503134e-17,NaN
116.0,4.530914e-17,NaN
116.1,4.540056e-17,NaN
116.2,4.561257e-17,NaN
116.3,4.56967e-17,NaN
116.4,4.551886e-17,NaN
116.5,4.580155e-17,NaN
116.6,4.603847e-17,NaN
116.7,4.606928e-17,NaN
116.8,4.601921e-17,NaN
116.9,4.592088e-17,NaN
117.0,4.621519e-17,NaN
117.1,4.60373e-17,NaN
117.2,4.617757e-17,NaN
117.3,4.648523e-17,NaN
117.4,4.669198e-17,NaN
117.5,4.644568e-17,NaN
117.6,4.614686e-17,NaN
117.7,4.63442e-17,NaN
117.8,4.62192e-17,NaN
117.9,4.627453e-17,NaN
118.0,4.608567e-17,NaN
118.1,4.6218e-17,NaN
118.2,4.597493e-17,NaN
118.3,4.587593e-17,NaN
118.4,4.573064e-17,NaN
118.5,4.557522e-17,NaN
118.6,4.544765e-17,NaN
118.7,4.527478e-17,NaN
118.8,4.491589e-17,NaN
118.9,4.468686e-17,NaN
119.0,4.45625e-17,NaN
119.1,4.419593e-17,NaN
119.2,4.419553e-17,NaN
119.3,4.403856e-17,NaN
119.4,4.389324e-17,NaN
119.5,4.360499e-17,NaN
119.6,4.349793e-17,NaN
119.7,4.330865e-17,NaN
119.8,4.288731e-17,NaN
119.9,4.273522e-17,NaN
120.0,4.268031e-17,NaN
120.1,4.24237e-17,NaN
120.2,4.208404e-17,NaN
120.3,4.210561e-17,NaN
120.4,4.18781e-17,NaN
120.5,4.184778e-17,NaN
120.6,4.147894e-17,NaN
120.7,4.131101e-17,NaN
120.8,4.115917e-17,NaN
120.9,4.104057e-17,NaN
121.0,4.10298e-17,NaN
121.1,4.0794e-17,NaN
121.2,4.046544e-17,NaN
121.3,4.044348e-17,NaN
121.4,4.048958e-17,NaN
121.5,4.020674e-17,NaN
121.6,4.00919e-17,NaN
121.7,4.001164e-17,NaN
121.8,4.008381e-17,NaN
121.9,4.032491e-17,NaN
122.0,4.007449e-17,NaN
122.1,3.956765e-17,NaN
122.2,3.941176e-17,NaN
122.3,3.947173e-17,NaN
122.4,3.926501e-17,NaN
122.5,3.912425e-17,NaN
122.6,3.921596e-17,NaN
122.7,3.904061e-17,NaN
122.8,3.862568e-17,NaN
122.9,3.85213e-17,NaN
123.0,3.876509e-17,NaN
123.1,3.873743e-17,NaN
123.2,3.853745e-17,NaN
123.3,3.836456e-17,NaN
123.4,3.861085e-17,NaN
123.5,3.879506e-17,NaN
123.6,3.894542e-17,NaN
123.7,3.968617e-17,NaN
123.8,3.966313e-17,NaN
123.9,3.965989e-17,NaN
124.0,3.991134e-17,NaN
124.1,3.961523e-17,NaN
124.2,3.890978e-17,NaN
124.3,3.937153e-17,NaN
124.4,3.991588e-17,NaN
124.5,3.988144e-17,NaN
124.6,3.948498e-17,NaN
124.7,3.941135e-17,NaN
124.8,3.862063e-17,NaN
124.9,3.868093e-17,NaN
125.0,3.890688e-17,NaN
125.1,3.905184e-17,NaN
125.2,3.9689e-17,NaN
125.3,3.99776e-17,NaN
125.4,3.955328e-17,NaN
125.5,3.954949e-17,NaN
125.6,3.929771e-17,NaN
125.7,3.895912e-17,NaN
125.8,3.886204e-17,NaN
125.9,3.880278e-17,NaN
126.0,3.880376e-17,NaN
126.1,3.887755e-17,NaN
126.2,3.886998e-17,NaN
126.3,3.902921e-17,NaN
126.4,3.919295e-17,NaN
126.5,3.956798e-17,NaN
126.6,4.027504e-17,NaN
126.7,4.021293e-17,NaN
126.8,3.987728e-17,NaN
126.9,3.969001e-17,NaN
127.0,3.95182e-17,NaN
127.1,3.916913e-17,NaN
127.2,3.892357e-17,NaN
127.3,3.868495e-17,NaN
127.4,3.895901e-17,NaN
127.5,3.872079e-17,NaN
127.6,3.859958e-17,NaN
127.7,3.82563e-17,NaN
127.8,3.779338e-17,NaN
127.9,3.782127e-17,NaN
128.0,3.804905e-17,NaN
128.1,3.852089e-17,NaN
128.2,3.865195e-17,NaN
128.3,3.871187e-17,NaN
128.4,3.876792e-17,NaN
128.5,3.82588e-17,NaN
128.6,3.802833e-17,NaN
128.7,3.760302e-17,NaN
128.8,3.731667e-17,NaN
128.9,3.776271e-17,NaN
129.0,3.892873e-17,NaN
129.1,3.916156e-17,NaN
129.2,3.934889e-17,NaN
129.3,3.859522e-17,NaN
129.4,3.791502e-17,NaN
129.5,3.714459e-17,NaN
129.6,3.664652e-17,NaN
129.7,3.613538e-17,NaN
129.8,3.556379e-17,NaN
129.9,3.54848e-17,NaN
130.0,3.579093e-17,NaN
130.1,3.561663e-17,NaN
130.2,3.496272e-17,NaN
