λ,σ,Δσ
171.92,3.73e-17,NaN
172.33,3.81e-17,NaN
172.79,3.87e-17,NaN
173.26,3.91e-17,NaN
173.74,3.92e-17,NaN
174.19,3.89e-17,NaN
174.69,3.85e-17,NaN
175.15,3.81e-17,NaN
175.63,3.8e-17,NaN
176.06,3.8e-17,NaN
176.53,3.79e-17,NaN
177.0,3.83e-17,NaN
177.44,3.9e-17,NaN
177.86,4.0e-17,NaN
178.3,4.12e-17,NaN
178.72,4.23e-17,NaN
179.17,4.33e-17,NaN
179.66,4.42e-17,NaN
180.09,4.55e-17,NaN
180.52,4.69e-17,NaN
180.87,4.85e-17,NaN
181.22,5.06e-17,NaN
181.55,5.26e-17,NaN
182.01,5.39e-17,NaN
182.47,5.53e-17,NaN
182.9,5.72e-17,NaN
183.39,5.84e-17,NaN
183.91,5.77e-17,NaN
184.38,5.81e-17,NaN
184.62,6.09e-17,NaN
184.85,6.47e-17,NaN
185.06,6.79e-17,NaN
185.22,6.96e-17,NaN
185.61,7.23e-17,NaN
185.96,7.52e-17,NaN
186.29,7.84e-17,NaN
186.59,8.19e-17,NaN
186.87,8.57e-17,NaN
187.31,8.76e-17,NaN
187.65,8.42e-17,NaN
187.81,8.15e-17,NaN
188.06,7.77e-17,NaN
188.34,7.14e-17,NaN
188.54,6.81e-17,NaN
188.84,6.51e-17,NaN
189.24,6.66e-17,NaN
189.46,7.0e-17,NaN
189.67,7.54e-17,NaN
189.94,8.18e-17,NaN
190.2,8.94e-17,NaN
190.45,9.92e-17,NaN
190.62,1.1e-16,NaN
190.78,1.21e-16,NaN
190.96,1.32e-16,NaN
191.12,1.44e-16,NaN
191.2,1.5e-16,NaN
191.54,1.55e-16,NaN
191.81,1.52e-16,NaN
191.94,1.46e-16,NaN
192.05,1.37e-16,NaN
192.15,1.24e-16,NaN
192.26,1.12e-16,NaN
192.36,9.26e-17,NaN
192.36,9.18e-17,NaN
192.49,8.41e-17,NaN
192.57,7.7e-17,NaN
192.68,7.13e-17,NaN
192.84,6.57e-17,NaN
192.95,6.16e-17,NaN
193.35,5.81e-17,NaN
193.75,6.06e-17,NaN
193.89,6.38e-17,NaN
194.0,6.79e-17,NaN
194.21,7.37e-17,NaN
194.35,8.09e-17,NaN
194.52,8.89e-17,NaN
194.74,1.0e-16,NaN
194.84,1.14e-16,NaN
194.91,1.25e-16,NaN
194.96,1.38e-16,NaN
195.04,1.48e-16,NaN
195.14,1.61e-16,NaN
195.25,1.73e-16,NaN
195.36,1.85e-16,NaN
195.48,2.0e-16,NaN
195.79,2.09e-16,NaN
195.98,1.95e-16,NaN
196.11,1.78e-16,NaN
196.17,1.67e-16,NaN
196.23,1.53e-16,NaN
196.31,1.39e-16,NaN
196.37,1.25e-16,NaN
196.44,1.08e-16,NaN
196.47,9.71e-17,NaN
196.5,8.79e-17,NaN
196.56,7.9e-17,NaN
196.71,7.06e-17,NaN
196.77,6.38e-17,NaN
196.9,5.87e-17,NaN
197.04,5.44e-17,NaN
197.19,5.18e-17,NaN
197.3,4.91e-17,NaN
197.52,4.68e-17,NaN
197.77,4.46e-17,NaN
198.15,4.28e-17,NaN
198.66,4.18e-17,NaN
199.23,4.1e-17,NaN
199.85,4.06e-17,NaN
200.46,3.99e-17,NaN
201.09,3.93e-17,NaN
201.67,3.85e-17,NaN
202.28,3.77e-17,NaN
202.84,3.67e-17,NaN
203.38,3.56e-17,NaN
203.86,3.44e-17,NaN
204.32,3.31e-17,NaN
204.75,3.18e-17,NaN
205.13,3.05e-17,NaN
205.53,2.92e-17,NaN
205.91,2.8e-17,NaN
206.26,2.68e-17,NaN
206.59,2.56e-17,NaN
206.92,2.44e-17,NaN
207.24,2.33e-17,NaN
207.57,2.22e-17,NaN
207.85,2.12e-17,NaN
208.15,2.02e-17,NaN
208.42,1.93e-17,NaN
208.78,1.84e-17,NaN
209.06,1.76e-17,NaN
209.42,1.66e-17,NaN
209.76,1.57e-17,NaN
210.09,1.49e-17,NaN
210.37,1.42e-17,NaN
210.65,1.35e-17,NaN
210.93,1.27e-17,NaN
211.24,1.21e-17,NaN
211.55,1.16e-17,NaN
211.92,1.11e-17,NaN
212.3,1.06e-17,NaN
212.76,1.02e-17,NaN
213.29,9.87e-18,NaN
213.88,9.56e-18,NaN
214.48,9.27e-18,NaN
215.14,9.08e-18,NaN
215.87,9.01e-18,NaN
216.58,9.02e-18,NaN
216.92,9.08e-18,NaN
217.67,9.16e-18,NaN
218.36,9.29e-18,NaN
219.05,9.46e-18,NaN
219.78,9.61e-18,NaN
220.52,9.76e-18,NaN
221.23,9.96e-18,NaN
221.94,1.02e-17,NaN
222.7,1.04e-17,NaN
223.42,1.06e-17,NaN
224.15,1.08e-17,NaN
224.91,1.1e-17,NaN
225.65,1.13e-17,NaN
226.4,1.15e-17,NaN
227.15,1.18e-17,NaN
227.87,1.21e-17,NaN
228.52,1.24e-17,NaN
229.11,1.26e-17,NaN
229.67,1.28e-17,NaN
230.34,1.31e-17,NaN
231.11,1.34e-17,NaN
231.86,1.38e-17,NaN
232.61,1.41e-17,NaN
233.4,1.44e-17,NaN
234.2,1.47e-17,NaN
235.03,1.5e-17,NaN
235.8,1.53e-17,NaN
236.13,1.55e-17,NaN
236.95,1.58e-17,NaN
237.77,1.6e-17,NaN
238.59,1.62e-17,NaN
239.46,1.64e-17,NaN
240.36,1.64e-17,NaN
241.28,1.64e-17,NaN
242.16,1.63e-17,NaN
