λ,σ
201.42,8.4e-17
202.4,8.51e-17
203.99,8.4e-17
204.67,8.26e-17
205.35,8.12e-17
205.98,7.96e-17
206.55,7.8e-17
207.38,7.53e-17
208.0,7.38e-17
208.79,7.24e-17
209.74,7.13e-17
210.98,7.19e-17
211.74,7.32e-17
212.95,7.59e-17
213.63,7.89e-17
214.62,8.39e-17
215.45,8.9e-17
216.47,9.4e-17
217.38,9.81e-17
218.01,1.03e-16
218.65,1.07e-16
219.06,1.1e-16
219.64,1.14e-16
220.05,1.17e-16
220.57,1.2e-16
221.03,1.24e-16
221.44,1.27e-16
221.86,1.3e-16
222.37,1.33e-16
222.78,1.36e-16
223.52,1.4e-16
224.08,1.42e-16
224.31,1.43e-16
224.86,1.45e-16
225.52,1.47e-16
226.13,1.48e-16
226.88,1.48e-16
227.78,1.47e-16
228.99,1.46e-16
229.81,1.42e-16
230.58,1.39e-16
231.39,1.35e-16
231.94,1.32e-16
232.44,1.29e-16
232.94,1.26e-16
233.28,1.22e-16
233.77,1.18e-16
234.12,1.16e-16
234.3,1.13e-16
234.44,1.11e-16
234.69,1.1e-16
234.99,1.07e-16
235.28,1.05e-16
235.62,1.02e-16
235.86,9.92e-17
236.25,9.63e-17
236.6,9.34e-17
237.04,9.02e-17
237.43,8.68e-17
237.72,8.4e-17
238.17,8.09e-17
238.57,7.81e-17
239.07,7.53e-17
239.57,7.24e-17
239.93,7.07e-17
240.44,6.82e-17
241.1,6.52e-17
241.56,6.37e-17
241.66,6.29e-17
242.13,6.13e-17
242.59,5.95e-17
243.21,5.74e-17
243.88,5.56e-17
244.4,5.41e-17
244.76,5.29e-17
245.44,5.14e-17
246.01,4.99e-17
246.59,4.83e-17
247.27,4.69e-17
247.95,4.55e-17
248.68,4.4e-17
249.1,4.32e-17
249.94,4.19e-17
250.73,4.06e-17
251.62,3.93e-17
252.41,3.8e-17
253.57,3.59e-17
254.3,3.45e-17
254.98,3.29e-17
255.65,3.11e-17
256.28,2.94e-17
256.85,2.78e-17
257.42,2.63e-17
258.14,2.38e-17
258.92,2.17e-17
259.55,2.02e-17
260.23,1.88e-17
260.96,1.75e-17
261.64,1.6e-17
262.17,1.52e-17
263.01,1.39e-17
263.91,1.27e-17
264.86,1.15e-17
265.86,1.05e-17
266.93,9.62e-18
268.04,8.82e-18
269.27,8.23e-18
270.49,7.93e-18
271.72,7.48e-18
273.0,7.25e-18
275.62,6.49e-18
277.81,6.38e-18
279.64,6.85e-18
282.2,6.23e-18
284.49,5.34e-18
286.9,4.81e-18
289.51,4.48e-18
293.48,4.69e-18
295.84,5.29e-18
299.34,6.93e-18
301.39,7.96e-18
303.22,8.92e-18
304.89,9.81e-18
306.93,1.09e-17
308.01,1.16e-17
309.15,1.24e-17
310.28,1.32e-17
311.41,1.4e-17
312.49,1.47e-17
313.63,1.56e-17
314.7,1.62e-17
315.83,1.69e-17
317.02,1.73e-17
318.31,1.78e-17
319.87,1.83e-17
321.26,1.88e-17
322.28,1.92e-17
323.52,1.94e-17
324.75,1.98e-17
325.99,2.01e-17
327.33,2.03e-17
328.83,2.01e-17
330.05,1.91e-17
330.94,1.77e-17
331.95,1.66e-17
332.79,1.54e-17
333.58,1.41e-17
334.48,1.29e-17
335.37,1.16e-17
336.32,1.05e-17
337.22,9.32e-18
338.23,8.38e-18
339.29,7.51e-18
340.4,6.64e-18
341.52,5.77e-18
342.69,5.19e-18
343.86,4.6e-18
345.08,3.94e-18
346.31,3.42e-18
347.59,3.04e-18
348.87,2.81e-18
350.15,2.5e-18
351.33,2.27e-18
352.61,1.99e-18
354.59,1.76e-18
356.78,1.53e-18
359.3,1.35e-18
