λ,σ
197.563,4.152e-21
198.771,4.386e-21
199.778,4.776e-21
200.312,5.169e-21
201.062,5.838e-21
201.654,6.713e-21
202.086,7.72e-21
202.643,9.58e-21
202.95,1.153e-20
203.22,1.342e-20
203.459,1.599e-20
203.8,1.966e-20
204.004,2.381e-20
204.278,2.882e-20
204.55,3.682e-20
204.846,4.545e-20
205.066,5.259e-20
205.31,6.194e-20
205.66,7.329e-20
206.234,8.973e-20
206.858,1.026e-19
207.898,9.481e-20
208.426,8.247e-20
208.999,6.9e-20
209.45,5.657e-20
209.904,4.567e-20
210.287,3.549e-20
210.747,2.695e-20
211.133,2.078e-20
211.447,1.519e-20
211.837,1.154e-20
212.368,9.399e-21
212.859,8.176e-21
213.413,7.069e-21
214.092,6.186e-21
214.959,5.48e-21
216.084,4.974e-21
217.345,4.57e-21
218.685,4.276e-21
220.106,4.05e-21
220.498,3.93e-21
221.941,3.837e-21
