λ,σ,Δσ
200.07,3.82e-19,NaN
200.94,3.42e-19,NaN
201.55,3.1e-19,NaN
202.08,2.83e-19,NaN
202.69,2.55e-19,NaN
203.23,2.3e-19,NaN
203.84,2.08e-19,NaN
204.52,1.87e-19,NaN
205.06,1.71e-19,NaN
205.59,1.58e-19,NaN
206.06,1.47e-19,NaN
206.67,1.33e-19,NaN
207.21,1.22e-19,NaN
208.02,1.09e-19,NaN
208.76,9.78e-20,NaN
209.37,8.82e-20,NaN
209.84,8.18e-20,NaN
210.24,7.61e-20,NaN
210.85,6.86e-20,NaN
211.59,6.22e-20,NaN
212.13,5.71e-20,NaN
212.73,5.2e-20,NaN
213.61,4.61e-20,NaN
214.15,4.17e-20,NaN
214.89,3.76e-20,NaN
215.36,3.46e-20,NaN
215.77,3.16e-20,NaN
216.51,2.86e-20,NaN
216.98,2.62e-20,NaN
217.79,2.35e-20,NaN
218.66,2.14e-20,NaN
219.33,1.99e-20,NaN
220.33,1.85e-20,NaN
221.46,1.73e-20,NaN
222.97,1.71e-20,NaN
224.28,1.8e-20,NaN
225.39,1.94e-20,NaN
226.37,2.12e-20,NaN
227.21,2.31e-20,NaN
227.92,2.51e-20,NaN
228.83,2.75e-20,NaN
229.67,3.02e-20,NaN
230.39,3.29e-20,NaN
231.23,3.65e-20,NaN
231.94,4.03e-20,NaN
232.78,4.4e-20,NaN
233.49,4.88e-20,NaN
234.07,5.29e-20,NaN
234.98,5.8e-20,NaN
235.83,6.38e-20,NaN
236.67,7.02e-20,NaN
237.18,7.55e-20,NaN
238.09,8.26e-20,NaN
239.0,9.05e-20,NaN
239.91,9.91e-20,NaN
240.89,1.08e-19,NaN
241.73,1.19e-19,NaN
242.64,1.3e-19,NaN
243.55,1.42e-19,NaN
244.53,1.54e-19,NaN
245.57,1.67e-19,NaN
246.61,1.81e-19,NaN
247.79,1.95e-19,NaN
249.03,2.09e-19,NaN
250.14,2.25e-19,NaN
251.38,2.41e-19,NaN
252.68,2.58e-19,NaN
253.99,2.75e-19,NaN
255.3,2.92e-19,NaN
256.68,3.06e-19,NaN
258.12,3.22e-19,NaN
259.56,3.36e-19,NaN
261.14,3.46e-19,NaN
262.65,3.54e-19,NaN
264.1,3.56e-19,NaN
265.68,3.57e-19,NaN
267.26,3.55e-19,NaN
268.78,3.51e-19,NaN
270.3,3.41e-19,NaN
271.75,3.31e-19,NaN
273.14,3.15e-19,NaN
274.47,3.0e-19,NaN
275.86,2.87e-19,NaN
277.12,2.69e-19,NaN
278.44,2.54e-19,NaN
279.57,2.36e-19,NaN
280.7,2.18e-19,NaN
281.77,2.02e-19,NaN
282.9,1.87e-19,NaN
283.9,1.72e-19,NaN
284.77,1.59e-19,NaN
285.77,1.46e-19,NaN
286.03,1.43e-19,NaN
286.3,1.4e-19,NaN
286.97,1.31e-19,NaN
287.77,1.19e-19,NaN
288.71,1.09e-19,NaN
289.51,9.84e-20,NaN
290.25,8.92e-20,NaN
291.05,8.19e-20,NaN
291.59,7.59e-20,NaN
292.19,7.1e-20,NaN
292.93,6.43e-20,NaN
293.74,5.73e-20,NaN
294.21,5.28e-20,NaN
294.95,4.72e-20,NaN
295.69,4.3e-20,NaN
296.5,3.79e-20,NaN
297.17,3.43e-20,NaN
297.84,3.14e-20,NaN
298.59,2.74e-20,NaN
299.46,2.44e-20,NaN
300.2,2.18e-20,NaN
300.61,1.99e-20,NaN
301.22,1.8e-20,NaN
301.82,1.64e-20,NaN
302.43,1.48e-20,NaN
302.83,1.38e-20,NaN
303.51,1.25e-20,NaN
304.05,1.12e-20,NaN
304.25,1.09e-20,NaN
304.86,9.83e-21,NaN
305.4,8.82e-21,NaN
306.01,7.82e-21,NaN
306.55,7.15e-21,NaN
307.22,6.45e-21,NaN
307.43,6.19e-21,NaN
307.97,5.58e-21,NaN
308.64,5.08e-21,NaN
309.25,4.54e-21,NaN
309.79,4.08e-21,NaN
310.6,3.58e-21,NaN
311.34,3.16e-21,NaN
311.96,2.77e-21,NaN
312.63,2.44e-21,NaN
313.44,2.12e-21,NaN
314.12,1.86e-21,NaN
314.8,1.65e-21,NaN
315.41,1.47e-21,NaN
316.01,1.32e-21,NaN
316.69,1.19e-21,NaN
317.03,1.12e-21,NaN
317.63,1.01e-21,NaN
318.31,8.99e-22,NaN
318.99,7.65e-22,NaN
320.0,6.51e-22,NaN
