λ,σ,Δσ
94.8239,2.0318e-17,NaN
94.82436,1.8604e-17,NaN
94.82483,1.8757e-17,NaN
94.8253,1.8575e-17,NaN
94.82577,1.7189e-17,NaN
94.82624,1.9124e-17,NaN
94.8267,1.9216e-17,NaN
94.82717,2.1036e-17,NaN
94.82764,1.7641e-17,NaN
94.82811,1.7013e-17,NaN
94.82857,1.9647e-17,NaN
94.82904,2.1069e-17,NaN
94.82951,1.9956e-17,NaN
94.82998,1.778e-17,NaN
94.83044,2.0049e-17,NaN
94.83091,1.8825e-17,NaN
94.83138,1.5475e-17,NaN
94.83185,1.9009e-17,NaN
94.83231,1.8979e-17,NaN
94.83278,2.2738e-17,NaN
94.83325,1.9408e-17,NaN
94.83372,2.0115e-17,NaN
94.83418,2.2014e-17,NaN
94.83465,2.233e-17,NaN
94.83512,2.0271e-17,NaN
94.83559,2.2331e-17,NaN
94.83605,2.3536e-17,NaN
94.83652,2.3473e-17,NaN
94.83699,2.3506e-17,NaN
94.83746,2.5179e-17,NaN
94.83792,2.4115e-17,NaN
94.83839,2.4791e-17,NaN
94.83886,2.544e-17,NaN
94.83933,2.6093e-17,NaN
94.8398,2.5637e-17,NaN
94.84026,2.7545e-17,NaN
94.84073,2.7646e-17,NaN
94.8412,2.4601e-17,NaN
94.84167,2.6918e-17,NaN
94.84213,2.7714e-17,NaN
94.8426,2.8651e-17,NaN
94.84307,2.8383e-17,NaN
94.84354,2.835e-17,NaN
94.844,2.8787e-17,NaN
94.84447,2.5285e-17,NaN
94.84494,2.6494e-17,NaN
94.84541,2.6857e-17,NaN
94.84587,2.266e-17,NaN
94.84634,2.5548e-17,NaN
94.84681,2.8556e-17,NaN
94.84728,3.1312e-17,NaN
94.84774,2.4804e-17,NaN
94.84821,2.7622e-17,NaN
94.84868,2.1158e-17,NaN
94.84915,2.6862e-17,NaN
94.84961,2.4194e-17,NaN
94.85008,2.3683e-17,NaN
94.85055,2.3364e-17,NaN
94.85102,2.3524e-17,NaN
94.85148,2.4101e-17,NaN
94.85195,2.4101e-17,NaN
94.85242,2.4327e-17,NaN
94.85289,2.0821e-17,NaN
94.85335,2.1507e-17,NaN
94.85382,2.0265e-17,NaN
94.85429,2.0854e-17,NaN
94.85476,2.1947e-17,NaN
94.85522,2.3594e-17,NaN
94.85569,2.3307e-17,NaN
94.85616,2.488e-17,NaN
94.85663,2.2896e-17,NaN
94.85709,1.6991e-17,NaN
94.85756,1.9532e-17,NaN
94.85803,2.1482e-17,NaN
94.8585,1.8984e-17,NaN
94.85896,2.3312e-17,NaN
94.85943,2.3567e-17,NaN
94.8599,2.2679e-17,NaN
94.86037,2.2837e-17,NaN
94.86084,2.2617e-17,NaN
94.8613,2.2491e-17,NaN
94.86177,2.105e-17,NaN
94.86224,2.3826e-17,NaN
94.86271,2.3827e-17,NaN
94.86317,2.6782e-17,NaN
94.86364,2.7377e-17,NaN
94.86411,2.9387e-17,NaN
94.86458,2.9185e-17,NaN
94.86504,3.2899e-17,NaN
94.86551,3.3745e-17,NaN
94.86598,3.8079e-17,NaN
94.86645,3.9268e-17,NaN
94.86691,5.2645e-17,NaN
94.86738,4.916e-17,NaN
94.86785,3.8045e-17,NaN
94.86832,3.4779e-17,NaN
94.86878,3.5101e-17,NaN
94.86925,3.7019e-17,NaN
94.86972,4.4252e-17,NaN
94.87019,4.8958e-17,NaN
94.87065,4.8384e-17,NaN
94.87112,4.2656e-17,NaN
94.87159,3.2314e-17,NaN
94.87206,2.792e-17,NaN
94.87252,2.6006e-17,NaN
94.87299,2.5064e-17,NaN
94.87346,2.0848e-17,NaN
94.87393,1.9523e-17,NaN
94.87439,1.8549e-17,NaN
94.87486,1.4247e-17,NaN
94.87533,1.7704e-17,NaN
94.8758,1.9189e-17,NaN
94.87627,1.4743e-17,NaN
94.87673,1.5036e-17,NaN
94.8772,1.7647e-17,NaN
94.87767,1.5801e-17,NaN
94.87814,1.3499e-17,NaN
94.8786,1.3644e-17,NaN
94.87907,1.3991e-17,NaN
94.87954,1.2811e-17,NaN
94.88001,1.3271e-17,NaN
94.88047,1.4283e-17,NaN
94.88094,1.2613e-17,NaN
94.88141,1.4721e-17,NaN
94.88188,1.4634e-17,NaN
94.88234,1.4227e-17,NaN
94.88281,1.3418e-17,NaN
94.88328,1.8288e-17,NaN
94.88375,1.276e-17,NaN
94.88421,1.6254e-17,NaN
94.88468,1.6225e-17,NaN
94.88515,1.826e-17,NaN
94.88562,1.325e-17,NaN
94.88608,1.205e-17,NaN
94.88655,1.3972e-17,NaN
94.88702,1.3108e-17,NaN
94.88749,1.5844e-17,NaN
94.88795,1.4642e-17,NaN
94.88842,1.5462e-17,NaN
94.88889,1.3888e-17,NaN
94.88936,1.2996e-17,NaN
94.88982,1.2939e-17,NaN
94.89029,1.4122e-17,NaN
94.89076,1.7395e-17,NaN
94.89123,1.6589e-17,NaN
94.89169,1.6947e-17,NaN
94.89216,1.4735e-17,NaN
94.89263,1.4503e-17,NaN
94.8931,1.8604e-17,NaN
94.89356,1.6296e-17,NaN
94.89403,1.6415e-17,NaN
94.8945,1.7459e-17,NaN
94.89497,1.8122e-17,NaN
94.89544,1.4739e-17,NaN
94.8959,1.8003e-17,NaN
94.89637,2.1314e-17,NaN
94.89684,1.8336e-17,NaN
94.89731,1.8974e-17,NaN
94.89777,1.8914e-17,NaN
94.89824,1.8066e-17,NaN
94.89871,2.3843e-17,NaN
