λ,σ
115.84,4.83e-19
116.0,3.85e-19
116.34,2.74e-19
116.44,4.64e-19
116.51,6.32e-19
116.71,4.95e-19
116.78,3.8e-19
116.88,2.19e-19
117.19,1.27e-19
117.28,1.97e-19
117.49,2.58e-19
117.67,1.82e-19
117.73,6.11e-20
118.09,4.81e-20
118.34,9.31e-20
118.37,9.31e-20
118.67,5.75e-20
119.05,3.4e-20
119.59,4.16e-20
120.12,4.41e-20
120.68,4.82e-20
121.19,6.3e-20
121.7,7.42e-20
122.26,8.18e-20
122.75,1.04e-19
123.34,1.09e-19
123.8,1.28e-19
124.05,1.68e-19
124.43,1.97e-19
124.78,1.71e-19
124.83,1.89e-19
125.02,2.3e-19
125.41,2.37e-19
125.66,2.1e-19
125.87,2.44e-19
125.98,3.16e-19
126.26,3.63e-19
126.47,3.24e-19
126.7,2.74e-19
126.91,3.46e-19
127.01,4.29e-19
127.24,4.87e-19
127.49,4.35e-19
127.62,3.74e-19
127.8,3.28e-19
127.95,4.35e-19
127.97,5.03e-19
128.14,5.79e-19
128.49,6.26e-19
128.62,5.5e-19
128.67,4.77e-19
128.84,4.05e-19
129.05,4.69e-19
129.09,6.9e-19
129.27,8.27e-19
129.5,6.82e-19
129.67,6.04e-19
129.86,4.9e-19
130.1,5.6e-19
130.16,8.82e-19
130.17,1.01e-18
130.3,1.12e-18
130.41,1.0e-18
130.48,9.11e-19
130.58,8.14e-19
130.67,7.13e-19
130.74,6.2e-19
130.99,5.56e-19
131.23,6.35e-19
131.31,7.55e-19
131.42,8.93e-19
131.6,9.98e-19
131.74,8.98e-19
131.86,8.14e-19
131.9,7.07e-19
132.25,6.41e-19
132.41,7.13e-19
132.45,8.26e-19
132.48,9.4e-19
132.79,1.01e-18
132.8,1.07e-18
133.0,9.78e-19
133.03,8.81e-19
133.04,8.26e-19
133.05,8.25e-19
133.28,6.97e-19
133.47,7.74e-19
133.53,9.1e-19
133.64,1.04e-18
133.75,9.58e-19
133.86,8.74e-19
134.17,8.56e-19
134.2,7.69e-19
134.22,6.81e-19
134.48,6.56e-19
134.68,7.66e-19
134.69,8.95e-19
134.95,9.65e-19
135.14,8.67e-19
135.23,7.42e-19
135.33,6.46e-19
135.67,5.87e-19
136.01,6.74e-19
136.22,8.0e-19
136.31,7.08e-19
136.39,6.28e-19
136.59,5.96e-19
136.92,6.16e-19
137.05,6.48e-19
137.35,6.15e-19
137.44,5.72e-19
137.57,5.24e-19
137.89,5.64e-19
138.08,6.3e-19
138.29,5.91e-19
138.39,5.28e-19
138.68,5.17e-19
138.87,4.92e-19
139.14,5.28e-19
139.51,5.45e-19
139.67,5.09e-19
139.96,5.14e-19
140.29,5.5e-19
140.65,5.34e-19
141.06,5.54e-19
141.31,5.74e-19
141.5,5.55e-19
141.89,5.7e-19
142.12,5.43e-19
142.31,5.86e-19
142.63,6.26e-19
142.79,5.66e-19
143.16,5.25e-19
143.3,5.83e-19
143.84,6.25e-19
144.04,5.48e-19
144.44,5.87e-19
144.64,6.31e-19
145.08,6.23e-19
