λ,σ,Δσ
200.0,1.24e-19,NaN
201.0,1.18e-19,NaN
202.0,1.09e-19,NaN
203.0,1.02e-19,NaN
204.0,9.52e-20,NaN
205.0,8.92e-20,NaN
206.0,8.43e-20,NaN
207.0,7.91e-20,NaN
208.0,7.35e-20,NaN
209.0,6.91e-20,NaN
210.0,6.41e-20,NaN
211.0,6.0e-20,NaN
212.0,5.6e-20,NaN
213.0,5.2e-20,NaN
214.0,4.86e-20,NaN
215.0,4.55e-20,NaN
216.0,4.2e-20,NaN
217.0,3.95e-20,NaN
218.0,3.7e-20,NaN
219.0,3.49e-20,NaN
220.0,3.28e-20,NaN
221.0,3.08e-20,NaN
222.0,2.86e-20,NaN
223.0,2.69e-20,NaN
224.0,2.49e-20,NaN
225.0,2.35e-20,NaN
226.0,2.21e-20,NaN
227.0,2.08e-20,NaN
228.0,1.95e-20,NaN
229.0,1.84e-20,NaN
230.0,1.73e-20,NaN
231.0,1.64e-20,NaN
232.0,1.53e-20,NaN
233.0,1.44e-20,NaN
234.0,1.36e-20,NaN
235.0,1.27e-20,NaN
236.0,1.19e-20,NaN
237.0,1.12e-20,NaN
238.0,1.05e-20,NaN
239.0,9.79e-21,NaN
240.0,9.1e-21,NaN
241.0,8.5e-21,NaN
242.0,8.02e-21,NaN
243.0,7.53e-21,NaN
244.0,7.11e-21,NaN
245.0,6.75e-21,NaN
246.0,6.32e-21,NaN
247.0,5.93e-21,NaN
248.0,5.59e-21,NaN
249.0,5.29e-21,NaN
250.0,5.01e-21,NaN
251.0,4.71e-21,NaN
252.0,4.52e-21,NaN
253.0,4.27e-21,NaN
254.0,3.94e-21,NaN
255.0,3.6e-21,NaN
256.0,3.42e-21,NaN
257.0,3.23e-21,NaN
258.0,2.98e-21,NaN
259.0,2.86e-21,NaN
260.0,2.67e-21,NaN
261.0,2.63e-21,NaN
262.0,2.47e-21,NaN
263.0,2.34e-21,NaN
264.0,2.25e-21,NaN
265.0,2.18e-21,NaN
266.0,1.99e-21,NaN
267.0,1.89e-21,NaN
268.0,1.8e-21,NaN
269.0,1.73e-21,NaN
270.0,1.69e-21,NaN
