λ,σ,Δσ
171.78,1.19e-20,NaN
173.29,9.41e-21,NaN
173.72,8.0e-21,NaN
174.77,6.62e-21,NaN
175.23,5.69e-21,NaN
175.72,4.8e-21,NaN
176.3,4.28e-21,NaN
176.58,3.94e-21,NaN
176.85,3.72e-21,NaN
177.41,3.01e-21,NaN
177.56,2.98e-21,NaN
178.35,2.21e-21,NaN
178.78,1.88e-21,NaN
180.63,1.06e-21,NaN
182.33,7.67e-22,NaN
182.79,5.58e-22,NaN
183.03,5.43e-22,NaN
184.47,3.56e-22,NaN
184.86,2.9e-22,NaN
185.0,2.8e-22,NaN
185.2,2.7e-22,NaN
186.57,1.72e-22,NaN
187.09,1.54e-22,NaN
188.74,8.78e-23,NaN
189.02,7.67e-23,NaN
190.62,5.2e-23,NaN
191.31,3.87e-23,NaN
192.69,2.66e-23,NaN
193.64,2.19e-23,NaN
194.87,1.57e-23,NaN
197.28,8.3e-24,NaN
199.0,4.9e-24,NaN
199.5,4.9e-24,NaN
204.0,3.4e-24,NaN
206.0,3.0e-24,NaN
208.0,2.8e-24,NaN
210.0,2.8e-24,NaN
212.0,2.6e-24,NaN
214.0,2.3e-24,NaN
216.0,2.0e-24,NaN
