λ,σ,Δσ
108.11,7.23e-17,NaN
108.52,7.09e-17,NaN
109.23,6.98e-17,NaN
110.06,6.92e-17,NaN
110.98,6.94e-17,NaN
111.61,7.08e-17,NaN
111.76,7.13e-17,NaN
112.08,7.03e-17,NaN
112.63,6.88e-17,NaN
113.11,6.7e-17,NaN
113.84,6.58e-17,NaN
114.33,6.41e-17,NaN
114.99,6.26e-17,NaN
115.53,6.09e-17,NaN
116.08,5.92e-17,NaN
116.55,5.77e-17,NaN
117.41,5.68e-17,NaN
118.28,5.57e-17,NaN
119.26,5.51e-17,NaN
120.11,5.63e-17,NaN
120.8,5.48e-17,NaN
121.44,5.33e-17,NaN
122.0,5.15e-17,NaN
122.19,5.08e-17,NaN
122.65,4.9e-17,NaN
123.03,4.71e-17,NaN
123.56,4.53e-17,NaN
123.94,4.34e-17,NaN
124.28,4.16e-17,NaN
124.71,3.97e-17,NaN
125.2,3.79e-17,NaN
125.64,3.6e-17,NaN
126.04,3.41e-17,NaN
126.54,3.23e-17,NaN
126.94,3.03e-17,NaN
127.4,2.86e-17,NaN
127.96,2.67e-17,NaN
128.37,2.48e-17,NaN
128.73,2.28e-17,NaN
129.31,2.11e-17,NaN
129.99,1.94e-17,NaN
130.35,1.85e-17,NaN
130.7,1.77e-17,NaN
130.86,1.78e-17,NaN
130.98,1.76e-17,NaN
131.23,1.75e-17,NaN
131.47,1.75e-17,NaN
131.72,1.72e-17,NaN
132.0,1.75e-17,NaN
132.25,1.77e-17,NaN
132.47,1.8e-17,NaN
132.64,1.85e-17,NaN
132.78,1.9e-17,NaN
133.07,1.89e-17,NaN
133.27,1.94e-17,NaN
133.48,1.98e-17,NaN
133.64,1.98e-17,NaN
133.74,2.0e-17,NaN
133.95,2.05e-17,NaN
134.24,2.07e-17,NaN
134.41,2.12e-17,NaN
134.59,2.17e-17,NaN
134.79,2.21e-17,NaN
134.95,2.26e-17,NaN
135.1,2.31e-17,NaN
135.38,2.34e-17,NaN
135.56,2.4e-17,NaN
135.66,2.45e-17,NaN
135.8,2.5e-17,NaN
135.95,2.55e-17,NaN
136.16,2.55e-17,NaN
136.2,2.57e-17,NaN
136.32,2.62e-17,NaN
136.49,2.67e-17,NaN
136.68,2.72e-17,NaN
136.79,2.77e-17,NaN
136.93,2.82e-17,NaN
137.06,2.87e-17,NaN
137.34,2.9e-17,NaN
137.57,2.95e-17,NaN
137.8,2.99e-17,NaN
138.0,3.03e-17,NaN
138.3,3.06e-17,NaN
138.43,3.05e-17,NaN
138.52,3.08e-17,NaN
138.57,3.1e-17,NaN
138.82,3.13e-17,NaN
139.18,3.12e-17,NaN
139.41,3.15e-17,NaN
139.55,3.11e-17,NaN
139.87,3.07e-17,NaN
140.09,3.12e-17,NaN
140.23,3.12e-17,NaN
140.31,3.09e-17,NaN
140.41,3.08e-17,NaN
140.62,3.09e-17,NaN
140.81,3.04e-17,NaN
140.92,3.03e-17,NaN
141.05,3.05e-17,NaN
141.18,3.06e-17,NaN
141.36,3.04e-17,NaN
141.71,3.05e-17,NaN
142.09,3.05e-17,NaN
142.38,3.06e-17,NaN
142.64,3.09e-17,NaN
143.02,3.07e-17,NaN
143.17,3.02e-17,NaN
143.41,2.98e-17,NaN
143.77,2.98e-17,NaN
143.99,2.93e-17,NaN
144.22,2.88e-17,NaN
144.39,2.83e-17,NaN
144.55,2.78e-17,NaN
144.7,2.75e-17,NaN
144.9,2.7e-17,NaN
145.16,2.66e-17,NaN
145.31,2.61e-17,NaN
145.39,2.57e-17,NaN
145.53,2.51e-17,NaN
145.69,2.46e-17,NaN
145.88,2.41e-17,NaN
146.06,2.36e-17,NaN
146.12,2.34e-17,NaN
146.27,2.29e-17,NaN
146.45,2.24e-17,NaN
146.69,2.19e-17,NaN
146.9,2.17e-17,NaN
146.93,2.15e-17,NaN
147.16,2.09e-17,NaN
147.35,2.04e-17,NaN
147.6,2.01e-17,NaN
147.97,2.0e-17,NaN
148.2,1.96e-17,NaN
148.54,1.94e-17,NaN
148.95,1.95e-17,NaN
149.29,1.92e-17,NaN
149.67,1.9e-17,NaN
149.94,1.86e-17,NaN
150.2,1.81e-17,NaN
150.25,1.8e-17,NaN
150.56,1.81e-17,NaN
150.71,1.81e-17,NaN
150.84,1.78e-17,NaN
151.01,1.73e-17,NaN
151.23,1.68e-17,NaN
151.58,1.66e-17,NaN
151.78,1.64e-17,NaN
151.86,1.62e-17,NaN
152.01,1.56e-17,NaN
152.31,1.52e-17,NaN
152.48,1.48e-17,NaN
152.65,1.42e-17,NaN
152.85,1.38e-17,NaN
153.08,1.37e-17,NaN
153.18,1.34e-17,NaN
153.33,1.29e-17,NaN
153.44,1.25e-17,NaN
153.47,1.2e-17,NaN
153.5,1.14e-17,NaN
153.59,1.1e-17,NaN
153.7,1.06e-17,NaN
153.87,1.02e-17,NaN
154.15,1.0e-17,NaN
154.23,1.0e-17,NaN
154.43,9.84e-18,NaN
154.53,9.79e-18,NaN
154.62,9.53e-18,NaN
154.74,9.23e-18,NaN
155.0,9.01e-18,NaN
155.33,9.08e-18,NaN
155.51,8.74e-18,NaN
155.69,8.4e-18,NaN
155.97,8.22e-18,NaN
156.3,8.36e-18,NaN
156.58,8.17e-18,NaN
156.9,8.24e-18,NaN
157.24,8.23e-18,NaN
157.52,8.43e-18,NaN
157.74,8.76e-18,NaN
158.04,8.93e-18,NaN
158.33,9.14e-18,NaN
158.66,9.12e-18,NaN
159.0,9.01e-18,NaN
159.3,8.77e-18,NaN
159.53,8.46e-18,NaN
159.75,8.12e-18,NaN
159.89,7.73e-18,NaN
160.0,7.45e-18,NaN
160.08,7.16e-18,NaN
160.23,6.77e-18,NaN
160.38,6.39e-18,NaN
160.54,6.02e-18,NaN
160.74,5.66e-18,NaN
160.88,5.27e-18,NaN
161.01,4.88e-18,NaN
161.19,4.52e-18,NaN
161.43,4.2e-18,NaN
161.63,3.85e-18,NaN
161.81,3.49e-18,NaN
162.07,3.18e-18,NaN
162.34,2.9e-18,NaN
162.61,2.61e-18,NaN
162.88,2.36e-18,NaN
163.18,2.1e-18,NaN
163.49,1.9e-18,NaN
163.78,1.63e-18,NaN
164.13,1.49e-18,NaN
164.51,1.41e-18,NaN
164.87,1.31e-18,NaN
165.27,1.3e-18,NaN
165.64,1.29e-18,NaN
166.0,1.29e-18,NaN
166.38,1.36e-18,NaN
166.89,1.57e-18,NaN
167.45,1.92e-18,NaN
168.0,2.3e-18,NaN
168.45,2.86e-18,NaN
168.92,3.42e-18,NaN
169.3,4.08e-18,NaN
169.81,4.57e-18,NaN
170.26,5.13e-18,NaN
170.7,5.76e-18,NaN
171.06,6.42e-18,NaN
171.42,7.15e-18,NaN
171.86,7.78e-18,NaN
172.15,8.55e-18,NaN
172.46,9.28e-18,NaN
172.78,1.0e-17,NaN
173.12,1.07e-17,NaN
173.44,1.15e-17,NaN
173.71,1.23e-17,NaN
174.02,1.28e-17,NaN
174.27,1.37e-17,NaN
174.53,1.45e-17,NaN
174.8,1.53e-17,NaN
175.07,1.61e-17,NaN
175.37,1.68e-17,NaN
175.75,1.75e-17,NaN
175.97,1.84e-17,NaN
176.27,1.86e-17,NaN
176.46,1.94e-17,NaN
176.63,2.03e-17,NaN
176.77,2.12e-17,NaN
176.85,2.14e-17,NaN
177.21,2.15e-17,NaN
177.51,2.23e-17,NaN
177.9,2.29e-17,NaN
178.04,2.38e-17,NaN
178.16,2.45e-17,NaN
178.41,2.43e-17,NaN
178.55,2.46e-17,NaN
178.8,2.54e-17,NaN
178.94,2.57e-17,NaN
179.08,2.51e-17,NaN
179.28,2.45e-17,NaN
179.65,2.57e-17,NaN
179.85,2.67e-17,NaN
179.99,2.65e-17,NaN
180.08,2.6e-17,NaN
180.36,2.61e-17,NaN
180.45,2.65e-17,NaN
180.65,2.56e-17,NaN
180.76,2.48e-17,NaN
180.84,2.44e-17,NaN
181.02,2.49e-17,NaN
181.11,2.58e-17,NaN
181.37,2.7e-17,NaN
181.54,2.56e-17,NaN
181.65,2.39e-17,NaN
181.65,2.39e-17,NaN
181.86,2.46e-17,NaN
182.15,2.52e-17,NaN
182.23,2.45e-17,NaN
182.26,2.37e-17,NaN
182.35,2.21e-17,NaN
182.49,2.05e-17,NaN
182.61,2.19e-17,NaN
182.64,2.32e-17,NaN
182.79,2.43e-17,NaN
182.82,2.46e-17,NaN
182.96,2.39e-17,NaN
183.05,2.31e-17,NaN
183.17,2.2e-17,NaN
183.34,2.05e-17,NaN
183.52,2.15e-17,NaN
183.64,2.28e-17,NaN
183.72,2.02e-17,NaN
183.75,1.86e-17,NaN
183.8,1.55e-17,NaN
183.84,1.7e-17,NaN
183.92,1.46e-17,NaN
183.95,1.37e-17,NaN
183.98,1.43e-17,NaN
184.1,1.51e-17,NaN
184.16,1.61e-17,NaN
184.22,1.73e-17,NaN
184.35,1.82e-17,NaN
184.47,1.84e-17,NaN
184.55,1.79e-17,NaN
184.64,1.66e-17,NaN
184.76,1.51e-17,NaN
184.82,1.37e-17,NaN
184.97,1.56e-17,NaN
185.12,1.74e-17,NaN
185.24,1.4e-17,NaN
185.24,1.57e-17,NaN
185.32,1.22e-17,NaN
185.35,1.07e-17,NaN
185.47,9.12e-18,NaN
185.56,7.61e-18,NaN
185.62,8.56e-18,NaN
185.71,9.75e-18,NaN
185.84,1.1e-17,NaN
185.93,1.27e-17,NaN
186.08,1.42e-17,NaN
186.2,1.31e-17,NaN
186.23,1.18e-17,NaN
186.29,1.04e-17,NaN
186.41,9.26e-18,NaN
186.44,8.49e-18,NaN
186.59,9.15e-18,NaN
186.72,9.95e-18,NaN
186.78,8.94e-18,NaN
186.84,8.31e-18,NaN
186.89,6.95e-18,NaN
186.92,5.14e-18,NaN
186.95,4.78e-18,NaN
187.2,3.8e-18,NaN
187.32,4.32e-18,NaN
187.38,5.58e-18,NaN
187.42,7.19e-18,NaN
187.51,8.69e-18,NaN
187.67,1.04e-17,NaN
187.79,8.31e-18,NaN
187.88,6.87e-18,NaN
187.91,5.23e-18,NaN
188.0,3.62e-18,NaN
188.28,2.15e-18,NaN
188.43,1.35e-18,NaN
188.84,1.56e-18,NaN
189.03,2.43e-18,NaN
189.12,3.27e-18,NaN
189.22,4.14e-18,NaN
189.28,5.02e-18,NaN
189.38,5.51e-18,NaN
189.56,3.62e-18,NaN
189.69,1.66e-18,NaN
189.78,6.47e-19,NaN
190.09,-1.23e-19,NaN
190.64,4.01e-19,NaN
190.86,7.5e-19,NaN
191.18,4.0e-19,NaN
