λ,σ,Δσ
154.61,1.54e-17,NaN
154.79,1.44e-17,NaN
154.87,1.35e-17,NaN
154.88,1.25e-17,NaN
154.96,1.16e-17,NaN
155.02,1.08e-17,NaN
155.06,1.01e-17,NaN
155.2,9.44e-18,NaN
155.4,8.85e-18,NaN
155.58,8.46e-18,NaN
155.62,7.88e-18,NaN
155.7,7.24e-18,NaN
155.73,6.76e-18,NaN
155.82,6.3e-18,NaN
156.03,6.21e-18,NaN
156.32,6.53e-18,NaN
156.53,6.93e-18,NaN
156.69,7.52e-18,NaN
156.73,8.05e-18,NaN
156.78,8.65e-18,NaN
156.8,9.12e-18,NaN
156.85,9.88e-18,NaN
156.85,9.96e-18,NaN
156.87,1.14e-17,NaN
156.92,1.21e-17,NaN
156.98,1.32e-17,NaN
156.99,1.42e-17,NaN
157.03,1.5e-17,NaN
157.05,1.58e-17,NaN
157.07,1.72e-17,NaN
157.08,1.76e-17,NaN
157.25,1.83e-17,NaN
157.41,1.74e-17,NaN
157.51,1.66e-17,NaN
157.57,1.55e-17,NaN
157.6,1.43e-17,NaN
157.64,1.33e-17,NaN
157.72,1.24e-17,NaN
157.8,1.16e-17,NaN
157.83,1.08e-17,NaN
157.86,1.0e-17,NaN
157.88,8.13e-18,NaN
157.89,9.4e-18,NaN
157.9,8.78e-18,NaN
157.91,6.69e-18,NaN
157.91,7.66e-18,NaN
157.91,7.6e-18,NaN
157.95,6.2e-18,NaN
157.97,5.82e-18,NaN
158.05,5.52e-18,NaN
158.11,5.24e-18,NaN
158.19,4.94e-18,NaN
158.27,4.62e-18,NaN
158.38,4.31e-18,NaN
158.48,4.05e-18,NaN
158.62,3.78e-18,NaN
158.79,3.57e-18,NaN
159.03,3.32e-18,NaN
159.28,3.17e-18,NaN
159.61,3.1e-18,NaN
159.9,3.14e-18,NaN
160.15,3.2e-18,NaN
160.47,3.17e-18,NaN
160.81,3.17e-18,NaN
161.0,3.31e-18,NaN
161.17,3.49e-18,NaN
161.38,3.67e-18,NaN
161.45,3.9e-18,NaN
161.52,4.1e-18,NaN
161.7,4.19e-18,NaN
161.94,4.3e-18,NaN
162.14,4.35e-18,NaN
162.39,4.47e-18,NaN
162.63,4.66e-18,NaN
162.79,4.82e-18,NaN
163.04,4.96e-18,NaN
163.27,5.13e-18,NaN
163.51,5.3e-18,NaN
163.78,5.45e-18,NaN
164.04,5.55e-18,NaN
164.28,5.74e-18,NaN
164.49,5.91e-18,NaN
164.62,6.25e-18,NaN
164.71,6.65e-18,NaN
164.98,6.91e-18,NaN
165.25,7.27e-18,NaN
165.47,7.62e-18,NaN
165.72,7.97e-18,NaN
166.01,8.33e-18,NaN
166.29,8.63e-18,NaN
166.62,8.84e-18,NaN
166.96,8.95e-18,NaN
167.24,9.08e-18,NaN
167.46,9.49e-18,NaN
167.76,1.0e-17,NaN
167.98,1.05e-17,NaN
168.19,1.1e-17,NaN
168.4,1.16e-17,NaN
168.53,1.23e-17,NaN
168.7,1.28e-17,NaN
168.91,1.36e-17,NaN
169.1,1.43e-17,NaN
169.4,1.43e-17,NaN
169.49,1.34e-17,NaN
169.62,1.26e-17,NaN
169.69,1.17e-17,NaN
169.77,1.1e-17,NaN
169.86,1.02e-17,NaN
170.04,9.39e-18,NaN
170.06,8.75e-18,NaN
170.19,8.13e-18,NaN
170.36,7.66e-18,NaN
170.59,7.89e-18,NaN
170.71,8.42e-18,NaN
170.8,8.96e-18,NaN
170.85,9.68e-18,NaN
170.89,1.02e-17,NaN
170.93,1.08e-17,NaN
170.99,1.15e-17,NaN
171.07,1.22e-17,NaN
171.13,1.29e-17,NaN
171.27,1.36e-17,NaN
171.46,1.42e-17,NaN
171.75,1.38e-17,NaN
171.9,1.32e-17,NaN
172.06,1.22e-17,NaN
172.15,1.14e-17,NaN
172.3,1.05e-17,NaN
172.4,9.83e-18,NaN
172.45,9.13e-18,NaN
172.6,8.53e-18,NaN
172.68,8.01e-18,NaN
172.77,7.47e-18,NaN
172.81,7.04e-18,NaN
172.92,6.56e-18,NaN
172.98,6.18e-18,NaN
173.05,5.79e-18,NaN
173.19,5.41e-18,NaN
173.26,5.01e-18,NaN
173.34,4.67e-18,NaN
173.41,4.3e-18,NaN
173.49,3.97e-18,NaN
173.6,3.66e-18,NaN
173.76,3.31e-18,NaN
173.81,3.09e-18,NaN
173.93,2.83e-18,NaN
174.04,2.63e-18,NaN
174.12,2.45e-18,NaN
174.23,2.26e-18,NaN
174.39,2.06e-18,NaN
174.56,1.89e-18,NaN
174.72,1.75e-18,NaN
174.86,1.59e-18,NaN
175.03,1.47e-18,NaN
175.21,1.36e-18,NaN
175.37,1.26e-18,NaN
175.53,1.18e-18,NaN
175.7,1.1e-18,NaN
175.95,1.03e-18,NaN
176.1,9.59e-19,NaN
176.32,8.94e-19,NaN
176.61,8.42e-19,NaN
176.85,7.89e-19,NaN
177.18,7.33e-19,NaN
177.5,6.83e-19,NaN
177.79,6.46e-19,NaN
178.04,6.13e-19,NaN
178.26,5.77e-19,NaN
178.49,5.49e-19,NaN
178.8,5.15e-19,NaN
179.03,4.85e-19,NaN
179.3,4.53e-19,NaN
179.53,4.3e-19,NaN
179.8,4.03e-19,NaN
179.99,3.82e-19,NaN
180.31,3.62e-19,NaN
180.56,3.42e-19,NaN
180.79,3.23e-19,NaN
181.03,3.06e-19,NaN
181.26,2.85e-19,NaN
181.45,2.71e-19,NaN
181.77,2.51e-19,NaN
