λ,σ,Δσ
161.18,4.55e-17,NaN
161.36,4.24e-17,NaN
161.55,4.0e-17,NaN
161.81,3.7e-17,NaN
161.98,3.5e-17,NaN
162.12,3.35e-17,NaN
162.29,3.18e-17,NaN
162.44,3.05e-17,NaN
162.59,2.91e-17,NaN
162.67,2.82e-17,NaN
162.81,2.7e-17,NaN
162.91,2.59e-17,NaN
163.03,2.47e-17,NaN
163.17,2.36e-17,NaN
163.32,2.26e-17,NaN
163.43,2.19e-17,NaN
163.58,2.09e-17,NaN
163.73,2.0e-17,NaN
163.9,1.92e-17,NaN
164.11,1.86e-17,NaN
164.37,1.88e-17,NaN
164.53,1.96e-17,NaN
164.68,2.04e-17,NaN
164.83,2.14e-17,NaN
165.03,2.2e-17,NaN
165.09,2.09e-17,NaN
165.12,1.96e-17,NaN
165.2,1.76e-17,NaN
165.28,1.59e-17,NaN
165.4,1.47e-17,NaN
165.46,1.4e-17,NaN
165.52,1.33e-17,NaN
165.61,1.27e-17,NaN
165.71,1.21e-17,NaN
165.76,1.18e-17,NaN
165.87,1.13e-17,NaN
165.92,1.1e-17,NaN
166.03,1.05e-17,NaN
166.13,1.0e-17,NaN
166.25,9.58e-18,NaN
166.41,9.16e-18,NaN
166.44,9.09e-18,NaN
166.56,9.07e-18,NaN
166.67,9.31e-18,NaN
166.8,9.76e-18,NaN
166.93,1.02e-17,NaN
167.06,1.09e-17,NaN
167.16,1.16e-17,NaN
167.27,1.23e-17,NaN
167.38,1.31e-17,NaN
167.57,1.46e-17,NaN
167.69,1.63e-17,NaN
167.84,1.85e-17,NaN
167.95,2.01e-17,NaN
168.06,1.68e-17,NaN
168.15,1.4e-17,NaN
168.23,1.21e-17,NaN
168.33,1.07e-17,NaN
168.56,9.3e-18,NaN
168.81,8.35e-18,NaN
169.02,7.65e-18,NaN
169.2,7.17e-18,NaN
169.38,6.87e-18,NaN
169.58,6.61e-18,NaN
169.83,6.42e-18,NaN
170.09,6.54e-18,NaN
170.3,6.8e-18,NaN
170.51,6.62e-18,NaN
