λ,σ,Δσ
160.0,2.65e-18,NaN
160.5,2.39e-18,NaN
161.0,2.17e-18,NaN
161.5,2.01e-18,NaN
162.0,1.82e-18,NaN
162.5,1.64e-18,NaN
163.0,1.46e-18,NaN
163.5,1.28e-18,NaN
164.0,1.11e-18,NaN
164.5,9.47e-19,NaN
165.0,8.06e-19,NaN
165.5,6.78e-19,NaN
166.0,5.77e-19,NaN
166.5,4.59e-19,NaN
167.0,3.77e-19,NaN
167.5,3.08e-19,NaN
168.0,2.5e-19,NaN
168.5,1.99e-19,NaN
169.0,1.57e-19,NaN
169.5,1.21e-19,NaN
170.0,9.22e-20,NaN
170.5,6.15e-20,NaN
171.0,4.61e-20,NaN
171.5,3.47e-20,NaN
172.0,2.66e-20,NaN
173.0,1.67e-20,NaN
174.0,1.18e-20,NaN
175.0,9.31e-21,NaN
176.0,8.01e-21,NaN
177.0,6.99e-21,NaN
178.0,6.29e-21,NaN
179.0,5.75e-21,NaN
180.0,5.47e-21,NaN
181.0,5.5e-21,NaN
182.0,5.4e-21,NaN
183.0,5.52e-21,NaN
184.0,5.31e-21,NaN
185.0,4.83e-21,NaN
186.0,4.07e-21,NaN
187.0,3.22e-21,NaN
188.0,2.23e-21,NaN
189.0,1.56e-21,NaN
190.0,1.22e-21,NaN
191.0,9.83e-22,NaN
192.0,7.38e-22,NaN
