λ,σ,Δσ
200.0,1.44e-21,NaN
200.2,1.403e-21,NaN
200.4,1.457e-21,NaN
200.6,1.277e-21,NaN
200.8,1.306e-21,NaN
201.0,1.331e-21,NaN
201.2,1.268e-21,NaN
201.4,1.232e-21,NaN
201.6,1.342e-21,NaN
201.8,1.235e-21,NaN
202.0,1.277e-21,NaN
202.2,1.178e-21,NaN
202.4,1.205e-21,NaN
202.6,1.137e-21,NaN
202.8,1.167e-21,NaN
203.0,1.082e-21,NaN
203.2,1.046e-21,NaN
203.4,1.052e-21,NaN
203.6,1.077e-21,NaN
203.8,1.035e-21,NaN
204.0,9.838e-22,NaN
204.2,1.02e-21,NaN
204.4,9.333e-22,NaN
204.6,9.254e-22,NaN
204.8,9.224e-22,NaN
205.0,1.0e-21,NaN
205.2,8.654e-22,NaN
205.4,9.376e-22,NaN
205.6,8.859e-22,NaN
205.8,8.697e-22,NaN
206.0,7.493e-22,NaN
206.2,8.269e-22,NaN
206.4,8.363e-22,NaN
206.6,8.351e-22,NaN
206.8,6.987e-22,NaN
207.0,6.259e-22,NaN
207.2,7.947e-22,NaN
207.4,7.531e-22,NaN
207.6,6.926e-22,NaN
207.8,6.56e-22,NaN
208.0,5.982e-22,NaN
208.2,7.084e-22,NaN
208.4,6.385e-22,NaN
208.6,6.351e-22,NaN
208.8,6.752e-22,NaN
209.0,6.812e-22,NaN
209.2,7.148e-22,NaN
209.4,6.715e-22,NaN
209.6,6.03e-22,NaN
209.8,6.156e-22,NaN
210.0,6.388e-22,NaN
210.2,6.068e-22,NaN
210.4,5.984e-22,NaN
210.6,5.392e-22,NaN
210.8,6.246e-22,NaN
211.0,4.732e-22,NaN
211.2,4.724e-22,NaN
211.4,5.32e-22,NaN
211.6,5.365e-22,NaN
211.8,5.785e-22,NaN
212.0,5.949e-22,NaN
212.2,4.913e-22,NaN
212.4,5.964e-22,NaN
212.6,5.51e-22,NaN
212.8,5.289e-22,NaN
213.0,5.009e-22,NaN
213.2,4.257e-22,NaN
213.4,4.607e-22,NaN
213.6,4.631e-22,NaN
213.8,4.703e-22,NaN
214.0,5.117e-22,NaN
214.2,4.963e-22,NaN
214.4,4.211e-22,NaN
214.6,3.917e-22,NaN
214.8,4.389e-22,NaN
215.0,4.7e-22,NaN
215.2,3.957e-22,NaN
215.4,3.476e-22,NaN
215.6,4.796e-22,NaN
215.8,4.502e-22,NaN
216.0,4.223e-22,NaN
