λ,σ
296.52098,2.656e-19
296.53401,1.024e-18
296.54699,7.914e-19
296.55898,7.687e-19
296.572,8.641e-19
296.58499,8.969e-19
296.59797,7.414e-19
296.60996,4.766e-19
296.62299,3.719e-19
296.63598,1.665e-18
296.64802,1.678e-18
296.66101,1.369e-18
296.67401,1.049e-18
296.687,1.049e-18
296.69901,1.144e-18
296.712,1.053e-18
296.725,1.102e-18
296.738,3.233e-18
296.75001,3.806e-18
296.76301,3.706e-18
296.77602,3.091e-18
296.78898,2.785e-18
296.801,3.006e-18
296.814,3.191e-18
296.82701,3.021e-18
296.83998,5.073e-18
296.852,5.04e-18
296.86498,5.06e-18
296.87799,4.936e-18
296.891,4.705e-18
296.90303,4.361e-18
296.91598,3.828e-18
296.92899,3.257e-18
296.94101,5.461e-18
296.95399,5.329e-18
296.96702,5.017e-18
296.98,4.407e-18
296.99303,3.825e-18
297.00502,3.533e-18
297.01801,3.358e-18
297.031,5.264e-18
297.04399,4.74e-18
297.05599,4.326e-18
297.06898,4.137e-18
297.08202,3.969e-18
297.09501,3.623e-18
297.10698,3.171e-18
297.11997,2.813e-18
297.13298,4.751e-18
297.14598,4.594e-18
297.15798,4.345e-18
297.17099,3.927e-18
297.18399,3.366e-18
297.197,2.847e-18
297.20998,2.582e-18
297.22198,2.493e-18
297.235,4.36e-18
297.24797,3.739e-18
297.26098,3.121e-18
297.273,2.891e-18
297.28601,2.896e-18
297.29903,2.671e-18
297.31201,2.154e-18
297.32502,1.771e-18
297.33701,3.951e-18
297.35,4.025e-18
297.36301,3.739e-18
297.376,3.155e-18
297.388,2.71e-18
297.40102,2.578e-18
297.41401,2.48e-18
297.427,2.155e-18
297.43999,3.869e-18
297.45299,3.571e-18
297.46499,3.368e-18
297.47801,3.132e-18
297.49101,2.929e-18
297.50401,2.782e-18
297.51702,2.388e-18
297.52897,1.595e-18
297.54198,2.955e-18
297.55498,2.985e-18
297.56798,3.389e-18
297.58099,3.227e-18
297.593,2.296e-18
297.606,1.425e-18
297.61898,1.234e-18
297.63199,3.299e-18
297.645,3.258e-18
297.65701,2.986e-18
297.67002,2.707e-18
297.68301,2.417e-18
297.69602,2.127e-18
297.709,2.015e-18
297.72102,2.032e-18
297.734,3.588e-18
297.74702,3.007e-18
297.76001,2.474e-18
297.77299,2.309e-18
297.78602,2.31e-18
297.798,2.172e-18
297.81099,1.92e-18
297.82399,1.669e-18
297.83702,3.09e-18
297.85001,2.599e-18
297.86301,2.178e-18
297.875,2.034e-18
297.888,2.019e-18
297.901,1.812e-18
297.914,1.388e-18
297.92699,1.038e-18
297.94,2.603e-18
297.952,2.59e-18
297.96501,2.361e-18
297.97801,2.001e-18
297.99099,1.841e-18
298.00399,1.895e-18
298.017,1.752e-18
298.02901,1.199e-18
298.04198,2.107e-18
298.055,1.869e-18
298.068,1.856e-18
298.08098,1.706e-18
298.094,1.417e-18
298.10698,1.182e-18
298.119,9.347e-19
298.13199,2.109e-18
298.145,1.837e-18
298.15799,1.86e-18
298.17097,1.88e-18
298.184,1.551e-18
298.19699,1.101e-18
298.20901,9.494e-19
298.22197,9.339e-19
298.235,2.136e-18
298.24799,1.57e-18
298.26098,1.295e-18
298.27398,1.364e-18
298.28698,1.305e-18
298.29901,9.477e-19
298.31201,6.392e-19
298.32501,5.515e-19
