λ,σ,Δσ
384.6209,6.143e-19,NaN
384.628,6.259e-19,NaN
384.6351,6.354e-19,NaN
384.6423,6.43e-19,NaN
384.6494,6.447e-19,NaN
384.6565,6.38e-19,NaN
384.6637,6.275e-19,NaN
384.6708,6.122e-19,NaN
384.6779,5.943e-19,NaN
384.6851,5.813e-19,NaN
384.6922,5.716e-19,NaN
384.6993,5.653e-19,NaN
384.7065,5.654e-19,NaN
384.7136,5.724e-19,NaN
384.7207,5.813e-19,NaN
384.7279,5.947e-19,NaN
384.735,6.129e-19,NaN
384.7421,6.265e-19,NaN
384.7493,6.387e-19,NaN
384.7564,6.488e-19,NaN
384.7636,6.514e-19,NaN
384.7707,6.472e-19,NaN
384.7778,6.335e-19,NaN
384.785,6.1e-19,NaN
384.7921,5.777e-19,NaN
384.7993,5.376e-19,NaN
384.8064,4.918e-19,NaN
384.8135,4.461e-19,NaN
384.8207,4.06e-19,NaN
384.8278,3.721e-19,NaN
384.8349,3.475e-19,NaN
384.8421,3.33e-19,NaN
384.8492,3.296e-19,NaN
384.8564,3.372e-19,NaN
384.8635,3.505e-19,NaN
384.8706,3.694e-19,NaN
384.8778,3.93e-19,NaN
384.8849,4.185e-19,NaN
384.8921,4.458e-19,NaN
384.8992,4.744e-19,NaN
384.9063,5.048e-19,NaN
384.9135,5.37e-19,NaN
384.9206,5.685e-19,NaN
384.9278,5.997e-19,NaN
384.9349,6.274e-19,NaN
384.9421,6.493e-19,NaN
384.9492,6.695e-19,NaN
384.9564,6.846e-19,NaN
384.9635,6.935e-19,NaN
384.9707,7.0e-19,NaN
384.9778,7.013e-19,NaN
384.985,7.006e-19,NaN
384.9921,7.0e-19,NaN
384.9992,6.976e-19,NaN
385.0064,6.955e-19,NaN
385.0135,6.926e-19,NaN
385.0207,6.891e-19,NaN
385.0278,6.839e-19,NaN
385.035,6.764e-19,NaN
385.0421,6.684e-19,NaN
385.0493,6.609e-19,NaN
385.0564,6.543e-19,NaN
385.0636,6.473e-19,NaN
385.0707,6.423e-19,NaN
385.0779,6.385e-19,NaN
385.085,6.367e-19,NaN
385.0921,6.354e-19,NaN
385.0993,6.293e-19,NaN
385.1065,6.195e-19,NaN
385.1136,6.056e-19,NaN
385.1208,5.871e-19,NaN
