λ,σ,Δσ
180.0,1.188e-17,NaN
185.0,9.085e-18,NaN
190.0,6.747e-18,NaN
195.0,4.754e-18,NaN
200.0,3.22e-18,NaN
205.0,2.32e-18,NaN
210.0,1.69e-18,NaN
215.0,1.32e-18,NaN
220.0,1.02e-18,NaN
225.0,7.97e-19,NaN
230.0,6.1e-19,NaN
235.0,4.56e-19,NaN
240.0,3.46e-19,NaN
245.0,2.47e-19,NaN
250.0,1.75e-19,NaN
255.0,1.2e-19,NaN
260.0,7.74e-20,NaN
265.0,5.37e-20,NaN
270.0,3.77e-20,NaN
275.0,2.57e-20,NaN
280.0,1.7e-20,NaN
285.0,1.2e-20,NaN
290.0,7.05e-21,NaN
295.0,5.21e-21,NaN
300.0,3.68e-21,NaN
305.0,2.03e-21,NaN
310.0,1.04e-21,NaN
