λ,σ
303.25,1.17e-19
303.35,1.49e-19
303.4,2.03e-19
303.43,2.92e-19
303.44,4.31e-19
303.46,6.12e-19
303.47,8.33e-19
303.48,1.09e-18
303.49,1.23e-18
303.5,1.33e-18
303.51,1.38e-18
303.53,1.44e-18
303.55,1.49e-18
303.57,1.57e-18
303.58,1.62e-18
303.59,1.64e-18
303.6,1.62e-18
303.62,1.62e-18
303.63,1.58e-18
303.64,1.55e-18
303.66,1.54e-18
303.67,1.5e-18
303.68,1.45e-18
303.69,1.45e-18
303.71,1.4e-18
303.73,1.34e-18
303.74,1.34e-18
303.75,1.28e-18
303.77,1.22e-18
303.79,1.26e-18
303.8,1.19e-18
303.81,1.1e-18
303.84,1.15e-18
303.85,1.08e-18
303.87,9.92e-19
303.89,1.04e-18
303.9,9.65e-19
303.92,8.87e-19
303.95,9.25e-19
303.96,8.51e-19
303.98,7.76e-19
304.01,8.14e-19
304.02,7.48e-19
304.04,6.75e-19
304.07,7.2e-19
304.09,6.51e-19
304.11,5.73e-19
304.14,6.45e-19
304.16,5.68e-19
304.18,4.8e-19
304.2,5.31e-19
304.21,5.76e-19
304.23,4.89e-19
304.26,4.04e-19
304.27,4.64e-19
304.29,5.11e-19
304.31,4.15e-19
304.34,3.35e-19
304.36,3.91e-19
304.37,4.38e-19
304.39,3.6e-19
304.42,2.8e-19
304.44,3.3e-19
304.46,3.77e-19
304.47,3.0e-19
304.5,2.34e-19
304.52,2.75e-19
304.55,3.17e-19
304.57,2.5e-19
304.59,1.92e-19
304.61,2.36e-19
304.63,2.67e-19
304.66,2.11e-19
304.68,1.56e-19
304.7,1.88e-19
304.73,2.18e-19
304.75,1.73e-19
304.77,1.31e-19
304.8,1.58e-19
304.82,1.76e-19
304.85,1.41e-19
304.87,1.09e-19
304.9,1.28e-19
304.92,1.41e-19
304.95,1.08e-19
304.98,8.8e-20
305.01,1.01e-19
305.03,1.11e-19
305.06,8.91e-20
305.08,6.81e-20
305.11,7.86e-20
305.14,8.9e-20
305.17,6.8e-20
305.2,5.76e-20
305.26,7.49e-20
305.31,4.93e-20
305.38,6.09e-20
305.43,4.22e-20
305.46,3.87e-20
305.5,4.8e-20
305.56,3.17e-20
305.63,3.62e-20
305.69,2.46e-20
305.76,3.15e-20
305.81,2.1e-20
305.91,3.25e-20
