λ,σ,Δσ
307.22,2.14e-19,NaN
307.31,1.92e-19,NaN
307.37,1.74e-19,NaN
307.43,1.52e-19,NaN
307.46,1.7e-19,NaN
307.49,1.39e-19,NaN
307.51,1.58e-19,NaN
307.54,1.31e-19,NaN
307.58,1.56e-19,NaN
307.6,1.15e-19,NaN
307.64,1.43e-19,NaN
307.67,1.1e-19,NaN
307.7,1.34e-19,NaN
307.73,1.08e-19,NaN
307.76,1.3e-19,NaN
307.8,1.09e-19,NaN
307.86,1.54e-19,NaN
307.88,2.62e-19,NaN
307.9,3.92e-19,NaN
307.91,5.03e-19,NaN
307.95,5.28e-19,NaN
307.96,5.67e-19,NaN
308.0,5.93e-19,NaN
308.02,5.58e-19,NaN
308.06,5.37e-19,NaN
308.11,5.14e-19,NaN
308.14,4.77e-19,NaN
308.17,4.81e-19,NaN
308.21,4.4e-19,NaN
308.23,4.14e-19,NaN
308.29,4.21e-19,NaN
308.31,3.82e-19,NaN
308.35,3.4e-19,NaN
308.39,3.73e-19,NaN
308.4,3.15e-19,NaN
308.45,3.31e-19,NaN
308.47,2.83e-19,NaN
308.51,2.99e-19,NaN
308.54,2.43e-19,NaN
308.57,2.73e-19,NaN
308.62,2.3e-19,NaN
308.7,2.21e-19,NaN
308.74,1.78e-19,NaN
308.81,2.02e-19,NaN
308.83,1.6e-19,NaN
308.89,1.67e-19,NaN
308.9,1.34e-19,NaN
308.93,1.55e-19,NaN
308.98,1.34e-19,NaN
309.01,1.22e-19,NaN
309.07,1.34e-19,NaN
309.09,1.03e-19,NaN
309.16,1.27e-19,NaN
309.18,9.51e-20,NaN
309.22,7.75e-20,NaN
309.25,9.51e-20,NaN
309.33,6.81e-20,NaN
309.35,8.45e-20,NaN
309.42,6.69e-20,NaN
309.46,8.09e-20,NaN
309.5,6.68e-20,NaN
309.57,9.72e-20,NaN
309.63,6.68e-20,NaN
309.69,7.73e-20,NaN
309.75,5.97e-20,NaN
309.8,6.78e-20,NaN
309.87,4.56e-20,NaN
309.92,5.26e-20,NaN
310.0,4.2e-20,NaN
310.06,4.66e-20,NaN
310.1,3.14e-20,NaN
310.17,3.84e-20,NaN
310.23,2.43e-20,NaN
310.3,3.13e-20,NaN
310.35,2.07e-20,NaN
310.44,2.42e-20,NaN
310.52,1.71e-20,NaN
310.6,2.65e-20,NaN
310.63,2.41e-20,NaN
310.69,3.93e-20,NaN
310.73,4.75e-20,NaN
310.81,4.16e-20,NaN
310.89,4.15e-20,NaN
310.93,3.1e-20,NaN
311.03,3.56e-20,NaN
311.11,2.86e-20,NaN
311.27,2.14e-20,NaN
311.33,2.84e-20,NaN
311.41,3.31e-20,NaN
311.43,6.59e-20,NaN
311.46,9.98e-20,NaN
311.49,1.21e-19,NaN
311.51,1.35e-19,NaN
311.62,1.24e-19,NaN
311.68,1.22e-19,NaN
311.75,1.03e-19,NaN
311.92,8.44e-20,NaN
312.0,7.97e-20,NaN
