λ,σ
200.97,3.295e-18
201.39,3.344e-18
201.82,3.393e-18
202.25,3.393e-18
202.67,3.442e-18
203.1,3.442e-18
203.52,3.491e-18
203.95,3.54e-18
204.8,3.54e-18
205.22,3.589e-18
205.65,3.589e-18
206.08,3.638e-18
206.5,3.638e-18
206.93,3.687e-18
207.77,3.687e-18
208.2,3.686e-18
208.63,3.735e-18
209.05,3.735e-18
209.48,3.784e-18
210.33,3.784e-18
211.18,3.833e-18
211.6,3.833e-18
212.88,3.882e-18
213.3,3.882e-18
214.15,3.931e-18
215.0,3.98e-18
215.85,3.979e-18
217.13,3.979e-18
217.97,3.979e-18
218.4,3.979e-18
219.25,4.028e-18
220.1,3.978e-18
220.95,4.027e-18
221.79,3.978e-18
222.64,3.978e-18
223.07,3.977e-18
224.77,3.977e-18
225.19,3.928e-18
226.04,3.927e-18
226.89,3.927e-18
227.31,3.927e-18
228.16,3.927e-18
229.43,3.926e-18
230.28,3.877e-18
231.13,3.926e-18
231.98,3.926e-18
232.83,3.926e-18
233.26,3.925e-18
233.68,3.975e-18
234.11,3.974e-18
235.38,3.974e-18
235.81,4.023e-18
237.08,4.072e-18
237.51,4.072e-18
237.93,4.121e-18
238.36,4.121e-18
239.21,4.121e-18
240.06,4.17e-18
240.91,4.218e-18
241.33,4.268e-18
242.18,4.316e-18
243.04,4.415e-18
243.46,4.464e-18
243.89,4.513e-18
244.74,4.562e-18
245.17,4.611e-18
245.59,4.611e-18
246.87,4.709e-18
247.29,4.758e-18
248.15,4.807e-18
248.57,4.856e-18
249.0,4.954e-18
249.85,5.052e-18
250.7,5.101e-18
251.13,5.199e-18
251.98,5.248e-18
252.41,5.297e-18
253.26,5.395e-18
253.69,5.445e-18
254.12,5.543e-18
254.97,5.641e-18
255.82,5.739e-18
256.25,5.788e-18
257.53,5.935e-18
258.38,6.033e-18
259.23,6.132e-18
260.08,6.23e-18
260.51,6.279e-18
261.36,6.328e-18
262.21,6.377e-18
263.06,6.426e-18
263.91,6.475e-18
264.76,6.523e-18
265.19,6.523e-18
266.04,6.523e-18
267.31,6.523e-18
267.74,6.523e-18
268.58,6.473e-18
269.01,6.522e-18
269.44,6.571e-18
269.86,6.473e-18
270.28,6.424e-18
270.71,6.473e-18
271.13,6.423e-18
271.55,6.374e-18
271.98,6.374e-18
272.7,6.325e-18
272.4,6.275e-18
272.82,6.226e-18
273.27,6.177e-18
273.67,6.128e-18
274.51,6.029e-18
274.93,5.931e-18
275.35,5.881e-18
275.65,5.832e-18
276.2,5.783e-18
276.62,5.684e-18
277.47,5.586e-18
277.69,5.536e-18
277.89,5.487e-18
278.31,5.389e-18
278.73,5.339e-18
278.93,5.241e-18
279.15,5.192e-18
279.57,5.192e-18
280.0,5.093e-18
280.42,5.044e-18
280.84,4.994e-18
281.06,4.798e-18
281.26,4.748e-18
281.68,4.65e-18
282.1,4.551e-18
282.52,4.551e-18
282.94,4.453e-18
283.37,4.404e-18
283.79,4.305e-18
284.18,4.207e-18
284.21,4.108e-18
284.63,4.01e-18
284.62,3.911e-18
285.05,3.862e-18
285.47,3.813e-18
285.47,3.764e-18
285.89,3.665e-18
286.29,3.616e-18
286.73,3.468e-18
287.15,3.37e-18
287.57,3.32e-18
288.42,3.369e-18
288.84,3.271e-18
289.27,3.222e-18
289.69,3.123e-18
290.11,3.074e-18
290.53,2.877e-18
290.95,2.828e-18
291.37,2.729e-18
291.79,2.631e-18
292.64,2.532e-18
293.48,2.434e-18
293.91,2.335e-18
294.75,2.236e-18
295.17,2.138e-18
296.02,2.089e-18
296.44,1.99e-18
297.29,1.941e-18
298.13,1.793e-18
298.98,1.694e-18
299.4,1.645e-18
300.25,1.645e-18
300.67,1.546e-18
301.09,1.497e-18
301.94,1.398e-18
302.78,1.3e-18
304.05,1.201e-18
304.9,1.103e-18
305.32,1.053e-18
306.17,1.004e-18
306.59,9.545e-19
307.44,9.051e-19
308.71,8.064e-19
309.13,8.063e-19
310.4,7.076e-19
312.1,6.579e-19
313.37,6.084e-19
314.22,5.59e-19
315.07,5.587e-19
317.19,4.598e-19
318.46,4.595e-19
319.31,4.1e-19
319.73,4.099e-19
320.58,3.605e-19
321.43,3.111e-19
322.7,3.107e-19
323.97,2.612e-19
324.82,2.118e-19
326.52,2.113e-19
328.21,1.617e-19
329.06,1.615e-19
330.33,1.119e-19
332.03,1.115e-19
334.15,1.109e-19
335.0,6.148e-20
337.12,6.09e-20
338.4,6.055e-20
339.25,6.032e-20
339.67,6.02e-20
341.79,5.962e-20
343.07,1.009e-20
343.92,9.859e-21
345.19,9.511e-21
346.46,9.163e-21
