λ,σ
147.4,1.33e-18
147.53,1.42e-18
147.66,1.51e-18
147.79,1.59e-18
147.9,1.73e-18
148.01,1.9e-18
148.11,2.11e-18
148.17,2.35e-18
148.19,2.48e-18
148.23,2.72e-18
148.26,3.07e-18
148.32,3.3e-18
148.36,3.16e-18
148.42,2.98e-18
148.47,2.73e-18
148.53,2.49e-18
148.65,2.45e-18
148.77,2.56e-18
148.89,2.69e-18
149.0,2.86e-18
149.09,3.07e-18
149.12,3.18e-18
149.14,3.47e-18
149.16,3.8e-18
149.22,4.28e-18
149.23,4.84e-18
149.28,5.15e-18
149.35,5.0e-18
149.41,4.78e-18
149.49,4.55e-18
149.55,4.31e-18
149.63,4.09e-18
149.7,3.86e-18
149.78,3.64e-18
149.89,3.74e-18
149.95,3.98e-18
149.99,4.47e-18
150.04,4.93e-18
150.05,5.31e-18
150.08,5.78e-18
150.11,6.26e-18
150.18,6.73e-18
150.26,6.23e-18
150.35,5.8e-18
150.39,5.46e-18
150.47,5.08e-18
150.53,4.7e-18
150.61,4.3e-18
150.68,4.03e-18
150.8,3.93e-18
150.94,3.97e-18
151.04,4.18e-18
151.1,4.82e-18
151.1,4.8e-18
151.12,5.11e-18
151.14,6.57e-18
151.14,5.79e-18
151.14,6.08e-18
151.17,7.2e-18
151.18,7.83e-18
151.21,8.47e-18
151.25,9.04e-18
151.3,8.14e-18
151.33,7.56e-18
151.36,7.0e-18
151.38,6.45e-18
151.42,5.92e-18
151.44,5.42e-18
151.46,5.04e-18
151.53,4.72e-18
151.61,4.4e-18
151.68,4.07e-18
151.75,3.8e-18
151.86,3.6e-18
151.99,3.63e-18
152.04,3.88e-18
152.1,4.22e-18
152.11,4.33e-18
152.11,4.97e-18
152.13,5.31e-18
152.16,5.95e-18
152.18,6.5e-18
152.19,7.1e-18
152.21,7.76e-18
152.23,8.48e-18
152.24,8.91e-18
152.29,9.55e-18
152.34,9.02e-18
152.37,8.25e-18
152.41,7.53e-18
152.44,6.86e-18
152.47,6.35e-18
152.5,5.74e-18
152.53,5.1e-18
152.57,4.51e-18
152.67,4.17e-18
152.81,3.92e-18
152.82,3.87e-18
152.91,3.66e-18
153.03,3.54e-18
153.15,3.69e-18
153.23,3.91e-18
153.28,4.38e-18
153.29,4.31e-18
153.31,4.75e-18
153.35,5.27e-18
153.36,5.84e-18
153.38,6.33e-18
153.41,7.08e-18
153.44,7.81e-18
153.44,7.82e-18
153.45,8.36e-18
153.49,9.35e-18
153.49,1.03e-17
153.54,1.13e-17
153.57,1.02e-17
153.58,8.9e-18
153.58,8.71e-18
153.6,8.04e-18
153.61,7.42e-18
153.62,6.69e-18
153.63,6.11e-18
153.64,5.61e-18
153.67,5.1e-18
153.75,4.87e-18
