λ,σ
211.4,3.39e-20
213.7,3.06e-20
216.5,2.73e-20
218.1,2.6e-20
221.0,2.21e-20
223.6,1.95e-20
225.3,1.76e-20
229.5,1.3e-20
234.5,1.14e-20
237.8,7.81e-21
239.9,6.51e-21
244.7,5.01e-21
248.2,3.71e-21
253.7,2.67e-21
257.6,2.08e-21
265.5,1.48e-21
270.0,1.35e-21
275.9,1.17e-21
280.6,1.17e-21
289.3,1.24e-21
292.5,1.22e-21
296.7,1.22e-21
302.7,1.2e-21
313.1,1.13e-21
334.0,8.66e-22
350.0,7.16e-22
365.0,6.38e-22
378.0,5.47e-22
380.0,4.36e-22
387.0,3.32e-22
395.0,2.34e-22
399.0,2.02e-22
404.0,1.95e-22
421.0,2.28e-22
428.0,2.08e-22
435.8,1.76e-22
445.0,1.69e-22
458.0,1.5e-22
471.5,1.17e-22
491.6,9.11e-23
513.5,5.21e-23
546.0,5.21e-23
