λ,σ
355,1.36e-19
360,1.29e-19
365,1.2e-19
370,1.1e-19
375,9.95e-20
380,8.86e-20
385,7.82e-20
390,6.88e-20
395,5.97e-20
400,5.13e-20
405,4.4e-20
410,3.83e-20
415,3.38e-20
420,2.89e-20
425,2.45e-20
430,2.21e-20
435,2.2e-20
440,2.2e-20
445,2.07e-20
450,1.87e-20
455,1.79e-20
460,1.95e-20
465,2.25e-20
470,2.5e-20
475,2.61e-20
480,2.53e-20
485,2.33e-20
490,2.07e-20
495,1.78e-20
500,1.5e-20
505,1.24e-20
510,1.01e-20
515,7.88e-21
520,6.25e-21
525,4.88e-21
530,3.89e-21
535,3.27e-21
540,2.98e-21
545,2.49e-21
550,2.57e-21
555,1.99e-21
560,1.52e-21
565,1.4e-21
570,1.09e-21
575,9.96e-22
580,1.2e-21
585,1.74e-21
590,2.12e-21
595,2.39e-21
600,3.19e-21
605,3.25e-21
610,2.67e-21
615,2.62e-21
620,2.31e-21
625,1.67e-21
630,1.18e-21
635,9.84e-22
640,8.04e-22
645,5.87e-22
650,4.52e-22
 ,
