λ,σ
198,2.881e-18
200,2.775e-18
202,2.741e-18
204,2.789e-18
206,2.887e-18
208,3.026e-18
210,3.185e-18
212,3.351e-18
214,3.461e-18
216,3.526e-18
218,3.482e-18
220,3.381e-18
222,3.184e-18
224,2.934e-18
226,2.644e-18
228,2.338e-18
230,2.054e-18
232,1.785e-18
234,1.54e-18
236,1.337e-18
238,1.157e-18
240,1.008e-18
242,8.792e-19
244,7.738e-19
246,6.797e-19
248,5.899e-19
250,5.271e-19
252,4.703e-19
254,4.225e-19
256,3.808e-19
258,3.44e-19
260,3.115e-19
262,2.81e-19
264,2.545e-19
266,2.3e-19
268,2.066e-19
270,1.861e-19
272,1.674e-19
274,1.497e-19
276,1.339e-19
278,1.192e-19
280,1.063e-19
282,9.345e-20
284,8.293e-20
286,7.296e-20
288,6.371e-20
290,5.619e-20
292,4.797e-20
294,4.051e-20
296,3.523e-20
298,3.051e-20
300,2.655e-20
302,2.306e-20
304,1.996e-20
306,1.733e-20
308,1.506e-20
310,1.307e-20
312,1.135e-20
314,9.822e-21
316,8.558e-21
318,7.526e-21
320,6.569e-21
322,5.753e-21
324,5.078e-21
326,4.527e-21
328,4.057e-21
330,3.657e-21
332,3.309e-21
334,3.026e-21
336,2.8e-21
338,2.622e-21
340,2.453e-21
342,2.314e-21
344,2.19e-21
346,2.114e-21
348,2.064e-21
350,1.967e-21
352,1.892e-21
354,1.856e-21
356,1.808e-21
358,1.803e-21
360,1.788e-21
362,1.71e-21
364,1.666e-21
366,1.596e-21
368,1.524e-21
370,1.468e-21
372,1.401e-21
374,1.343e-21
376,1.292e-21
378,1.213e-21
380,1.141e-21
382,1.087e-21
384,1.021e-21
386,9.716e-22
388,9.124e-22
390,8.524e-22
392,7.93e-22
394,7.242e-22
396,6.815e-22
398,6.486e-22
400,5.783e-22
402,5.389e-22
404,5.06e-22
406,4.517e-22
408,4.175e-22
410,3.792e-22
412,3.465e-22
414,3.074e-22
416,2.877e-22
418,2.507e-22
420,2.445e-22
422,2.093e-22
424,1.817e-22
426,1.641e-22
428,1.5e-22
430,1.346e-22
432,1.329e-22
