λ,σ,uncertainty
240,6.5e-18,1.9e-18
245,6.2e-18,2.0e-18
250,5.8e-18,2.0e-18
255,5.4e-18,1.9e-18
260,4.9e-18,1.8e-18
265,4.3e-18,1.7e-18
270,3.8e-18,1.6e-18
275,3.3e-18,1.4e-18
280,2.9e-18,1.3e-18
285,2.5e-18,1.2e-18
290,2.2e-18,1.0e-18
295,1.9e-18,9.0e-19
300,1.7e-18,9.0e-19
305,1.5e-18,8.0e-19
310,1.3e-18,7.0e-19
315,1.2e-18,7.0e-19
320,1.1e-18,6.0e-19
325,9.0e-19,6.0e-19
330,9.0e-19,5.0e-19
335,8.0e-19,5.0e-19
340,7.0e-19,4.0e-19
345,6.0e-19,4.0e-19
350,5.0e-19,3.0e-19
355,4.0e-19,3.0e-19
360,3.0e-19,2.0e-19
365,2.0e-19,1.0e-19
370,1.0e-19,1.0e-19
