λ,σ
172,1.1732e-17
174,9.696e-18
176,8.72e-18
178,8.576e-18
180,8.313e-18
182,7.703e-18
184,6.833e-18
186,5.704e-18
188,4.708e-18
190,3.991e-18
192,3.602e-18
194,3.513e-18
196,3.661e-18
198,3.936e-18
200,4.164e-18
202,4.336e-18
204,4.406e-18
206,4.45e-18
208,4.514e-18
210,4.685e-18
212,4.934e-18
214,5.242e-18
216,5.535e-18
218,5.739e-18
220,5.826e-18
222,5.78e-18
224,5.578e-18
226,5.272e-18
228,4.868e-18
230,4.412e-18
232,3.974e-18
234,3.618e-18
236,3.239e-18
238,2.947e-18
240,2.728e-18
242,2.533e-18
244,2.337e-18
246,2.144e-18
248,1.939e-18
250,1.741e-18
252,1.577e-18
254,1.361e-18
256,1.164e-18
258,9.86e-19
260,8.28e-19
262,6.89e-19
264,5.69e-19
266,4.67e-19
268,3.8e-19
270,3.08e-19
272,2.48e-19
274,1.98e-19
276,1.58e-19
278,1.25e-19
280,9.88e-20
282,7.77e-20
284,6.1e-20
286,4.77e-20
288,3.72e-20
290,2.9e-20
292,2.17e-20
294,1.67e-20
296,1.27e-20
298,9.6e-21
300,7.18e-21
302,5.37e-21
304,3.99e-21
306,2.96e-21
308,2.18e-21
310,1.59e-21
