λ,σ
194.49,6.6e-19
197.16,7.09e-19
198.87,6.17e-19
200.1,9.03e-19
202.0,7.27e-19
202.28,8.51e-19
205.31,7.45e-19
211.07,5.41e-19
214.68,4.54e-19
217.76,3.58e-19
220.97,2.56e-19
222.58,2.5e-19
227.51,1.64e-19
234.06,7.69e-20
235.25,5.71e-20
236.58,6.62e-20
237.88,5.25e-20
240.68,3.92e-20
242.15,3.1e-20
244.07,2.03e-20
247.38,1.19e-20
249.27,8.92e-21
251.05,6.2e-21
252.17,6.85e-21
252.55,4.37e-21
255.77,4.9e-21
258.5,2.82e-21
261.29,1.7e-21
264.28,1.05e-21
267.93,4.42e-22
268.01,4.36e-22
271.88,3.65e-22
273.44,2.76e-22
273.6,2.77e-22
274.61,2.15e-22
