λ,σ
50.074,7.668e-17
50.15,7.75e-17
50.224,7.406e-17
50.299,7.509e-17
50.374,7.827e-17
50.449,7.819e-17
50.524,7.941e-17
50.599,8.189e-17
50.674,8.229e-17
50.749,8.162e-17
50.824,8.336e-17
50.899,8.554e-17
50.974,8.714e-17
51.049,8.766e-17
51.124,8.698e-17
51.199,8.57e-17
51.274,8.895e-17
51.349,9.137e-17
51.424,9.126e-17
51.499,9.078e-17
51.574,9.253e-17
51.649,9.209e-17
51.724,9.312e-17
51.799,9.227e-17
51.874,9.36e-17
51.949,9.59e-17
52.024,9.638e-17
52.099,9.77e-17
52.174,9.918e-17
52.249,9.875e-17
52.324,1.006e-16
52.399,1.015e-16
52.474,9.953e-17
52.549,1.008e-16
52.624,1.014e-16
52.699,1.009e-16
52.774,1.041e-16
52.849,1.02e-16
52.924,1.039e-16
52.999,1.034e-16
53.074,1.064e-16
53.149,1.056e-16
53.224,1.046e-16
53.299,1.06e-16
53.374,1.062e-16
53.449,1.073e-16
53.524,1.082e-16
53.599,1.098e-16
53.674,1.086e-16
53.749,1.114e-16
53.824,1.11e-16
53.899,1.109e-16
53.974,1.097e-16
54.049,1.134e-16
54.124,1.106e-16
54.199,1.122e-16
54.274,1.129e-16
54.349,1.13e-16
54.424,1.148e-16
54.499,1.157e-16
54.574,1.157e-16
54.649,1.164e-16
54.724,1.167e-16
54.799,1.184e-16
54.874,1.168e-16
54.949,1.176e-16
55.024,1.184e-16
55.099,1.177e-16
55.174,1.173e-16
55.249,1.188e-16
55.324,1.197e-16
55.399,1.199e-16
55.474,1.196e-16
55.549,1.213e-16
55.624,1.211e-16
55.699,1.22e-16
55.774,1.213e-16
55.849,1.237e-16
55.924,1.224e-16
55.999,1.236e-16
56.074,1.241e-16
56.149,1.236e-16
56.224,1.238e-16
56.299,1.239e-16
56.374,1.25e-16
56.449,1.257e-16
56.524,1.245e-16
56.599,1.243e-16
56.674,1.272e-16
56.749,1.255e-16
56.824,1.266e-16
56.899,1.261e-16
56.974,1.26e-16
57.049,1.281e-16
57.124,1.274e-16
57.199,1.275e-16
57.274,1.272e-16
57.349,1.281e-16
57.424,1.269e-16
57.499,1.278e-16
57.574,1.282e-16
57.649,1.284e-16
57.724,1.28e-16
57.799,1.278e-16
57.874,1.286e-16
57.949,1.298e-16
58.024,1.286e-16
58.099,1.289e-16
58.174,1.302e-16
58.249,1.296e-16
58.324,1.301e-16
58.399,1.297e-16
58.474,1.293e-16
58.549,1.298e-16
58.624,1.301e-16
58.699,1.297e-16
58.774,1.306e-16
58.849,1.307e-16
58.924,1.306e-16
58.999,1.311e-16
59.074,1.304e-16
59.149,1.299e-16
