λ,σ
107.02,6.02e-17
107.21,6.03e-17
107.39,6.06e-17
107.58,6.08e-17
107.78,6.08e-17
107.96,6.08e-17
108.15,6.05e-17
108.34,6.04e-17
108.53,6.01e-17
108.71,5.98e-17
108.91,5.94e-17
109.08,5.97e-17
109.28,5.97e-17
109.47,5.91e-17
109.66,5.84e-17
109.84,5.92e-17
109.99,5.77e-17
110.13,5.56e-17
110.25,5.76e-17
110.36,5.72e-17
110.51,5.78e-17
110.6,5.93e-17
110.67,5.62e-17
110.79,5.41e-17
110.86,5.22e-17
110.96,5.74e-17
111.01,6.05e-17
111.12,5.55e-17
111.18,5.13e-17
111.22,4.96e-17
111.27,5.15e-17
111.29,5.48e-17
111.32,5.66e-17
111.36,5.91e-17
111.4,5.71e-17
111.45,5.43e-17
111.5,5.32e-17
111.54,5.51e-17
111.59,5.71e-17
111.62,5.8e-17
111.71,5.59e-17
111.83,5.48e-17
111.86,5.32e-17
111.89,4.83e-17
111.92,4.37e-17
112.01,4.09e-17
112.07,4.37e-17
112.11,4.73e-17
112.16,5.14e-17
112.21,5.46e-17
112.26,5.57e-17
112.32,5.44e-17
112.38,5.2e-17
112.4,5.3e-17
112.45,5.6e-17
112.5,6.09e-17
112.55,5.52e-17
112.58,5.02e-17
112.64,4.7e-17
112.75,4.51e-17
112.8,4.9e-17
112.88,5.17e-17
112.88,5.17e-17
112.97,4.69e-17
113.05,5.05e-17
113.09,5.3e-17
113.12,5.47e-17
113.18,5.28e-17
113.26,5.06e-17
113.29,5.11e-17
113.35,5.27e-17
113.4,5.12e-17
113.49,4.84e-17
113.55,4.69e-17
113.64,5.03e-17
113.68,4.56e-17
113.73,3.96e-17
113.8,3.39e-17
113.92,3.47e-17
114.03,3.88e-17
114.12,4.29e-17
114.18,4.69e-17
114.25,5.06e-17
114.3,5.36e-17
114.37,5.2e-17
114.52,5.13e-17
114.64,5.29e-17
114.71,5.07e-17
114.74,4.73e-17
114.77,4.27e-17
114.82,3.95e-17
114.92,3.75e-17
115.03,4.03e-17
115.09,4.28e-17
115.16,4.59e-17
115.24,4.88e-17
115.34,4.79e-17
115.42,4.49e-17
115.55,4.59e-17
115.57,4.66e-17
115.59,4.36e-17
115.61,4.21e-17
115.65,3.91e-17
115.67,3.69e-17
115.72,3.39e-17
115.83,3.13e-17
115.98,2.98e-17
116.1,2.73e-17
116.23,2.65e-17
116.3,2.96e-17
116.35,3.27e-17
116.38,3.61e-17
116.41,3.91e-17
116.46,4.25e-17
116.48,4.65e-17
116.52,5.09e-17
116.58,5.45e-17
116.71,5.19e-17
116.8,4.87e-17
116.87,4.56e-17
116.94,4.28e-17
117.08,4.31e-17
117.18,4.08e-17
117.29,3.87e-17
117.37,3.76e-17
117.4,3.56e-17
117.48,3.27e-17
117.58,3.13e-17
117.66,3.48e-17
117.75,3.53e-17
117.82,3.22e-17
117.89,2.93e-17
118.01,3.08e-17
118.14,3.28e-17
118.17,3.02e-17
118.2,2.7e-17
118.23,2.38e-17
118.27,2.22e-17
118.33,2.14e-17
118.4,2.26e-17
118.46,2.58e-17
118.51,3.01e-17
118.55,3.35e-17
118.61,3.71e-17
118.68,3.55e-17
118.74,3.72e-17
118.8,3.99e-17
118.85,4.22e-17
118.89,3.99e-17
118.92,3.58e-17
118.94,3.22e-17
118.98,2.76e-17
118.99,2.76e-17
119.1,2.95e-17
119.16,2.64e-17
119.24,2.35e-17
119.34,2.55e-17
119.42,2.85e-17
119.49,3.15e-17
119.54,2.89e-17
119.59,2.57e-17
119.62,2.25e-17
119.69,1.76e-17
119.76,1.46e-17
119.83,1.34e-17
119.89,1.85e-17
119.94,2.26e-17
120.02,2.69e-17
120.07,3.04e-17
120.1,3.35e-17
120.14,3.49e-17
120.21,3.21e-17
120.27,2.99e-17
120.4,2.81e-17
120.55,2.83e-17
120.67,2.59e-17
120.7,2.34e-17
120.77,2.03e-17
120.9,1.63e-17
121.08,2.04e-17
121.18,1.87e-17
121.23,2.53e-17
121.28,3.28e-17
121.32,3.97e-17
121.35,4.61e-17
121.38,5.12e-17
121.4,5.53e-17
121.41,5.87e-17
121.44,6.53e-17
121.49,7.21e-17
121.53,7.78e-17
121.58,7.28e-17
121.61,6.76e-17
121.64,6.0e-17
121.66,5.38e-17
121.69,4.93e-17
121.71,4.6e-17
121.74,4.14e-17
121.79,3.58e-17
121.85,2.94e-17
121.89,2.61e-17
121.99,2.21e-17
122.14,1.82e-17
122.2,2.35e-17
122.24,2.85e-17
122.29,3.42e-17
122.31,3.77e-17
122.34,4.1e-17
122.37,4.41e-17
122.46,4.58e-17
122.51,4.88e-17
122.54,5.22e-17
122.61,5.51e-17
122.67,4.87e-17
122.71,4.07e-17
122.74,3.5e-17
122.77,3.0e-17
122.81,2.67e-17
122.84,2.35e-17
122.88,2.03e-17
122.9,1.85e-17
122.97,1.57e-17
123.12,1.41e-17
123.31,1.44e-17
123.47,1.28e-17
123.5,1.25e-17
123.66,1.06e-17
123.82,9.02e-18
124.01,8.34e-18
124.19,8.99e-18
124.33,1.03e-17
124.47,8.17e-18
124.66,7.09e-18
124.84,6.41e-18
125.0,6.35e-18
125.09,8.5e-18
125.1,1.08e-17
125.17,1.17e-17
125.33,1.01e-17
125.36,9.14e-18
125.54,8.03e-18
125.74,7.73e-18
125.9,6.63e-18
126.0,6.48e-18
126.06,7.96e-18
126.11,9.57e-18
126.19,1.19e-17
126.23,1.09e-17
126.31,8.05e-18
126.5,7.62e-18
126.69,7.73e-18
126.89,7.16e-18
127.08,6.46e-18
127.26,5.35e-18
127.45,5.19e-18
127.64,5.16e-18
127.83,6.08e-18
128.01,7.0e-18
128.2,6.7e-18
128.39,6.54e-18
128.58,6.38e-18
128.78,6.35e-18
128.98,6.45e-18
129.18,6.29e-18
129.36,6.13e-18
129.56,6.78e-18
129.75,7.29e-18
129.92,8.07e-18
130.04,8.1e-18
130.05,8.06e-18
130.23,7.89e-18
130.42,7.6e-18
130.61,7.84e-18
130.77,9.44e-18
130.94,9.55e-18
131.13,8.71e-18
131.32,8.55e-18
131.5,8.66e-18
131.68,9.17e-18
131.85,1.05e-17
132.01,1.18e-17
132.12,1.47e-17
132.18,1.71e-17
132.25,1.84e-17
132.3,1.67e-17
132.39,1.38e-17
132.56,1.26e-17
132.7,1.47e-17
132.78,1.77e-17
132.85,2.1e-17
132.95,2.43e-17
133.03,2.52e-17
133.07,2.41e-17
133.18,2.14e-17
133.25,1.88e-17
133.33,1.65e-17
133.43,1.35e-17
133.5,1.07e-17
133.59,7.68e-18
133.65,7.67e-18
133.73,9.01e-18
133.79,1.01e-17
133.96,1.17e-17
134.12,1.31e-17
134.18,1.72e-17
134.27,2.02e-17
134.28,2.31e-17
134.34,2.84e-17
134.39,3.27e-17
134.42,3.74e-17
134.44,4.08e-17
134.47,4.46e-17
134.49,4.85e-17
134.51,5.19e-17
134.53,5.51e-17
134.55,5.85e-17
134.57,6.58e-17
134.6,7.35e-17
134.66,8.12e-17
134.72,7.54e-17
134.74,6.86e-17
134.76,6.26e-17
134.81,5.64e-17
134.83,5.3e-17
134.88,4.67e-17
134.96,4.01e-17
135.04,3.44e-17
135.13,3.0e-17
135.19,2.64e-17
135.28,2.18e-17
135.36,1.68e-17
135.42,1.36e-17
135.54,1.1e-17
135.72,1.01e-17
135.89,1.1e-17
136.04,9.49e-18
136.2,1.11e-17
136.28,1.41e-17
136.37,1.69e-17
136.49,1.43e-17
136.61,1.31e-17
136.71,1.59e-17
136.78,1.88e-17
136.82,2.15e-17
136.87,2.33e-17
136.92,2.13e-17
136.98,1.81e-17
137.05,1.49e-17
137.11,1.18e-17
137.22,9.86e-18
137.31,1.28e-17
137.38,1.62e-17
137.45,1.93e-17
137.5,2.23e-17
137.56,2.54e-17
137.66,2.32e-17
137.72,2.07e-17
137.79,1.82e-17
137.87,1.63e-17
137.97,2.02e-17
138.02,2.39e-17
138.08,2.7e-17
138.13,3.13e-17
138.14,3.09e-17
138.22,2.7e-17
138.25,2.38e-17
138.31,1.92e-17
138.35,1.55e-17
138.41,1.27e-17
138.47,9.55e-18
138.55,6.7e-18
138.71,7.89e-18
138.78,1.1e-17
138.87,1.87e-17
138.92,2.19e-17
138.95,2.35e-17
139.01,2.14e-17
139.09,1.84e-17
139.17,2.28e-17
139.21,3.08e-17
139.25,4.23e-17
139.28,5.39e-17
139.32,6.93e-17
139.34,8.13e-17
139.39,9.54e-17
139.42,8.55e-17
139.43,7.62e-17
139.46,6.83e-17
139.47,6.37e-17
139.49,6.05e-17
139.51,5.2e-17
139.52,4.56e-17
139.55,3.97e-17
139.57,3.11e-17
139.59,2.67e-17
139.62,2.14e-17
139.68,1.55e-17
139.73,1.1e-17
139.8,7.87e-18
139.88,5.02e-18
