λ,σ
50.05,7.06e-17
50.1,7.04e-17
50.15,6.71e-17
50.2,6.91e-17
50.25,7.24e-17
50.3,7.29e-17
50.35,6.77e-17
50.4,6.72e-17
50.45,7.13e-17
50.5,6.91e-17
50.55,7.11e-17
50.6,7.02e-17
50.65,7.17e-17
50.7,7.4e-17
50.75,7.37e-17
50.8,7.28e-17
50.85,7.41e-17
50.9,7.32e-17
50.95,7.79e-17
51.0,7.4e-17
51.05,7.46e-17
51.1,8.01e-17
51.15,7.66e-17
51.2,7.34e-17
51.25,7.88e-17
51.3,7.84e-17
51.35,8.05e-17
51.4,7.81e-17
51.45,7.9e-17
51.5,7.65e-17
51.55,7.97e-17
51.6,7.94e-17
51.65,7.97e-17
51.7,7.89e-17
51.75,7.98e-17
51.8,8.43e-17
51.85,8.16e-17
51.9,7.94e-17
51.95,8.15e-17
52.0,8.2e-17
52.05,8.33e-17
52.1,8.24e-17
52.15,8.15e-17
52.2,8.29e-17
52.25,8.38e-17
52.3,8.19e-17
52.35,8.41e-17
52.4,8.52e-17
52.45,8.42e-17
52.5,8.62e-17
52.55,8.65e-17
52.6,8.51e-17
52.65,8.69e-17
52.7,8.53e-17
52.75,8.7e-17
52.8,8.84e-17
52.85,8.67e-17
52.9,8.82e-17
52.95,8.62e-17
53.0,8.71e-17
53.05,8.81e-17
53.1,8.87e-17
53.15,8.75e-17
53.2,8.75e-17
53.25,8.84e-17
53.3,8.84e-17
53.35,8.85e-17
53.4,8.94e-17
53.45,8.95e-17
53.5,8.76e-17
53.55,8.94e-17
53.6,9.01e-17
53.65,9.22e-17
53.7,9.01e-17
53.75,9.03e-17
53.8,9.2e-17
53.85,9.02e-17
53.9,9.1e-17
53.95,9.15e-17
54.0,9.15e-17
54.05,9.36e-17
54.1,9.33e-17
54.15,9.35e-17
54.2,9.45e-17
54.25,9.43e-17
54.3,9.3e-17
54.35,9.54e-17
54.4,9.45e-17
54.45,9.47e-17
54.5,9.5e-17
54.55,9.52e-17
54.6,9.55e-17
54.65,9.46e-17
54.7,9.57e-17
54.75,9.64e-17
54.8,9.57e-17
54.85,9.62e-17
54.9,9.68e-17
54.95,9.64e-17
55.0,9.81e-17
55.05,9.63e-17
55.1,9.74e-17
55.15,9.62e-17
55.2,9.8e-17
55.25,9.84e-17
55.3,9.88e-17
55.35,9.77e-17
55.4,9.83e-17
55.45,9.77e-17
55.5,9.96e-17
55.55,9.89e-17
55.6,9.84e-17
55.65,9.9e-17
55.7,9.97e-17
55.75,1.0e-16
55.8,1.01e-16
55.85,1.0e-16
55.9,9.98e-17
55.95,1.02e-16
56.0,1.01e-16
56.05,1.01e-16
56.1,1.02e-16
56.15,1.01e-16
56.2,1.03e-16
56.25,1.02e-16
56.3,1.02e-16
56.35,1.03e-16
56.4,1.03e-16
56.45,1.02e-16
56.5,1.03e-16
56.55,1.03e-16
56.6,1.01e-16
56.65,1.02e-16
56.7,1.03e-16
56.75,1.04e-16
56.8,1.04e-16
56.85,1.04e-16
56.9,1.04e-16
56.95,1.05e-16
57.0,1.05e-16
57.05,1.05e-16
57.1,1.05e-16
57.15,1.06e-16
57.2,1.05e-16
57.25,1.05e-16
57.3,1.06e-16
57.35,1.06e-16
57.4,1.06e-16
57.45,1.06e-16
57.5,1.07e-16
57.55,1.06e-16
57.6,1.06e-16
