λ,σ
88.5939,4.8299e-17
88.6144,4.8524e-17
88.6348,4.8312e-17
88.6552,4.837e-17
88.6757,4.8519e-17
88.6961,4.8099e-17
88.7172,4.8055e-17
88.7377,4.8132e-17
88.7581,4.8629e-17
88.7786,4.8245e-17
88.799,4.8712e-17
88.8194,4.8649e-17
88.8392,4.9295e-17
88.8596,4.8538e-17
88.8801,4.828e-17
88.9005,4.8378e-17
88.9209,4.9058e-17
88.9414,4.907e-17
88.9625,4.8726e-17
88.983,4.888e-17
89.0034,4.8956e-17
89.0239,4.8593e-17
89.0443,4.9137e-17
89.0647,4.9944e-17
89.0852,4.9823e-17
89.1049,4.9928e-17
89.1254,4.9596e-17
89.1458,5.0104e-17
89.1663,5.0151e-17
89.1867,5.0468e-17
89.2071,5.0372e-17
89.2282,5.0902e-17
89.2487,5.0514e-17
89.2691,5.0904e-17
89.2896,5.0652e-17
89.31,5.1403e-17
89.3305,5.1141e-17
89.3502,5.1367e-17
89.3706,5.1226e-17
89.3911,5.1648e-17
89.4115,5.1667e-17
89.432,5.1858e-17
89.4524,5.2162e-17
89.4735,5.1557e-17
89.494,5.2031e-17
89.5144,5.2873e-17
89.5348,5.2448e-17
89.5553,5.2513e-17
89.5757,5.2459e-17
89.5962,5.2944e-17
89.6159,5.2938e-17
89.6364,5.2687e-17
89.6568,5.2668e-17
89.6772,5.2724e-17
89.6977,5.3335e-17
89.7181,5.3585e-17
89.7392,5.2759e-17
89.7597,5.2986e-17
89.7801,5.3365e-17
89.8006,5.3618e-17
89.821,5.3395e-17
89.8415,5.2907e-17
89.8612,5.3527e-17
89.8816,5.3289e-17
89.9021,5.3677e-17
89.9225,5.3853e-17
89.943,5.2825e-17
89.9634,5.305e-17
89.9845,5.2836e-17
90.005,5.2817e-17
90.0254,5.314e-17
90.0459,5.3079e-17
90.0663,5.316e-17
90.0867,5.2644e-17
90.1072,5.3354e-17
90.1269,5.3116e-17
90.1474,5.3377e-17
90.1678,5.3208e-17
90.1883,5.2311e-17
90.2087,5.2251e-17
90.2291,5.2613e-17
90.2502,5.2521e-17
90.2707,5.2352e-17
90.2911,5.2038e-17
90.3116,5.2649e-17
90.332,5.2465e-17
90.3525,5.1839e-17
90.3722,5.1997e-17
90.3926,5.1461e-17
90.4131,5.1728e-17
90.4335,5.1286e-17
90.454,5.146e-17
90.4744,5.0714e-17
90.4956,5.0253e-17
90.516,5.0141e-17
90.5364,5.0718e-17
90.5568,5.0224e-17
90.5773,4.9154e-17
90.5977,4.9689e-17
90.6182,4.9487e-17
90.6379,4.8789e-17
90.6584,4.8763e-17
90.6788,4.8133e-17
90.6993,4.8397e-17
90.7197,4.8276e-17
90.7402,4.7884e-17
90.7613,4.7538e-17
90.7817,4.7388e-17
90.8022,4.7406e-17
90.8226,4.6606e-17
90.843,4.6661e-17
90.8634,4.6137e-17
