λ,σ
116.83,1.23e-17
117.05,1.25e-17
117.3,1.26e-17
117.54,1.27e-17
117.79,1.27e-17
118.02,1.29e-17
118.29,1.29e-17
118.55,1.3e-17
118.82,1.3e-17
119.08,1.3e-17
119.35,1.3e-17
119.6,1.3e-17
119.85,1.3e-17
120.13,1.3e-17
120.41,1.3e-17
120.69,1.31e-17
120.96,1.31e-17
121.23,1.32e-17
121.49,1.32e-17
121.75,1.34e-17
122.02,1.35e-17
122.25,1.37e-17
122.49,1.39e-17
122.68,1.42e-17
122.88,1.44e-17
123.05,1.48e-17
123.23,1.5e-17
123.37,1.54e-17
123.53,1.57e-17
123.72,1.6e-17
123.94,1.62e-17
124.19,1.64e-17
124.46,1.65e-17
124.75,1.66e-17
125.02,1.66e-17
125.29,1.68e-17
125.57,1.69e-17
125.84,1.71e-17
126.13,1.73e-17
126.38,1.75e-17
126.61,1.77e-17
126.81,1.8e-17
126.99,1.83e-17
127.05,1.84e-17
127.25,1.87e-17
127.42,1.9e-17
127.58,1.93e-17
127.77,1.96e-17
127.98,1.99e-17
128.19,2.01e-17
128.4,2.04e-17
128.68,2.05e-17
128.98,2.05e-17
129.28,2.05e-17
129.54,2.04e-17
129.8,2.02e-17
130.01,1.99e-17
130.22,1.96e-17
130.46,1.94e-17
130.68,1.91e-17
130.88,1.88e-17
131.1,1.85e-17
131.28,1.82e-17
131.47,1.79e-17
131.74,1.73e-17
131.93,1.71e-17
132.11,1.67e-17
132.28,1.64e-17
132.46,1.61e-17
132.64,1.58e-17
132.79,1.55e-17
132.95,1.51e-17
133.11,1.48e-17
133.28,1.45e-17
133.48,1.4e-17
133.66,1.36e-17
133.84,1.33e-17
133.99,1.3e-17
134.16,1.27e-17
134.3,1.23e-17
134.37,1.21e-17
134.55,1.18e-17
134.68,1.15e-17
134.82,1.11e-17
134.96,1.07e-17
135.09,1.04e-17
135.26,1.0e-17
135.45,9.71e-18
135.62,9.41e-18
135.81,9.09e-18
135.98,8.76e-18
136.15,8.44e-18
136.34,8.13e-18
136.56,7.82e-18
136.76,7.51e-18
136.95,7.18e-18
137.18,6.9e-18
137.43,6.62e-18
137.68,6.37e-18
137.91,6.1e-18
138.19,5.87e-18
138.38,5.71e-18
138.5,5.71e-18
