λ,σ
173.15,2.079e-18
174.65,2.097e-18
176.2,2.045e-18
177.8,1.926e-18
179.4,1.756e-18
181.0,1.556e-18
182.65,1.339e-18
184.35,1.11e-18
186.05,9.0e-19
187.8,7.08e-19
189.6,5.5e-19
191.4,4.07e-19
193.25,2.98e-19
195.15,2.13e-19
197.05,1.5e-19
199.0,1.04e-19
201.0,7.06e-20
203.05,4.72e-20
205.15,3.11e-20
207.25,2.04e-20
209.4,1.33e-20
211.65,8.51e-21
213.9,5.47e-21
216.2,3.49e-21
218.6,2.21e-21
221.0,1.41e-21
223.45,8.94e-22
226.0,5.64e-22
228.6,3.55e-22
231.25,2.24e-22
233.95,1.4e-22
236.7,8.75e-23
239.55,5.4e-23
242.45,3.22e-23
245.4,1.89e-23
248.45,1.05e-23
251.6,5.76e-24
